physicalelement_luid,nodeid,snapshotid,creationclassname,tag,caption,description,name,installdatetime,status,manufacturedate,manufacturer,otheridentifyinginfo,partnumber,poweredon,serialnumber,sku,version,slot_number,dc_location,dc_condition,dc_firmwarerevision,dc_hwlocation,dc_productid,model
2211908167741,996,-1,CIM_PhysicalElement,Server Blade 5,,,osdc-stg-vmg1-5.vmware.com,,,,,1,443527-B21,,USE839F8E8,443684-B21,,5,OSDC-MC1-F5-1,,,,,
2211908164684,1285,-1,CIM_PhysicalElement,Server Blade 36,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,4,SC9-CPP-PROD,,,,,
2211908164689,1285,-1,CIM_PhysicalElement,Server Blade 41,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,9,SC9-CPP-PROD,,,,,
2211908167776,996,-1,CIM_PhysicalElement,Server Blade 30,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,14,OSDC-MC1-F5-1,,,,,
2211908164691,1285,-1,CIM_PhysicalElement,Server Blade 43,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,11,SC9-CPP-PROD,,,,,
2211908164703,1287,-1,CIM_PhysicalElement,Rack Power Supply 5,,,,,,,,,412138-B21,,5A22B0DHLTQ190,411099-001,,5,SC9-CPP-PROD,,"",,,
2211908164681,1285,-1,CIM_PhysicalElement,Server Blade 33,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,1,SC9-CPP-PROD,,,,,
2211908167735,996,-1,CIM_PhysicalElement,Server Blade 2,,,osdc-vmg2-2.vmware.com,,,,,1,443527-B21,,USE80996BL,443684-B21,,2,OSDC-MC1-F5-1,,,,,
2211908164690,1285,-1,CIM_PhysicalElement,Server Blade 42,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,SC9-CPP-PROD,,,,,
2211908167739,996,-1,CIM_PhysicalElement,Server Blade 4,,,osdc-vmg2-4.vmware.com,,,,,1,443527-B21,,USE80996BD,443684-B21,,4,OSDC-MC1-F5-1,,,,,
2211908164700,1287,-1,CIM_PhysicalElement,Rack Power Supply 2,,,,,,,,,412138-B21,,5A22B0EHLV13HF,411099-001,,2,SC9-CPP-PROD,,"",,,
2211908164701,1287,-1,CIM_PhysicalElement,Rack Power Supply 3,,,,,,,,,412138-B21,,5A22B0EHLUY09O,411099-001,,3,SC9-CPP-PROD,,"",,,
2211908167742,994,-1,CIM_PhysicalElement,Server Blade 39,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,7,OSDC-MC1-F5-1,,,,,
2211908164682,1285,-1,CIM_PhysicalElement,Server Blade 34,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,2,SC9-CPP-PROD,,,,,
2211908167737,996,-1,CIM_PhysicalElement,Server Blade 3,,,osdc-vmg2-3.vmware.com,,,,,1,443527-B21,,USE839F8DW,443684-B21,,3,OSDC-MC1-F5-1,,,,,
2211908164687,1285,-1,CIM_PhysicalElement,Server Blade 39,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,7,SC9-CPP-PROD,,,,,
2211908164695,1285,-1,CIM_PhysicalElement,Server Blade 47,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,15,SC9-CPP-PROD,,,,,
2211908164699,1287,-1,CIM_PhysicalElement,Rack Power Supply 1,,,,,,,,,412138-B21,,5A22B0EHLV11FQ,411099-001,,1,SC9-CPP-PROD,,"",,,
2211908167752,996,-1,CIM_PhysicalElement,Server Blade 10,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,OSDC-MC1-F5-1,,,,,
2211908164704,1287,-1,CIM_PhysicalElement,Rack Power Supply 6,,,,,,,,,412138-B21,,5A22B0EHLV51QF,411099-001,,6,SC9-CPP-PROD,,"",,,
2211908167760,994,-1,CIM_PhysicalElement,Server Blade 48,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,16,OSDC-MC1-F5-1,,,,,
2211908164707,1287,-1,CIM_PhysicalElement,Rack Net Connector 3,Passive,,"",,,,,3,AE370A,,CN87316004,411120-001,,,SC9-CPP-PROD,,"",,,BROCADE Brocade 4/12 SAN Switch for HP c-Class BladeSystem
2211908164686,1285,-1,CIM_PhysicalElement,Server Blade 38,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,6,SC9-CPP-PROD,,,,,
2211908167743,996,-1,CIM_PhysicalElement,Server Blade 6,,,osdc-stg-vmg1-6.vmware.com,,,,,1,               ,,USE839F8E0,443684-B21,,6,OSDC-MC1-F5-1,,,,,
2211908164692,1285,-1,CIM_PhysicalElement,Server Blade 44,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,12,SC9-CPP-PROD,,,,,
2211908167770,996,-1,CIM_PhysicalElement,Server Blade 24,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,8,OSDC-MC1-F5-1,,,,,
2211908164694,1285,-1,CIM_PhysicalElement,Server Blade 46,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,14,SC9-CPP-PROD,,,,,
2211908167780,996,-1,CIM_PhysicalElement,Server Blade 34,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,2,OSDC-MC1-F5-1,,,,,
2211908164696,1285,-1,CIM_PhysicalElement,Server Blade 48,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,16,SC9-CPP-PROD,,,,,
2211908167744,994,-1,CIM_PhysicalElement,Server Blade 40,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,8,OSDC-MC1-F5-1,,,,,
2211908164688,1285,-1,CIM_PhysicalElement,Server Blade 40,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,8,SC9-CPP-PROD,,,,,
2211908164713,1287,-1,CIM_PhysicalElement,Server Blade 1,,,CPP-DB01,,,,,1,405024-B21,,USE801879T,436376-001,,1,SC9-CPP-PROD,,,,,
2211908167762,996,-1,CIM_PhysicalElement,Server Blade 16,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,16,OSDC-MC1-F5-1,,,,,
2211908164720,1287,-1,CIM_PhysicalElement,Server Blade 8,,,CPP-DB08,,,,,1,405024-B21,,USE801879Y,436376-001,,8,SC9-CPP-PROD,,,,,
2211908167768,996,-1,CIM_PhysicalElement,Server Blade 22,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,6,OSDC-MC1-F5-1,,,,,
2211908164693,1285,-1,CIM_PhysicalElement,Server Blade 45,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,13,SC9-CPP-PROD,,,,,
2211908167745,994,-1,CIM_PhysicalElement,Server Blade 41,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,9,OSDC-MC1-F5-1,,,,,
2211908164697,1287,-1,CIM_PhysicalElement,Remote Insight Board 0,,Blade enclosure management processor,,,,,,,,,USE7436WY3,,,,,,,,,pciLightsOut100series (8)
2211908164709,1287,-1,CIM_PhysicalElement,Rack Net Connector 5,0,,"",,,,,5,Unknown,,Unknown,"",,,SC9-CPP-PROD,,"",,,Unknown
2211908167748,996,-1,CIM_PhysicalElement,Server Blade 8,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,8,OSDC-MC1-F5-1,,,,,
2211908164714,1287,-1,CIM_PhysicalElement,Server Blade 2,,,CPP-DB02,,,,,1,405024-B21,,USE7436V6H,436376-001,,2,SC9-CPP-PROD,,,,,
2211908167778,996,-1,CIM_PhysicalElement,Server Blade 32,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,16,OSDC-MC1-F5-1,,,,,
2211908167792,996,-1,CIM_PhysicalElement,Server Blade 46,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,14,OSDC-MC1-F5-1,,,,,
2211908167746,996,-1,CIM_PhysicalElement,Server Blade 7,,,osdc-stg-vmg1-7.vmware.com,,,,,1,443527-B21,,USE839F8E2,443684-B21,,7,OSDC-MC1-F5-1,,,,,
2211908164702,1287,-1,CIM_PhysicalElement,Rack Power Supply 4,,,,,,,,,412138-B21,,5A22B0DHLTO1I1,411099-001,,4,SC9-CPP-PROD,,"",,,
2211908167749,994,-1,CIM_PhysicalElement,Server Blade 43,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,11,OSDC-MC1-F5-1,,,,,
2211908164705,1287,-1,CIM_PhysicalElement,Rack Net Connector 1,Other,,"",,,,,1,406740-B21,,TWT828V0M2,419329-001,,,SC9-CPP-PROD,,"",,,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem
2211908167756,994,-1,CIM_PhysicalElement,Server Blade 46,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,14,OSDC-MC1-F5-1,,,,,
2211908164708,1287,-1,CIM_PhysicalElement,Rack Net Connector 4,Passive,,"",,,,,4,AE370A,,CN8731602H,411120-001,,,SC9-CPP-PROD,,"",,,BROCADE Brocade 4/12 SAN Switch for HP c-Class BladeSystem
2211908167775,996,-1,CIM_PhysicalElement,Server Blade 29,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,13,OSDC-MC1-F5-1,,,,,
2211908164706,1287,-1,CIM_PhysicalElement,Rack Net Connector 2,Other,,"",,,,,2,406740-B21,,TWT828V0LP,419329-001,,,SC9-CPP-PROD,,"",,,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem
2211908164710,1287,-1,CIM_PhysicalElement,Rack Net Connector 6,Other,,"",,,,,6,WS-CBS3020-HPQ,,FOC1147T0V3,432904-001,,,SC9-CPP-PROD,,"",,,"Cisco Systems, Inc. Cisco Catalyst Blade Switch 3020 for HP"
2211908167747,994,-1,CIM_PhysicalElement,Server Blade 42,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,OSDC-MC1-F5-1,,,,,
2211908164716,1287,-1,CIM_PhysicalElement,Server Blade 4,,,CPP-DB04,,,,,1,XXXXXX-XXX,,3H7AMK0133,436376-001,,4,SC9-CPP-PROD,,,,,
2211908167758,994,-1,CIM_PhysicalElement,Server Blade 47,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,15,OSDC-MC1-F5-1,,,,,
2211908164717,1287,-1,CIM_PhysicalElement,Server Blade 5,,,CPP-DB05,,,,,1,XXXXXX-XXX,,use7436v6d,436376-001,,5,SC9-CPP-PROD,,,,,
2211908167788,996,-1,CIM_PhysicalElement,Server Blade 42,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,OSDC-MC1-F5-1,,,,,
2211908164711,1287,-1,CIM_PhysicalElement,Rack Net Connector 7,0,,"",,,,,7,Unknown,,Unknown,"",,,SC9-CPP-PROD,,"",,,Unknown
2211908164715,1287,-1,CIM_PhysicalElement,Server Blade 3,,,CPP-DB03,,,,,1,405024-B21,,USE7436V69,436376-001,,3,SC9-CPP-PROD,,,,,
2211908167751,994,-1,CIM_PhysicalElement,Server Blade 44,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,12,OSDC-MC1-F5-1,,,,,
2211908164718,1287,-1,CIM_PhysicalElement,Server Blade 6,,,CPP-DB06,,,,,1,405024-B21,,USE7436V6F,436376-001,,6,SC9-CPP-PROD,,,,,
2211908164725,1287,-1,CIM_PhysicalElement,Server Blade 13,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,13,SC9-CPP-PROD,,,,,
2211908167757,996,-1,CIM_PhysicalElement,Server Blade 13,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,13,OSDC-MC1-F5-1,,,,,
2211908164726,1287,-1,CIM_PhysicalElement,Server Blade 14,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,14,SC9-CPP-PROD,,,,,
2211908167767,996,-1,CIM_PhysicalElement,Server Blade 21,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,5,OSDC-MC1-F5-1,,,,,
2211908164735,1287,-1,CIM_PhysicalElement,Server Blade 23,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,7,SC9-CPP-PROD,,,,,
2211908164712,1287,-1,CIM_PhysicalElement,Rack Net Connector 8,0,,"",,,,,8,Unknown,,Unknown,"",,,SC9-CPP-PROD,,"",,,Unknown
2211908167753,996,-1,CIM_PhysicalElement,Server Blade 11,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,11,OSDC-MC1-F5-1,,,,,
2211908164719,1287,-1,CIM_PhysicalElement,Server Blade 7,,,CPP-DB07,,,,,1,405024-B21,,USE801879P,436376-001,,7,SC9-CPP-PROD,,,,,
2211908167771,996,-1,CIM_PhysicalElement,Server Blade 25,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,9,OSDC-MC1-F5-1,,,,,
2211908164722,1287,-1,CIM_PhysicalElement,Server Blade 10,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,10,SC9-CPP-PROD,,,,,
2211908167791,996,-1,CIM_PhysicalElement,Server Blade 45,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,13,OSDC-MC1-F5-1,,,,,
2211908164729,1287,-1,CIM_PhysicalElement,Server Blade 17,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,1,SC9-CPP-PROD,,,,,
2211908167754,994,-1,CIM_PhysicalElement,Server Blade 45,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,13,OSDC-MC1-F5-1,,,,,
2211908164721,1287,-1,CIM_PhysicalElement,Server Blade 9,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,9,SC9-CPP-PROD,,,,,
2211908164728,1287,-1,CIM_PhysicalElement,Server Blade 16,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,16,SC9-CPP-PROD,,,,,
2211908167761,996,-1,CIM_PhysicalElement,Server Blade 15,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,15,OSDC-MC1-F5-1,,,,,
2211908164730,1287,-1,CIM_PhysicalElement,Server Blade 18,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,2,SC9-CPP-PROD,,,,,
2211908167779,996,-1,CIM_PhysicalElement,Server Blade 33,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,1,OSDC-MC1-F5-1,,,,,
2211908164731,1287,-1,CIM_PhysicalElement,Server Blade 19,,,Unknown,,,,,0,Unknown,,Unknown,Unknown,,3,SC9-CPP-PROD,,,,,
2211908161153,1403,-1,CIM_PhysicalElement,Server Blade 3,,,sc9-prod-vmg2-3,,,,,1,443527-B21,,USE852JLC4,443684-B21,,3,sc9-l07-1,,,,,
