devicekey,devicename,description,ipaddress,macaddress,inputerrors,outputerrors,speed,ipv6address,duplex,fullduplex,interfacename,subnetmask,broadcastaddress,interfacestate,dhcpenabled,iplongvalue,snapshotid,operationalstatus,protocoltype,maxdatasize,porttype,manufacturer
924,osdc-mc1-d1-oa1a,eth2,,00:1B:78:E4:1A:8C,0,0,10000000,,"",, ,,,,,,-1,,,,,
924,osdc-mc1-d1-oa1a,eth3,,00:1B:78:E4:4A:89,0,0,10000000,,"",, ,,,,,,-1,,,,,
924,osdc-mc1-d1-oa1a,eth0,169.254.0.1,00:1C:C4:14:F8:E4,0,0,10000000,,"",, ,255.255.255.0,,,,,-1,,,,,
924,osdc-mc1-d1-oa1a,udogbr,,00:1C:C4:14:F8:E5,0,0,10000000,,"",, ,,,,,,-1,,,,,
924,osdc-mc1-d1-oa1a,eth1,10.16.25.16,00:1C:C4:14:F8:E5,0,0,10000000,,"",, ,255.255.254.0,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,Null0,,"",0,0,4294967295,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,Port-channel7,,00:00:00:00:00:00,0,0,10000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/1,,00:1D:E6:0D:4C:01,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/2,,00:1D:E6:0D:4C:02,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/3,,00:1D:E6:0D:4C:03,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/4,,00:1D:E6:0D:4C:04,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/5,,00:1D:E6:0D:4C:05,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/6,,00:1D:E6:0D:4C:06,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/7,,00:1D:E6:0D:4C:07,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/8,,00:1D:E6:0D:4C:08,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/9,,00:1D:E6:0D:4C:09,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/10,,00:1D:E6:0D:4C:0A,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/11,,00:1D:E6:0D:4C:0B,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/12,,00:1D:E6:0D:4C:0C,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/13,,00:1D:E6:0D:4C:0D,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/14,,00:1D:E6:0D:4C:0E,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/15,,00:1D:E6:0D:4C:0F,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/16,,00:1D:E6:0D:4C:10,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/17,,00:1D:E6:0D:4C:11,0,0,10000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/18,,00:1D:E6:0D:4C:12,0,0,10000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,Port-channel1,,00:1D:E6:0D:4C:13,0,0,2000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/19,,00:1D:E6:0D:4C:13,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/20,,00:1D:E6:0D:4C:14,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/21,,00:1D:E6:0D:4C:15,0,0,10000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/22,,00:1D:E6:0D:4C:16,0,0,10000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/23,,00:1D:E6:0D:4C:17,0,0,10000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,GigabitEthernet0/24,,00:1D:E6:0D:4C:18,0,0,10000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,FastEthernet0,,00:1D:E6:0D:4C:37,0,0,100000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,Vlan1,,00:1D:E6:0D:4C:40,0,0,1000000000,,"",, ,,,,,,-1,,,,,
933,osdc-mc1d05-3020-sw1,Vlan24,10.16.25.21,00:1D:E6:0D:4C:41,0,0,1000000000,,"",, ,255.255.254.0,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,ip6tnl0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,sit0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,teql0,,"",0,0,0,,"",, ,,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,lo,127.0.0.1,"",0,0,10000000,,"",, ,255.0.0.0,,,,,-1,,,,,
994,osdc-mc1-f5-oa1a,eth3,,00:1B:78:E4:4A:BF,0,0,10000000,,"",, ,,,,,,-1,,,,,
