devicekey,name,guid,discovered,productsubtype,overallstatus,producttype,producttypestr,productname,timestamp,lockflags,fulldnsname,mxguid,discoveredname,durablename,wwname,subtype2,subtype3,subtype4,subtype5,subtype6,subtype7,subtype8,nodeluid,uniqueidentifier
2596,wdc-itlab2-1,603718USE132DTL2,1314140909800,VMHost,1,1,Server,ProLiant BL460c G7,1331921207070,0,wdc-itlab2-1.vmware.com,00000050569801850000000300000a24,wdc-itlab2-1,"","",VMWARE_ESX_VMHost               ,x86System                       ,HPProLiant                      ,Blade                           ,c-Class                         ,                                ,                                ,12884904484,37333036-3831-5355-4531-333244544C32
2566,10.128.200.140,CN8125B050,1313647877893,c-Class,1,8,Switch,HP B-series 8/24c SAN Switch BladeSystem c-Class,1331879441758,0,"",00000050569801850000000300000a06,10.128.200.140,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904454,31384E43-3532-3042-3530-202020202020
562,wdc-g11-oa1b,09OB09BK9196,1303329340195,OA,1,12,MgmtProc,BladeSystem c7000 DDR2 Onboard Administrator with KVM,1331879394623,0,wdc-g11-oa1b.vmware.com,00000050569801850000000300000232,wdc-g11-oa1b,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884902450,424F3930-3930-4B42-3931-393620202020
563,wdc-g11-bc1,09SGH043P6EX,1303329340384,ServerEnc,1,14,Enclosure,BladeSystem c7000 Enclosure G2,1331879395360,0,"",00000050569801850000000300000233,wdc-g11-bc1,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884902451,47533930-3048-3334-5036-455820202020
2568,10.128.201.235,ILO643785USE132DTL7,1313647878566,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879436103,0,"",00000050569801850000000300000a08,10.128.201.235,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904456,ILO643785USE132DTL7
2558,10.128.200.139,CN8126B01R,1313647844634,c-Class,1,8,Switch,HP B-series 8/24c SAN Switch BladeSystem c-Class,1331879455043,0,"",000000505698018500000003000009fe,10.128.200.139,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904446,31384E43-3632-3042-3152-202020202020
2571,wdc-itlab1-2,643785USE132DTL7,1313647879183,VMHost,1,1,Server,ProLiant BL680c G7,1331921195600,0,wdc-itlab1-2.vmware.com,00000050569801850000000300000a0b,wdc-itlab1-2,"","",VMWARE_ESX_VMHost               ,HPProLiant                      ,Blade                           ,c-Class                         ,                                ,                                ,                                ,12884904459,37333436-3538-5355-4531-333244544C37
2640,wdc-itlab2-2,603718USE132DTL3,1314857444535,VMHost,1,1,Server,ProLiant BL460c G7,1331921213382,0,wdc-itlab2-2.vmware.com,00000050569801850000000300000a50,wdc-itlab2-2,"","",VMWARE_ESX_VMHost               ,x86System                       ,HPProLiant                      ,Blade                           ,c-Class                         ,                                ,                                ,12884904528,37333036-3831-5355-4531-333244544C33
2567,10.128.200.141,CN8125B05D,1313647878426,c-Class,1,8,Switch,HP B-series 8/24c SAN Switch BladeSystem c-Class,1331879442763,0,"",00000050569801850000000300000a07,10.128.200.141,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904455,31384E43-3532-3042-3544-202020202020
2639,wdc-itlab1-3,643785USE132DTL4,1314857437095,VMHost,1,1,Server,ProLiant BL680c G7,1331921210199,0,wdc-itlab1-3.vmware.com,00000050569801850000000300000a4f,wdc-itlab1-3,"","",VMWARE_ESX_VMHost               ,HPProLiant                      ,Blade                           ,c-Class                         ,                                ,                                ,                                ,12884904527,37333436-3538-5355-4531-333244544C34
2595,10.128.201.231,ILO603718USE132DTL2,1314140909235,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879460940,0,"",00000050569801850000000300000a23,10.128.201.231,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904483,ILO603718USE132DTL2
2990,10.128.201.10,ILO603718USE129CWC1,1319263990562,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879527833,0,"",00000050569801850000000300000bae,10.128.201.10,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904878,ILO603718USE129CWC1
2643,10.128.201.238,ILO603718USE132DTL3,1314857648856,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879436378,0,"",00000050569801850000000300000a53,10.128.201.238,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904531,ILO603718USE132DTL3
2818,10.113.195.31,"",1316942303610,None,1,11,Unknown,"",1331891457497,0,sc9-bm.026-pdu-pri-f12.vmware.com,00000050569801850000000300000b02,10.113.195.31,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904706,""
3003,USE129CWBX,603718USE129CWBX,1319264007330,HPProLiant,1,1,Server,ProLiant BL460c G7,1331879528602,0,"",00000050569801850000000300000bbb,USE129CWBX,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904891,37333036-3831-5355-4531-323943574258
2995,USE129CWBS,603718USE129CWBS,1319263997769,HPProLiant,1,1,Server,ProLiant BL460c G7,1331879537967,0,"",00000050569801850000000300000bb3,USE129CWBS,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904883,37333036-3831-5355-4531-323943574253
2992,10.128.201.13,ILO603718USE129CWC2,1319263997276,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879538632,0,"",00000050569801850000000300000bb0,10.128.201.13,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904880,ILO603718USE129CWC2
2642,10.128.201.239,ILO643785USE132DTL6,1314857645858,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879461299,0,"",00000050569801850000000300000a52,10.128.201.239,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904530,ILO643785USE132DTL6
2998,10.128.201.8,ILO603718USE129CWC0,1319264000776,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879517893,0,"",00000050569801850000000300000bb6,10.128.201.8,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904886,ILO603718USE129CWC0
3001,USE129CWBT,603718USE129CWBT,1319264001208,HPProLiant,1,1,Server,ProLiant BL460c G7,1331879519869,0,"",00000050569801850000000300000bb9,USE129CWBT,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904889,37333036-3831-5355-4531-323943574254
2638,USE132DTL6,643785USE132DTL6,1314857436965,HPProLiant,1,1,Server,ProLiant BL680c G7,1331879461400,0,"",00000050569801850000000300000a4e,USE132DTL6,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904526,37333436-3538-5355-4531-333244544C36
2999,USE129CWC0,603718USE129CWC0,1319264000890,HPProLiant,1,1,Server,ProLiant BL460c G7,1331879517925,0,"",00000050569801850000000300000bb7,USE129CWC0,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904887,37333036-3831-5355-4531-323943574330
2994,10.128.201.12,ILO603718USE129CWBS,1319263997554,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879537933,0,"",00000050569801850000000300000bb2,10.128.201.12,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904882,ILO603718USE129CWBS
3008,10.128.201.16,ILO603718USE129CWBR,1319264018236,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879558067,0,"",00000050569801850000000300000bc0,10.128.201.16,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904896,ILO603718USE129CWBR
3000,10.128.201.9,ILO603718USE129CWBT,1319264001031,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879519835,0,"",00000050569801850000000300000bb8,10.128.201.9,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904888,ILO603718USE129CWBT
2991,USE129CWC1,603718USE129CWC1,1319263990703,HPProLiant,1,1,Server,ProLiant BL460c G7,1331879527874,0,"",00000050569801850000000300000baf,USE129CWC1,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904879,37333036-3831-5355-4531-323943574331
2816,10.113.195.29,"",1316942302777,None,5,11,Unknown,"",1331599901121,0,"",00000050569801850000000300000b00,10.113.195.29,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904704,""
3002,10.128.201.11,ILO603718USE129CWBX,1319264007162,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879528570,0,"",00000050569801850000000300000bba,10.128.201.11,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904890,ILO603718USE129CWBX
2996,10.128.201.14,ILO603718USE129CWBW,1319264000442,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879547933,0,"",00000050569801850000000300000bb4,10.128.201.14,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904884,ILO603718USE129CWBW
2808,10.113.195.23,"",1316942299178,None,1,11,Unknown,"",1331891456959,0,sc9-bm.026-pdu-pri-f06.vmware.com,00000050569801850000000300000af8,10.113.195.23,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904696,""
3005,USE129CWBV,603718USE129CWBV,1319264010367,HPProLiant,1,1,Server,ProLiant BL460c G7,1331879549798,0,"",00000050569801850000000300000bbd,USE129CWBV,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904893,37333036-3831-5355-4531-323943574256
2993,USE129CWC2,603718USE129CWC2,1319263997418,HPProLiant,1,1,Server,ProLiant BL460c G7,1331879538665,0,"",00000050569801850000000300000bb1,USE129CWC2,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904881,37333036-3831-5355-4531-323943574332
2997,USE129CWBW,603718USE129CWBW,1319264000620,HPProLiant,1,1,Server,ProLiant BL460c G7,1331879547973,0,"",00000050569801850000000300000bb5,USE129CWBW,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904885,37333036-3831-5355-4531-323943574257
3004,10.128.201.15,ILO603718USE129CWBV,1319264010223,ILO3,1,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331879549763,0,"",00000050569801850000000300000bbc,10.128.201.15,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904892,ILO603718USE129CWBV
273,wdc-loadtest,Rack_09USE852JMRR,1303328454391,c-Class daisy-chained,0,13,Rack,Rack,1331879612460,0,"",00000050569801850000000300000111,wdc-loadtest,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902161,RACK_09USE852JMRR
275,USE852JLC7,443527USE852JLC7,1303328454518,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879715531,0,"",00000050569801850000000300000113,USE852JLC7,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902163,35333434-3732-5355-4538-35324A4C4337
264,10.128.202.48,ILO435459PZ73MV4591,1303328453697,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879726088,0,"",00000050569801850000000300000108,10.128.202.48,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902152,ILO435459PZ73MV4591
282,PZ8AMQ2808,......PZ8AMQ2808,1303328454942,HPProLiant,1,1,Server,ProLiant BL460c G1,1331879727956,0,"",0000005056980185000000030000011a,PZ8AMQ2808,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902170,00000000-0000-5A50-3841-4D5132383038
304,USE852JLCF,443527USE852JLCF,1303328459960,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879745652,0,"",00000050569801850000000300000130,USE852JLCF,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902192,35333434-3732-5355-4538-35324A4C4346
2865,10.113.195.22,"",1317203362455,None,5,11,Unknown,"",1331546437809,0,"",00000050569801850000000300000b31,10.113.195.22,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904753,""
257,ora-lt-ebs-r2-ilo,ILO491338USE923MM90,1303328453149,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879708524,0,ora-lt-ebs-r2-ilo.vmware.com,00000050569801850000000300000101,ora-lt-ebs-r2-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902145,ILO491338USE923MM90
276,USE850JB1C,443527USE850JB1C,1303328454585,HPProLiant,3,1,Server,ProLiant BL680c G5,1331879715686,0,"",00000050569801850000000300000114,USE850JB1C,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902164,35333434-3732-5355-4538-35304A423143
277,USE850JB1F,443527USE850JB1F,1303328454638,HPProLiant,1,1,Server,ProLiant BL680c G5,1331879717815,0,"",00000050569801850000000300000115,USE850JB1F,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884902165,35333434-3732-5355-4538-35304A423146
265,10.128.202.49,ILO......PZ8AMQ2808,1303328453763,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879727922,0,"",00000050569801850000000300000109,10.128.202.49,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902153,ILO......PZ8AMQ2808
