vcserver,vmname,version,toolstatus,toolsversion,toolsrunningstatus
"vf-vcd-vc-01.vmware.com","1840089193-ora-dev-ksbkdm-d1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1397351919-dev-ksdmmk-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0210993344-gss_dev_mysql","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0995429652-ora-fbi-dev-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0003123680-ora-sls-qa1-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0797853849-ora-bu-qa-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","web-lt-sso-1 (6634017b-573c-4635-ba24-ee2098e15192)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","template-1-ora (f07a7288-73e2-4d5e-bbea-f66e5d41b1d1)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1013076614-s2-demo-gsscm-1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1937477146-bi-sls-dev","v4","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1685164784-bi-bkg-dev-a1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0869981132-bi-bu-qa-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0237801763-dev-casemgmt","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1367999379-gss-test-mysql","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0907542749-vf-dev-wavemaker","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0903078739-gss-uat-mysql","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0657703927-s2-dev-gsscm-2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0790621163-bi-sls-uat-a1","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1809590731-ora-mkt-db2","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1598546752-inf-fbi-dev-a1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1465741479-ora-fbi-qa-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1521489563-bi-fbi-qa-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1043934393-bi-fbi-uat-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0995538320-icew-tgt-dev-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0801808855-s2-dev-icewm-1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0346112461-s2-dev-icewm-2","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0161104834-s2-test-icewm-1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1750881087-ora-mkt-db1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1576735034-ora-bkg-dev-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0504981224-ora-bkg-dev-d1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1901615330-dev-cp-app","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1055383971-icew-src-tst-d2","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","s2-apd1-lrp_0_ (76f8bdfe-379b-4bb5-9132-86d50d0f5e9c)","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","2014239263-bi-sls-dev1-a1","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1195129152-bi-bu-dev-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0214353334-bi-bkg-dev-a1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","2080464327-bi-bkg-uat-a1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0458805234-bi-bu-uat-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0273973461-bi-sls-dev3-a1","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0673089023-bi-sls-qa3-a1","v4","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","2073900002-uat-ksmkdm-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0502337293-ora-vcd-db2","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0993690982-ora-sls-dev1-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1068295990-obie-sls-dev1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","1549048432-ora-fbi-uat1-d1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0152432600-ora-bu-uat-d1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0561885001-icew-src-dev-d1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","dev-itbm-app (e99db36f-84e2-42ac-b915-7227e714835b)","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0067019568-bi-bu-dev-a1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","2134105098-dev-itbm-app","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","rhel-5 (6df3cacc-3f06-4886-bb20-021cb3a02c8a)","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0538226335-mysql-base-demo","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","0563476004-dev-slsdm-d1","v7","toolsNotRunning","","guestToolsNotRunning"
"vf-vcd-vc-01.vmware.com","1624519359-bi-fbi-dev-a1","v7","toolsOld","8290","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","0174729293-bi-bkg-qa-a1","v7","toolsOld","8295","guestToolsRunning"
"vf-vcd-vc-01.vmware.com","2047047497-inf-fbi-uat-a1","v7","toolsOld","8290","guestToolsRunning"
