display_client_name,agent_version
"ora-dmqa-d1.vmware.com","4.1.101-340"
"gss-srch-db1.vmware.com2011.03.19.11.57.36","4.1.101-340"
"mssql-dev.vmware.com","4.1.101-340"
"vmweb-apache-ha-12.vmware.com2011.03.07.13.39.59","3.7.1-100"
"zos-nonprod-hub-1.vmware.com","4.1.101-340"
"dr-stgportal1.vmware.com","3.7.1-100"
"vhunter4.vmware.com","4.0.3-24"
"ora-perf-fmwsoax-a2.vmware.com","6.0.100-592"
"wwwa-loadtest-sso-1.vmware.com","3.7.1-100"
"eis-prod-edzilla-1.vmware.com","4.1.101-340"
"ora-prod-fmidm-a3.vmware.com","5.0.106-28"
"store-testwlc1.vmware.com","3.7.1-100"
"puppetmaster.vmware.com","3.7.1-100"
"ora-prod-dmcbi-d1.vmware.com","4.1.101-340"
"store-stg2wlc1.vmware.com","3.7.1-100"
"ora-test-vi4-d1.vmware.com","4.1.100-1470"
"dw-ods-1.vmware.com","4.0.3-24"
"pa-altirisdb.vmware.com","4.1.101-340"
"ora-dev-vmwsup-ccm-1.vmware.com","4.0.3-24"
"cchi-d420.vmware.com2008.05.29.15.29.27","3.7.1-100"
"ora-dev-vmwsup-d1.vmware.com","4.1.100-1470"
"knova-stg-adm1.vmware.com","3.7.1-100"
"ora-prod-fbi-d1.vmware.com","4.1.100-1470"
"knova-prod-kss3.vmware.com","5.0.106-28"
"parootdc02.vmware.com","5.0.106-28"
"vf-chargeback.vmware.com","5.0.106-28"
"vmportal3-db6.vmware.com","4.1.101-340"
"sblesvprod2.vmware.com","4.0.3-24"
"rnls-otrs.vmware.com2011.02.07.08.31.10","3.7.1-100"
"osdc-vdi2-vc.vmware.com","4.0.3-24"
"dc-vmweb-db.vmware.com","3.7.1-100"
"pa-scanner1.vmware.com","4.1.101-340"
"zimbra-bes-01.vmware.com2011.01.21.14.06.15","4.1.101-340"
"qa-storewl1.vmware.com","3.7.1-100"
"fbi-prod-app-2.vmware.com2011.02.11.19.26.09","4.1.101-340"
"oraprodbihra01.vmware.com","4.1.101-340"
"paul-dev-web.vmware.com","4.1.101-340"
"vmportaldbclus1.vmware.com2011.03.19.11.48.02","4.1.101-340"
"pa-edi.vmware.com","3.7.1-100"
"pa-prmolap.vmware.com","3.7.1-100"
"siebgp.vmware.com","4.1.101-340"
"jackhammer.vmware.com","4.1.101-340"
"prmdev1.vmware.com","4.1.101-340"
"effecta-db1","4.1.101-340"
"osdc-itdev3.vmware.com","3.7.1-100"
"odi-agentqa03.vmware.com","4.1.101-340"
"knova-prod-adm.vmware.com","6.0.100-592"
"moss-dev-5.vmware.com","3.7.1-100"
"wwwa-loadtest-mysql-1.vmware.com","3.7.1-100"
"stage-pullflfm.vmware.com","3.7.1-100"
"knova-prod-andb.vmware.com","4.0.3-24"
"dr-stgwebsvc1.vmware.com","3.7.1-100"
"vf-view-cs-01.vmware.com","5.0.106-28"
"webops-labmgr.vmware.com","4.1.101-340"
"bugzilla-prod-lamp-1.vmware.com","4.1.101-340"
"bangiler-d420.vmware.com","4.1.101-340"
"kickstart.vmware.com","4.1.101-340"
"pa-symphoniq.vmware.com","3.7.1-100"
"vmportal3-wss.vmware.com","3.7.1-100"
"vmportal3-srch1.vmware.com","4.0.3-24"
"pa-zenoss-mysql-1.vmware.com","4.1.101-340"
"ora-apps-fmtst-3.vmware.com","4.0.3-24"
"gss-proxy-2.vmware.com","3.7.1-100"
"staging-www2.vmware.com","4.1.101-340"
"odi-lnx-agentprod01.vmware.com","4.1.101-340"
"wheaties.vmware.com","4.1.100-1470"
"osdc-sanw11.vmware.com","4.1.101-340"
"pa-testedi.vmware.com","5.0.106-28"
"vc-ops-1.vmware.com","4.0.3-24"
"pa-varonis-db.vmware.com","4.1.101-340"
"fbi-qa-app-2.vmware.com","4.1.101-340"
"alliances-salesforce-tap.vmware.com2011.02.07.08.36.55","4.1.101-340"
"eoo-d420.vmware.com","3.7.1-100"
"pa-gw-wmi.vmware.com","3.7.1-100"
"webops-lamp-3.vmware.com","4.1.101-340"
"pa-sql02.vmware.com","4.0.3-24"
"ora-stage-strm-fmsoa-a1.vmware.com","4.1.100-1470"
"ora-qa-csbi-d1.vmware.com","4.1.100-1470"
"dc-knova-kcc2.vmware.com","3.7.1-100"
"knova7-qaandb.vmware.com","3.7.1-100"
"knova-stg-ikb2.vmware.com","3.7.1-100"
"ora-bkg-prd-d1.vmware.com","5.0.106-28"
"ora-dev1-osb-a1.vmware.com","5.0.106-28"
"ppmprod.vmware.com","4.0.3-24"
"erikr-dev-db","4.0.3-24"
"ora-dmqa-d2.vmware.com","4.1.100-1470"
