vendor,device,model,versiontype,version
"avamar","cornflakes.vmware.com","avamar client","version","3.7.1-100"
"avamar","dc-knova-proxy.vmware.com","avamar client","version","3.7.1-100"
"avamar","vf-mgmt-vc-db.vmware.com","avamar client","version","5.0.106-28"
"avamar","osdc-srm-vc-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","vf-view-dhcp.vmware.com","avamar client","version","5.0.106-28"
"avamar","vmppm-vision.vmware.com","avamar client","version","4.0.3-24"
"avamar","vmweb-apache-ha-22.vmware.com2011.03.07.13.40.30","avamar client","version","3.7.1-100"
"avamar","pa-ppm1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-bes02.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-vdm03.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-qa-dmcbi-d1.vmware.com","avamar client","version","4.0.3-24"
"avamar","moss-dev-6.vmware.com","avamar client","version","4.0.3-24"
"avamar","moss-dev-2.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-aviq-odb.vmware.com","avamar client","version","4.1.101-340"
"avamar","store-stg2db1.vmware.com","avamar client","version","3.7.1-100"
"avamar","lm-itadmin3.vmware.com","avamar client","version","4.1.101-340"
"avamar","sblcctprod1.vmware.com","avamar client","version","4.0.3-24"
"avamar","sblcctprod6.vmware.com","avamar client","version","4.0.3-24"
"avamar","dc-knova-kss.vmware.com","avamar client","version","3.7.1-100"
"avamar","osoft-webapp2.vmware.com","avamar client","version","4.0.3-24"
"avamar","osdcwlcsandbox1.vmware.com","avamar client","version","3.7.1-100"
"avamar","jabber-prod-db-2.vmware.com2011.02.04.09.50.23","avamar client","version","5.0.105-169"
"avamar","tapeoutcppdb","avamar client","version"," unKnown "
"avamar","tapeoutsc9-nas-proxy-1","avamar client","version"," unKnown "
"avamar","vmportal3-srch.vmware.com","avamar client","version","3.7.1-100"
"avamar","qastoredb.vmware.com","avamar client","version","3.7.1-100"
"avamar","sblcctstage5.vmware.com","avamar client","version","4.0.3-24"
"avamar","vmweb-apache-ha-23.vmware.com2011.03.07.13.40.39","avamar client","version","3.7.1-100"
"avamar","tongwen-dev-web","avamar client","version","4.0.3-24"
"avamar","dr-vmwtestwsvc2.vmware.com","avamar client","version","3.7.1-100"
"avamar","poet-prod-app2.vmware.com","avamar client","version","4.0.3-24"
"avamar","knova-stg-kcc1.vmware.com2008.10.27.13.21.02","avamar client","version","3.7.1-100"
"avamar","vmportal3-db4.vmware.com2011.03.19.11.32.42","avamar client","version","4.1.101-340"
"avamar","ora-test2-osb-a1.vmware.com","avamar client","version","5.0.106-28"
"avamar","staging-wlc03.vmware.com","avamar client","version","3.7.1-100"
"avamar","osdc-qaprm.vmware.com","avamar client","version","3.7.1-100"
"avamar","vf-vcd-cell-01.vmware.com","avamar client","version","5.0.106-28"
"avamar","pa-print02.vmware.com","avamar client","version","4.1.101-340"
"avamar","ivr-app01-prod.vmware.com","avamar client","version","4.0.3-24"
"avamar","parootdc04.vmware.com","avamar client","version","5.0.106-28"
"avamar","stamp.vmware.com","avamar client","version","5.0.105-169"
"avamar","osdc-dns-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-beta-idm-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-oragrid.vmware.com","avamar client","version","4.1.101-340"
"avamar","vhunter3.vmware.com","avamar client","version","4.1.101-340"
"avamar","vc-prod-1.vmware.com","avamar client","version","5.0.105-169"
"avamar","osdc-dmz-lamp-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","passagepoint-1.vmware.com2011.01.21.14.12.28","avamar client","version","4.1.101-340"
"avamar","pa-opalis-prod1.vmware.com","avamar client","version","4.1.101-340"
"avamar","lmacias-d410.vmware.com","avamar client","version","3.7.1-100"
"avamar","ecc-store-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-dev-siebel-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","pa-sso.vmware.com","avamar client","version","3.7.1-100"
"avamar","tapeout","avamar client","version"," unKnown "
"avamar","osdc-storedevdb.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-perf-pmgmt-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","knova7-qaaddb.vmware.com","avamar client","version","3.7.1-100"
"avamar","vmweb-prod-people-1.vmware.com2011.03.07.13.40.46","avamar client","version","4.1.101-340"
"avamar","ppmdev.vmware.com","avamar client","version","4.1.101-340"
"avamar","zimbra-ldap-master-1.vmware.com","avamar client","version","5.0.105-169"
"avamar","ora-perf-fmwsoax-d1.vmware.com","avamar client","version","6.0.100-592"
"avamar","scripts.vmware.com","avamar client","version","4.0.3-24"
"avamar","vmportal3-db3.vmware.com2011.03.19.11.32.30","avamar client","version","4.1.101-340"
"avamar","sblgwstage3.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-altiris.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-perf-osb-a2.vmware.com","avamar client","version","5.0.106-28"
"avamar","osdc-lawdb.vmware.com","avamar client","version","3.7.1-100"
"avamar","ucmp.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-prod-strm-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","ora-stage-ebs-ccm-2.vmware.com","avamar client","version","4.1.101-340"
"avamar","softwareupdate-prod.vmware.com","avamar client","version","4.1.101-340"
"avamar","ecc-svr-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-tst-osb-a1.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-dev2-fmsoa-a1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","vmweb-test-wss.vmware.com","avamar client","version","3.7.1-100"
"avamar","store-stg2wlc5.vmware.com","avamar client","version","3.7.1-100"
"avamar","vhunter2.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-ace01.vmware.com","avamar client","version","4.1.101-340"
"avamar","zimbra-mbox-2.vmware.com","avamar client","version","5.0.105-169"
"avamar","sblwebstage2.vmware.com","avamar client","version","4.0.3-24"
"avamar","web-world-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-lt-fmsoa-a6.vmware.com","avamar client","version","5.0.106-28"
"avamar","osoft-prod-db.vmware.com","avamar client","version","4.1.101-340"
"avamar","ittools-app-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","avamar2tape","avamar client","version","4.0.3-24"
"avamar","poet-prod-app1.vmware.com","avamar client","version","4.0.3-24"
"avamar","vmportal3-qry2.vmware.com","avamar client","version","4.0.3-24"
"avamar","smtp-outbound-1.vmware.com","avamar client","version","5.0.105-169"
"avamar","pa-psynch2.vmware.com","avamar client","version","4.1.101-340"
"avamar","jabber-prod-1.vmware.com2011.02.04.09.46.54","avamar client","version","5.0.105-169"
"avamar","interwoven-dev-search-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-pat-fmb2b-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","gss-srch-web1.vmware.com","avamar client","version","4.1.101-340"
"avamar","osdc-ecc-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-dmqa-d1.vmware.com","avamar client","version","4.1.101-340"
"avamar","gss-srch-db1.vmware.com2011.03.19.11.57.36","avamar client","version","4.1.101-340"
"avamar","mssql-dev.vmware.com","avamar client","version","4.1.101-340"
"avamar","vmweb-apache-ha-12.vmware.com2011.03.07.13.39.59","avamar client","version","3.7.1-100"
"avamar","zos-nonprod-hub-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","dr-stgportal1.vmware.com","avamar client","version","3.7.1-100"
"avamar","vhunter4.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-perf-fmwsoax-a2.vmware.com","avamar client","version","6.0.100-592"
"avamar","wwwa-loadtest-sso-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","eis-prod-edzilla-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-prod-fmidm-a3.vmware.com","avamar client","version","5.0.106-28"
"avamar","store-testwlc1.vmware.com","avamar client","version","3.7.1-100"
"avamar","puppetmaster.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-prod-dmcbi-d1.vmware.com","avamar client","version","4.1.101-340"
"avamar","store-stg2wlc1.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-test-vi4-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","dw-ods-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-altirisdb.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-dev-vmwsup-ccm-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","cchi-d420.vmware.com2008.05.29.15.29.27","avamar client","version","3.7.1-100"
"avamar","ora-dev-vmwsup-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","knova-stg-adm1.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-prod-fbi-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","knova-prod-kss3.vmware.com","avamar client","version","5.0.106-28"
"avamar","parootdc02.vmware.com","avamar client","version","5.0.106-28"
"avamar","vf-chargeback.vmware.com","avamar client","version","5.0.106-28"
"avamar","vmportal3-db6.vmware.com","avamar client","version","4.1.101-340"
"avamar","sblesvprod2.vmware.com","avamar client","version","4.0.3-24"
"avamar","rnls-otrs.vmware.com2011.02.07.08.31.10","avamar client","version","3.7.1-100"
"avamar","osdc-vdi2-vc.vmware.com","avamar client","version","4.0.3-24"
"avamar","dc-vmweb-db.vmware.com","avamar client","version","3.7.1-100"
"avamar","pa-scanner1.vmware.com","avamar client","version","4.1.101-340"
"avamar","zimbra-bes-01.vmware.com2011.01.21.14.06.15","avamar client","version","4.1.101-340"
"avamar","qa-storewl1.vmware.com","avamar client","version","3.7.1-100"
"avamar","fbi-prod-app-2.vmware.com2011.02.11.19.26.09","avamar client","version","4.1.101-340"
"avamar","oraprodbihra01.vmware.com","avamar client","version","4.1.101-340"
"avamar","paul-dev-web.vmware.com","avamar client","version","4.1.101-340"
"avamar","vmportaldbclus1.vmware.com2011.03.19.11.48.02","avamar client","version","4.1.101-340"
"avamar","pa-edi.vmware.com","avamar client","version","3.7.1-100"
"avamar","pa-prmolap.vmware.com","avamar client","version","3.7.1-100"
"avamar","siebgp.vmware.com","avamar client","version","4.1.101-340"
"avamar","jackhammer.vmware.com","avamar client","version","4.1.101-340"
"avamar","prmdev1.vmware.com","avamar client","version","4.1.101-340"
"avamar","effecta-db1","avamar client","version","4.1.101-340"
"avamar","osdc-itdev3.vmware.com","avamar client","version","3.7.1-100"
"avamar","odi-agentqa03.vmware.com","avamar client","version","4.1.101-340"
"avamar","knova-prod-adm.vmware.com","avamar client","version","6.0.100-592"
"avamar","moss-dev-5.vmware.com","avamar client","version","3.7.1-100"
"avamar","wwwa-loadtest-mysql-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","stage-pullflfm.vmware.com","avamar client","version","3.7.1-100"
"avamar","knova-prod-andb.vmware.com","avamar client","version","4.0.3-24"
"avamar","dr-stgwebsvc1.vmware.com","avamar client","version","3.7.1-100"
"avamar","vf-view-cs-01.vmware.com","avamar client","version","5.0.106-28"
"avamar","webops-labmgr.vmware.com","avamar client","version","4.1.101-340"
"avamar","bugzilla-prod-lamp-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","bangiler-d420.vmware.com","avamar client","version","4.1.101-340"
"avamar","kickstart.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-symphoniq.vmware.com","avamar client","version","3.7.1-100"
"avamar","vmportal3-wss.vmware.com","avamar client","version","3.7.1-100"
"avamar","vmportal3-srch1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-zenoss-mysql-1.vmware.com","avamar client","version","4.1.101-340"
"avamar","ora-apps-fmtst-3.vmware.com","avamar client","version","4.0.3-24"
"avamar","gss-proxy-2.vmware.com","avamar client","version","3.7.1-100"
"avamar","staging-www2.vmware.com","avamar client","version","4.1.101-340"
"avamar","odi-lnx-agentprod01.vmware.com","avamar client","version","4.1.101-340"
"avamar","wheaties.vmware.com","avamar client","version","4.1.100-1470"
"avamar","osdc-sanw11.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-testedi.vmware.com","avamar client","version","5.0.106-28"
"avamar","vc-ops-1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-varonis-db.vmware.com","avamar client","version","4.1.101-340"
"avamar","fbi-qa-app-2.vmware.com","avamar client","version","4.1.101-340"
"avamar","alliances-salesforce-tap.vmware.com2011.02.07.08.36.55","avamar client","version","4.1.101-340"
"avamar","eoo-d420.vmware.com","avamar client","version","3.7.1-100"
"avamar","pa-gw-wmi.vmware.com","avamar client","version","3.7.1-100"
"avamar","webops-lamp-3.vmware.com","avamar client","version","4.1.101-340"
"avamar","pa-sql02.vmware.com","avamar client","version","4.0.3-24"
"avamar","ora-stage-strm-fmsoa-a1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","ora-qa-csbi-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","dc-knova-kcc2.vmware.com","avamar client","version","3.7.1-100"
"avamar","knova7-qaandb.vmware.com","avamar client","version","3.7.1-100"
"avamar","knova-stg-ikb2.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-bkg-prd-d1.vmware.com","avamar client","version","5.0.106-28"
"avamar","ora-dev1-osb-a1.vmware.com","avamar client","version","5.0.106-28"
"avamar","ppmprod.vmware.com","avamar client","version","4.0.3-24"
"avamar","erikr-dev-db","avamar client","version","4.0.3-24"
"avamar","ora-dmqa-d2.vmware.com","avamar client","version","4.1.100-1470"
"avamar","osdc-itdevr2d2.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-qa-fbi-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","ora-edwprod-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","ora-dev2-fmidm-d1.vmware.com","avamar client","version","4.1.100-1470"
"avamar","parootdc05.vmware.com","avamar client","version","5.0.106-28"
"avamar","wwwa-dev-sso-1.vmware.com","avamar client","version","3.7.1-100"
"avamar","pa-dhcp01.vmware.com","avamar client","version","4.0.3-24"
"avamar","dr-uatwebsvc2.vmware.com","avamar client","version","5.0.106-28"
"avamar","john-dev-web","avamar client","version","4.0.3-24"
"avamar","pkrekos-e4300.vmware.com","avamar client","version","4.1.101-340"
"avamar","rocky.vmware.com","avamar client","version","5.0.105-169"
"avamar","ora-dev3-osb-a1.vmware.com","avamar client","version","5.0.106-28"
"avamar","pa-itdev5.vmware.com","avamar client","version","3.7.1-100"
"avamar","pa-dev1-icdb.vmware.com","avamar client","version","4.0.3-24"
"avamar","sblwebstage1.vmware.com","avamar client","version","4.0.3-24"
"avamar","pa-itdevob1.vmware.com","avamar client","version","3.7.1-100"
"avamar","ora-prod-iwov-d1.vmware.com","avamar client","version","5.0.106-28"
"avamar","qa-alpine1.vmware.com","avamar client","version","3.7.1-100"
"avamar","pa-adc3.vmware.com","avamar client","version","4.1.101-340"
"avamar","telecom-dhcp-1.vmware.com","avamar client","version","4.1.101-340"
