vendor,vmhost,model,biosversion
"HP","wdc-lt-vmg1-4.vmware.com","ProLiant BL490c G7","I28"
"HP","wdc-lt-vmg1-5.vmware.com","ProLiant BL490c G7","I28"
"HP","wdc-lt-vmg1-6.vmware.com","ProLiant BL490c G7","I28"
"HP","wdc-lt-vmg2-2.vmware.com","ProLiant BL620c G7","I25"
"HP","wdc-lt-vmg2-1.vmware.com","ProLiant BL620c G7","I25"
"HP","wdc-qai-vmg1-1.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-qai-vmg1-2.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-qai-vmg1-3.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-qai-vmg1-4.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-qai-vmg1-5.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-qai-vmg1-6.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-qai-vmg1-7.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-qai-vmg1-8.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-9.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-10.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-11.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-12.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-13.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-14.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-15.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-16.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-2.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-3.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-4.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-5.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-6.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-7.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-8.vmware.com","ProLiant BL685c G6","A17"
"HP","wdc-uat-vmg1-1.vmware.com","ProLiant BL685c G6","A17"
"HP","lmacias-esx2.vmware.com","ProLiant ML350 G6","D22"
"Dell Computer Corporation","lmacias-esx1.vmware.com","PowerEdge 1800",""
"HP","zaigui-esx-1.vmware.com","ProLiant ML350 G6","D22"
"HP","osdc-ph3-vmg1-2.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg1-3.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg1-4.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg1-5.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg1-7.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg1-8.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg1-9.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg1-1.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg1-6.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-vmg2-1.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-vmg2-5.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-vmg2-2.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-vmg2-3.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-vmg2-4.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-vmg2-6.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-vmg2-7.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-vmg2-9.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-vmg2-8.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-ph3-wopsvmg1-4.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-wopsvmg1-5.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-wopsvmg1-6.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-wopsvmg1-1.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-wopsvmg1-2.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-ph3-wopsvmg1-3.vmware.com","ProLiant BL685c G1","A08"
"Dell Computer Corporation","vnoc-esx1.vmware.com","PowerEdge 1800","A05"
"HP","sc9-prod-vmg5-1.vmware.com","ProLiant BL490c G7","I28"
"HP","wdc-prod-vmg1-3.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-prod-vmg1-4.vmware.com","ProLiant BL685c G7","A20"
"HP","wdc-t2prod1-1.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-t2prod1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-t2prod1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","wdc-t2prod1-4.vmware.com","ProLiant BL680c G5","I17"
"Cisco Systems Inc","paix-vmg1-1.vmware.com","R210-2121605W","C200.1.2.1a.0.080820102357"
"Cisco Systems Inc","paix-vmg1-2.vmware.com","R210-2121605W","C200.1.4.1.0.071320110702"
"Cisco Systems Inc","paix-vmg1-3.vmware.com","R210-2121605W","C200.1.4.1.0.071320110702"
"HP","promb-prod-vmg1-1.vmware.com","ProLiant DL365 G1","A10"
"HP","promb-prod-vmg1-2.vmware.com","ProLiant DL365 G1","A10"
"HP","felizondo-esx.vmware.com","ProLiant ML350 G6","D22"
"HP","osdc-dmz1-4.vmware.com","ProLiant DL585 G1","A01"
"HP","osdc-vmg1-1.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg1-5.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg1-6.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg2-8.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg2-1.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg2-2.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg2-3.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg2-5.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg2-6.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg2-7.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg3-10.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-vmg3-12.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-vmg3-14.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-vmg3-15.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-vmg3-4.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-vmg3-9.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-vmg3-7.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-stg-vmg1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-stg-vmg1-6.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-stg-vmg1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-stg-vmg1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-stg-vmg1-5.vmware.com","ProLiant BL680c G5","I17"
"HP","osdc-vmg3-6.vmware.com","ProLiant BL685c G1","A08"
"HP","osdc-vmg2-4.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-ebiz1-1.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-ebiz1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-ebiz1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-ebiz1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-ebiz1-5.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-ebiz1-6.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-ebiz1-7.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-ebiz1-8.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-7.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-10.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-1.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-5.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-6.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-11.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-12.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-8.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg1-9.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg3-1.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-4.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-2.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-7.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-3.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-6.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-8.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg4-2.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-3.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-1.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-5.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-6.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-7.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-8.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-9.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-10.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg4-4.vmware.com","ProLiant BL460c G7","I27"
"HP","sc9-prod-vmg2-5.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg2-6.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg2-7.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg2-8.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg2-1.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg2-2.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg2-3.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg2-4.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-prod-vmg3-9.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-10.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-11.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg3-12.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-prod-vmg5-1.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-prod-vmg5-2.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-prod-vmg5-3.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-prod-vmg5-4.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-prod-vmg5-5.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-prod-vmg5-6.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-prod-vmg6-1.vmware.com","ProLiant BL620c G7","I25"
"HP","sc9-prod-vmg6-2.vmware.com","ProLiant BL620c G7","I25"
"HP","sc9-tmpesx-1.vmware.com","ProLiant DL385 G2",""
"HP","sc9-stage-ebiz1-7.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-ebiz1-6.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-ebiz1-1.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-ebiz1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-ebiz1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-ebiz1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-ebiz1-5.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-ebiz1-8.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-vmg1-1.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-vmg1-2.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-vmg1-3.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-vmg1-4.vmware.com","ProLiant BL680c G5","I17"
"HP","sc9-stage-vmg1-5.vmware.com","ProLiant BL460c G1","I15"
"HP","sc9-stage-vmg1-6.vmware.com","ProLiant BL460c G1","I15"
"HP","sc9-stage-vmg2-2.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-stage-vmg2-3.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-stage-vmg2-1.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-stage-vmg2-4.vmware.com","ProLiant BL685c G7","A20"
"HP","sc9-stage-vmg3-1.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-stage-vmg3-2.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-stage-vmg5-1.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-stage-vmg5-2.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-stage-vmg5-3.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-stage-vmg5-4.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-stage-vmg5-5.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-stage-vmg5-6.vmware.com","ProLiant BL490c G7","I28"
"HP","sc9-stage-vmg6-1.vmware.com","ProLiant BL620c G7","I25"
"HP","sc9-stage-vmg6-2.vmware.com","ProLiant BL620c G7","I25"
"HP","vmview-mgmt-2.vmware.com","ProLiant BL685c G1","A08"
"HP","vmview-mgmt-1.vmware.com","ProLiant BL685c G1","A08"
"HP","sc9-prod-vmg3-5.vmware.com","ProLiant BL685c G7","A20"
