"timestamp","ipaddress","uid","model","modeltype","agentrev","promrev","revision","serialnum","cabinet","name"
"2012-4-11 14:7:46","10.128.204.64","50:06:01:60:C6:E0:03:B3","VNX5700","Rackmount","7.31.30 (0.90)","7.72.00","05.31.000.5.704","APM00111002206","SPE5","wdc-vnx-2630"
"2012-4-11 14:7:46","10.119.0.203","50:06:01:60:C6:E0:4B:43","VNX7500","Rackmount","7.31.25 (1.29)","7.72.00","05.31.000.5.509","APM00111001875","SPE5","vf-vnx7500-cs0"
"2012-4-11 14:7:46","10.113.81.5","50:06:01:60:C7:20:2D:D9","VNX7500","Rackmount","7.31.30 (0.90)","8.10.00","05.31.000.5.709","APM00121004201","SPE5","osdc-cx3-80-04 Exchange"
