"timestamp","vcserver","cluster","vmhost","uuid","connectionstate","powerstate","vendor","model","memorysize","cpumodel","cpuhz","numcpupackages","numcpucores","numcputhreads","esxproductname","esxversion","esxbuild","serialnumber","biosversion"
"2011-11-21 02:04:16","sc9-srm-vc-1.vmware.com","sc9-mail-vmg1","sc9-mail-vmg1-3.vmware.com","36303337-3138-5553-4530-34303234434a","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436902","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:04:16","sc9-srm-vc-1.vmware.com","sc9-mail-vmg1","sc9-mail-vmg1-4.vmware.com","36303337-3138-5553-4530-343032344348","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933437012","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:04:16","sc9-srm-vc-1.vmware.com","sc9-mail-vmg1","sc9-mail-vmg1-12.vmware.com","36303337-3138-5553-4530-3431324d4b4e","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436990","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:04:16","sc9-srm-vc-1.vmware.com","sc9-mail-vmg1","sc9-mail-vmg1-8.vmware.com","36303337-3138-5553-4530-3431324d4c30","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436946","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:04:16","sc9-srm-vc-1.vmware.com","sc9-mail-vmg1","sc9-mail-vmg1-7.vmware.com","36303337-3138-5553-4530-3431324d4b4c","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436946","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:04:16","sc9-srm-vc-1.vmware.com","sc9-mail-vmg1","sc9-mail-vmg1-11.vmware.com","36303337-3138-5553-4530-3431324d4c37","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436990","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:04:16","sc9-srm-vc-1.vmware.com","sc9-mail-vmg1","sc9-mail-vmg1-6.vmware.com","36303337-3138-5553-4530-3431324d4b4d","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436946","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:04:16","sc9-srm-vc-1.vmware.com","sc9-mail-vmg1","sc9-mail-vmg1-5.vmware.com","36303337-3138-5553-4530-3431324d4b57","connected","poweredOn","HP","ProLiant BL460c G7","103066628096","Intel(R) Xeon(R) CPU           X5670  @ 2.93GHz","2933436880","2","12","24","VMware ESX","4.1.0","348481",,"I27"
"2011-11-21 02:04:42","osdc-srm-vc-1.vmware.com","osdc-msg1","osdc-msg1-7.vmware.com","34343335-3237-5553-4538-303939364335","connected","poweredOn","HP","ProLiant BL680c G5","68716621824","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400084198","4","16","16","VMware ESX","4.0.0","244038",,"I17"
"2011-11-21 02:04:42","osdc-srm-vc-1.vmware.com","osdc-msg1","osdc-msg1-2.vmware.com","34343335-3237-5553-4538-303839325748","connected","poweredOn","HP","ProLiant BL680c G5","68716519424","Intel(R) Xeon(R) CPU           E7340  @ 2.40GHz","2400083397","4","16","16","VMware ESX","4.0.0","244038",,"I17"
