"timestamp","vcserver","cluster","totalcpu","totalmemory","numcpucores"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-dev-greenplum1","689408","4397462781952","256"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-dev-greenplum2","517056","2198731390976","192"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-qa-greenplum1","1034112","4397462781952","384"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-qa-greenplum2","517056","2198731390976","192"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-test-greenplum","153536","1099438604288","64"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-prd1-greenplum","690944","4397462847488","256"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-win1","129552","824449941504","48"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","osdc-ph3-vmg1","83584","274868649984","32"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","osdc-ph3-vmg2","115200","206147948544","48"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","sc9-vf-dev1 (sc9-k9-10)","318336","1288392978432","108"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","sc9-vf-dev2 (sc9-j12-13)","882816","3298318860288","384"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-devtest4","604512","1649051418624","288"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-devtest1","192000","343579914240","80"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-devtest3","192000","343579914240","80"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-itlab1","159760","1099489816576","80"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-itlab2","0","0","0"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-loadtest-vmg1","115200","343586902016","48"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-lt-vmg1","284736","1133784961024","96"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-lt-vmg2","95880","549734002688","40"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-lt-rac","460608","3298315935744","192"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-lt-vmg3","388656","2473387008000","144"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-qai-vmg1","249600","549742329856","96"
"2014-05-23 05:47:17","vc-dev-1.vmware.com","wdc-uat-vmg1","249600","549742329856","96"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","osdc-vmg2","153600","274863931392","64"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","osdc-vmg3","62688","103072272384","24"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","paix-vmg1","95976","205948448768","36"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","promb-prod-vmg1","11200","34355240960","4"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","promb-prod-vsan1","0","0","0"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","wdc-prod-vmg1","86368","549633294336","32"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","wdc-t2prod1","153600","274863931392","64"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-vmg3","844416","2192292777984","384"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-vmg4","460740","1442968936448","156"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-vmg5","211152","824568926208","72"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-vmg6","95880","549733998592","40"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-ebiz","172736","1099366154240","64"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-vmg1","259104","1649049231360","96"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-vmg2","172736","1099366154240","64"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-sql-vmg8","302288","1923890769920","112"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod7-win","259104","1649048567808","96"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-rac","460608","3298315935744","192"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-vf-prod1","291144","1236864184320","96"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-vf-prod2","1356224","4947377639424","576"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod9-win","230304","1649157926912","96"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod10","307072","1649121476608","128"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod11","453432","2611084763136","168"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-greenplum1","1034112","4397462781952","384"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-prod-greenplum2","581688","2473572814848","216"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage-vmg2","427008","1099367612416","192"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage-vmg5","211152","824568922112","72"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage-vmg6","95880","549733998592","40"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage-ebiz","172736","1099366043648","64"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage-vmg1","259104","1649049231360","96"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage-rac","460608","3298315935744","192"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage7-sql","86368","549683077120","32"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-vf-stage1","172736","1099366154240","64"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage8","453432","2611084763136","168"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage-greenplum1","1034112","4397462781952","384"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-stage-greenplum2","581688","2473572814848","216"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","vf-mgmt","95976","309205352448","36"
"2014-05-23 05:47:32","vc-prod-1.vmware.com","sc9-mgmt1","172736","1099366043648","64"
