"timestamp","vmhost","pnic","speed","macaddress","peerdeviceid","peeripaddress","peerportid","observed","vlan","datacenter"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-11.vmware.com","vmnic2","10000","f0:92:1c:0d:d5:81",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-11.vmware.com","vmnic3","10000","f0:92:1c:0d:d5:85",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-11.vmware.com","vmnic4","10000","f0:92:1c:0d:d5:82",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-11.vmware.com","vmnic5","10000","f0:92:1c:0d:d5:86",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-11.vmware.com","vmnic6",,"f0:92:1c:0d:d5:83",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-11.vmware.com","vmnic7",,"f0:92:1c:0d:d5:87",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-12.vmware.com","vmnic0","10000","f0:92:1c:0d:d5:f8","rce02-prod-eat1(TBM16084399)","10.129.255.4","Ethernet11/1","10.113.160.1-10.113.191.254 10.119.17.1-10.119.17.127 10.113.128.1-10.113.135.254 10.113.52.1-10.113.52.254 10.113.60.1-10.113.61.254 10.119.41.29-10.119.41.29 10.113.47.1-10.113.47.63 10.128.242.130-10.128.242.130 10.113.12.1-10.113.12.31 0.0.0.1-255.255.255.254 10.128.212.92-10.128.212.93 10.128.125.1-10.128.125.15 10.113.14.1-10.113.14.254 10.128.188.1-10.128.188.31 10.128.10.1-10.128.10.254 10.113.112.1-10.113.112.31 10.119.33.1-10.119.33.31 192.168.0.1-192.168.15.254 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.113.125.16-10.113.125.31 10.113.76.1-10.113.76.254 10.119.6.1-10.119.6.15 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 ","3460 3473 3459 3433 3437 3475 3036 3889 3427 3887 3212 3155 3428 3156 3896 3103 3474 0 3419 3472 3108 3422 3471 3476 3412 3161 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-12.vmware.com","vmnic1","10000","f0:92:1c:0d:d5:fc","rce02-prod-eat1(TBM16084399)","10.129.255.4","Ethernet11/2","10.113.128.1-10.113.135.254 10.113.160.1-10.113.167.254 10.113.60.1-10.113.61.254 10.119.41.29-10.119.41.29 10.113.52.1-10.113.52.254 0.0.0.1-255.255.255.254 10.128.212.92-10.128.212.93 10.113.47.1-10.113.47.63 10.113.14.1-10.113.14.254 10.128.242.130-10.128.242.130 10.119.17.1-10.119.17.127 10.113.12.1-10.113.12.31 10.128.125.1-10.128.125.15 10.128.188.1-10.128.188.31 10.128.10.1-10.128.10.254 10.113.112.1-10.113.112.31 10.119.33.1-10.119.33.31 192.168.0.1-192.168.15.254 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.113.125.16-10.113.125.31 10.113.76.1-10.113.76.254 10.119.6.1-10.119.6.15 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 ","3459 3460 3437 3475 3433 3887 3212 3036 3428 3889 3473 3427 3155 3156 3896 3103 3474 0 3419 3472 3108 3422 3471 3476 3412 3161 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-12.vmware.com","vmnic2","10000","f0:92:1c:0d:d5:f9",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-12.vmware.com","vmnic3","10000","f0:92:1c:0d:d5:fd",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-12.vmware.com","vmnic4","10000","f0:92:1c:0d:d5:fa",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-12.vmware.com","vmnic5","10000","f0:92:1c:0d:d5:fe",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-12.vmware.com","vmnic6",,"f0:92:1c:0d:d5:fb",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-stage1-r02-c06-12.vmware.com","vmnic7",,"f0:92:1c:0d:d5:ff",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-1.vmware.com","vmnic0","10000","00:25:b5:10:a1:7e","wdc-prod-ucs-fi-01-A(FOX1614G11W)","10.128.160.22","Vethernet2541","10.113.128.1-10.113.135.254 10.113.60.1-10.113.61.254 10.113.160.1-10.113.191.254 10.113.52.1-10.113.52.254 10.119.41.29-10.119.41.29 10.113.14.1-10.113.14.254 10.113.12.1-10.113.12.31 10.128.212.92-10.128.212.93 10.119.17.1-10.119.17.127 10.128.242.130-10.128.242.130 10.113.47.1-10.113.47.63 10.128.188.1-10.128.188.31 10.119.33.1-10.119.33.31 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.128.125.1-10.128.125.15 10.128.152.125-10.128.152.125 10.119.6.1-10.119.6.15 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 10.113.76.1-10.113.76.254 0.0.0.1-255.255.255.254 ","3459 3437 3460 3433 3475 3428 3427 3212 3473 3889 3036 3156 3474 3419 3472 3155 3883 3471 3476 3412 3422 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-1.vmware.com","vmnic1","10000","00:25:b5:11:a0:7e","wdc-prod-ucs-fi-01-A(FOX1614G11W)","10.128.160.22","Vethernet2542"," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-1.vmware.com","vmnic2","10000","00:25:b5:12:a3:7e","wdc-prod-ucs-fi-01-A(FOX1614G11W)","10.128.160.22","Vethernet2543","10.128.242.130-10.128.242.130 10.113.128.1-10.113.135.254 10.113.160.1-10.113.167.254 10.113.60.1-10.113.61.254 10.113.52.1-10.113.52.254 10.119.17.1-10.119.17.127 10.113.12.1-10.113.12.31 10.113.14.1-10.113.14.254 10.119.41.29-10.119.41.29 10.128.212.92-10.128.212.93 10.113.47.1-10.113.47.63 10.128.188.1-10.128.188.31 10.119.33.1-10.119.33.31 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.128.125.1-10.128.125.15 10.128.152.125-10.128.152.125 10.119.6.1-10.119.6.15 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 10.113.76.1-10.113.76.254 0.0.0.1-255.255.255.254 ","3889 3459 3460 3437 3433 3473 3427 3428 3475 3212 3036 3156 3474 3419 3472 3155 3883 3471 3476 3412 3422 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-1.vmware.com","vmnic3","10000","00:25:b5:13:a2:5e","wdc-prod-ucs-fi-01-A(FOX1614G11W)","10.128.160.22","Vethernet2544","10.113.62.1-10.113.63.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-1.vmware.com","vmnic4","10000","00:25:b5:10:b2:5e","wdc-prod-ucs-fi-01-B(FOX1614G12J)","10.128.160.23","Vethernet2545","10.113.128.1-10.113.135.254 10.113.60.1-10.113.61.254 10.113.160.1-10.113.167.254 10.113.52.1-10.113.52.254 10.119.41.29-10.119.41.29 10.113.14.1-10.113.14.254 10.113.12.1-10.113.12.31 10.128.212.92-10.128.212.93 10.119.17.1-10.119.17.127 10.128.125.1-10.128.125.15 10.128.242.130-10.128.242.130 10.113.47.1-10.113.47.63 10.128.188.1-10.128.188.31 10.119.33.1-10.119.33.31 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.119.6.1-10.119.6.15 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 10.113.76.1-10.113.76.254 0.0.0.1-255.255.255.254 ","3459 3437 3460 3433 3475 3428 3427 3212 3473 3155 3889 3036 3156 3474 3419 3472 3471 3476 3412 3422 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-1.vmware.com","vmnic5","10000","00:25:b5:11:b3:7e","wdc-prod-ucs-fi-01-B(FOX1614G12J)","10.128.160.23","Vethernet2546"," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-1.vmware.com","vmnic6","10000","00:25:b5:12:b0:7e","wdc-prod-ucs-fi-01-B(FOX1614G12J)","10.128.160.23","Vethernet2547","10.128.242.130-10.128.242.130 10.113.128.1-10.113.135.254 10.113.160.1-10.113.191.254 10.113.60.1-10.113.61.254 10.113.52.1-10.113.52.254 10.119.17.1-10.119.17.127 10.113.12.1-10.113.12.31 10.113.14.1-10.113.14.254 10.119.41.29-10.119.41.29 10.128.212.92-10.128.212.93 10.128.125.1-10.128.125.15 10.113.47.1-10.113.47.63 10.128.188.1-10.128.188.31 10.119.33.1-10.119.33.31 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.119.6.1-10.119.6.15 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 10.113.76.1-10.113.76.254 0.0.0.1-255.255.255.254 ","3889 3459 3460 3437 3433 3473 3427 3428 3475 3212 3155 3036 3156 3474 3419 3472 3471 3476 3412 3422 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-1.vmware.com","vmnic7","10000","00:25:b5:13:b1:7e","wdc-prod-ucs-fi-01-B(FOX1614G12J)","10.128.160.23","Vethernet2548","10.113.62.1-10.113.63.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-2.vmware.com","vmnic0","10000","00:25:b5:10:a1:4e","wdc-prod-ucs-fi-01-A(FOX1614G11W)","10.128.160.22","Vethernet2511","10.113.128.1-10.113.135.254 10.113.160.1-10.113.191.254 10.113.60.1-10.113.61.254 10.113.52.1-10.113.52.254 10.113.47.1-10.113.47.63 10.128.212.92-10.128.212.93 10.119.41.29-10.119.41.29 10.128.242.130-10.128.242.130 10.113.14.1-10.113.14.254 10.113.12.1-10.113.12.31 10.128.188.1-10.128.188.31 10.119.17.1-10.119.17.127 10.119.33.1-10.119.33.31 10.113.76.1-10.113.76.254 10.119.6.1-10.119.6.15 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.128.10.1-10.128.10.254 10.113.112.1-10.113.112.31 10.128.125.1-10.128.125.15 10.128.152.125-10.128.152.125 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 0.0.0.1-255.255.255.254 ","3459 3460 3437 3433 3036 3212 3475 3889 3428 3427 3156 3473 3474 3422 3471 3419 3472 3896 3103 3155 3883 3476 3412 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-2.vmware.com","vmnic1","10000","00:25:b5:11:a0:4e","wdc-prod-ucs-fi-01-A(FOX1614G11W)","10.128.160.22","Vethernet2512"," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-2.vmware.com","vmnic2","10000","00:25:b5:12:a3:4e","wdc-prod-ucs-fi-01-A(FOX1614G11W)","10.128.160.22","Vethernet2513","10.113.160.1-10.113.191.254 10.113.128.1-10.113.135.254 10.113.60.1-10.113.61.254 10.113.47.1-10.113.47.63 10.113.52.1-10.113.52.254 10.119.41.29-10.119.41.29 10.113.14.1-10.113.14.254 10.128.242.130-10.128.242.130 10.128.212.92-10.128.212.93 10.113.12.1-10.113.12.31 10.128.188.1-10.128.188.31 10.119.17.1-10.119.17.127 10.119.33.1-10.119.33.31 10.113.76.1-10.113.76.254 10.119.6.1-10.119.6.15 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.128.10.1-10.128.10.254 10.113.112.1-10.113.112.31 10.128.125.1-10.128.125.15 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 ","3460 3459 3437 3036 3433 3475 3428 3889 3212 3427 3156 3473 3474 3422 3471 3419 3472 3896 3103 3155 3476 3412 3161 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-2.vmware.com","vmnic3","10000","00:25:b5:13:a2:2e","wdc-prod-ucs-fi-01-A(FOX1614G11W)","10.128.160.22","Vethernet2514","10.113.62.1-10.113.63.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-2.vmware.com","vmnic4","10000","00:25:b5:10:b2:2e","wdc-prod-ucs-fi-01-B(FOX1614G12J)","10.128.160.23","Vethernet2515","10.113.128.1-10.113.135.254 10.113.160.1-10.113.191.254 10.113.60.1-10.113.61.254 10.113.52.1-10.113.52.254 10.113.47.1-10.113.47.63 10.128.212.92-10.128.212.93 10.119.41.29-10.119.41.29 10.128.242.130-10.128.242.130 10.128.125.1-10.128.125.15 10.113.14.1-10.113.14.254 10.113.12.1-10.113.12.31 10.128.188.1-10.128.188.31 10.119.17.1-10.119.17.127 10.119.33.1-10.119.33.31 10.113.76.1-10.113.76.254 10.119.6.1-10.119.6.15 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.128.10.1-10.128.10.254 10.113.112.1-10.113.112.31 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 0.0.0.1-255.255.255.254 ","3459 3460 3437 3433 3036 3212 3475 3889 3155 3428 3427 3156 3473 3474 3422 3471 3419 3472 3896 3103 3476 3412 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-2.vmware.com","vmnic5","10000","00:25:b5:11:b3:4e","wdc-prod-ucs-fi-01-B(FOX1614G12J)","10.128.160.23","Vethernet2516"," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-2.vmware.com","vmnic6","10000","00:25:b5:12:b0:4e","wdc-prod-ucs-fi-01-B(FOX1614G12J)","10.128.160.23","Vethernet2517","10.113.160.1-10.113.191.254 10.113.128.1-10.113.159.254 10.113.60.1-10.113.61.254 10.113.47.1-10.113.47.63 10.113.52.1-10.113.52.254 10.119.41.29-10.119.41.29 10.113.14.128-10.113.14.254 10.128.242.130-10.128.242.130 10.128.125.1-10.128.125.15 10.128.212.92-10.128.212.93 10.113.12.1-10.113.12.31 10.128.188.1-10.128.188.31 10.119.17.1-10.119.17.127 10.119.33.1-10.119.33.31 10.113.76.1-10.113.76.254 10.119.6.1-10.119.6.15 10.113.36.16-10.113.36.31 10.119.8.1-10.119.8.63 10.128.10.1-10.128.10.254 10.113.112.1-10.113.112.31 10.119.49.1-10.119.49.127 10.113.68.1-10.113.68.254 0.0.0.1-255.255.255.254 0.0.0.1-255.255.255.254 ","3460 3459 3437 3036 3433 3475 3428 3889 3155 3212 3427 3156 3473 3474 3422 3471 3419 3472 3896 3103 3476 3412 3161 3470 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-prod-vmg1-2.vmware.com","vmnic7","10000","00:25:b5:13:b1:4e","wdc-prod-ucs-fi-01-B(FOX1614G12J)","10.128.160.23","Vethernet2518","10.113.63.128-10.113.63.128 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-1.vmware.com","vmnic0","1000","00:22:64:0e:89:4e","bc1-g05-c7000-s1.vmware.com","0.0.0.0","GigabitEthernet0/9","0.0.0.1-255.255.255.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-1.vmware.com","vmnic1","1000","00:22:64:0e:89:4c","bc1-g05-c7000-s2.vmware.com","0.0.0.0","GigabitEthernet0/9","0.0.0.1-255.255.255.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-1.vmware.com","vmnic2","1000","00:22:64:0e:bc:a8","bc1-g05-c7000-s1.vmware.com","0.0.0.0","GigabitEthernet0/1","10.128.152.1-10.128.152.127 0.0.0.1-255.255.255.254 ","3883 3882 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-1.vmware.com","vmnic3","1000","00:22:64:0e:bc:a9","bc1-g05-c7000-s2.vmware.com","0.0.0.0","GigabitEthernet0/1","10.128.152.1-10.128.152.127 0.0.0.1-255.255.255.254 ","3883 3882 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-1.vmware.com","vmnic4","1000","00:1f:29:6e:00:48",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-1.vmware.com","vmnic5","1000","00:1f:29:6e:00:49",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-1.vmware.com","vmnic6","1000","00:1f:29:6e:00:4a",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-1.vmware.com","vmnic7","1000","00:1f:29:6e:00:4b",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-2.vmware.com","vmnic0","1000","00:22:64:0e:89:16","bc1-g05-c7000-s1.vmware.com","0.0.0.0","GigabitEthernet0/10"," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-2.vmware.com","vmnic1","1000","00:22:64:0e:89:18","bc1-g05-c7000-s2.vmware.com","0.0.0.0","GigabitEthernet0/10"," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-2.vmware.com","vmnic2","1000","00:22:64:0e:bc:8a","bc1-g05-c7000-s1.vmware.com","0.0.0.0","GigabitEthernet0/2","10.128.152.1-10.128.152.127 0.0.0.1-255.255.255.254 ","3883 3882 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-2.vmware.com","vmnic3","1000","00:22:64:0e:bc:8b","bc1-g05-c7000-s2.vmware.com","0.0.0.0","GigabitEthernet0/2","10.128.152.1-10.128.152.127 0.0.0.1-255.255.255.254 ","3883 3882 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-2.vmware.com","vmnic4","1000","00:1f:29:6e:70:68",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-2.vmware.com","vmnic5","1000","00:1f:29:6e:70:69",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-2.vmware.com","vmnic6","1000","00:1f:29:6e:70:6a",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-2.vmware.com","vmnic7","1000","00:1f:29:6e:70:6b",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-3.vmware.com","vmnic0","1000","00:22:64:0f:46:90","bc1-g05-c7000-s1.vmware.com","0.0.0.0","GigabitEthernet0/11","0.0.0.1-255.255.255.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-3.vmware.com","vmnic1","1000","00:22:64:0f:46:8c","bc1-g05-c7000-s2.vmware.com","0.0.0.0","GigabitEthernet0/11","0.0.0.1-255.255.255.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-3.vmware.com","vmnic2","1000","00:22:64:0f:e9:00","bc1-g05-c7000-s1.vmware.com","0.0.0.0","GigabitEthernet0/3","10.128.152.1-10.128.152.127 0.0.0.1-255.255.255.254 ","3883 3882 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-3.vmware.com","vmnic3","1000","00:22:64:0f:e9:01","bc1-g05-c7000-s2.vmware.com","0.0.0.0","GigabitEthernet0/3","10.128.152.1-10.128.152.127 0.0.0.1-255.255.255.254 ","3883 3882 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-3.vmware.com","vmnic4","1000","00:22:64:9e:04:d8",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-3.vmware.com","vmnic5","1000","00:22:64:9e:04:d9",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-3.vmware.com","vmnic6","1000","00:22:64:9e:04:da",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-3.vmware.com","vmnic7","1000","00:22:64:9e:04:db",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-4.vmware.com","vmnic0","1000","00:22:64:0f:b6:68","bc1-g05-c7000-s1.vmware.com","0.0.0.0","GigabitEthernet0/12","0.0.0.1-255.255.255.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-4.vmware.com","vmnic1","1000","00:22:64:0f:b6:6e","bc1-g05-c7000-s2.vmware.com","0.0.0.0","GigabitEthernet0/12","0.0.0.1-255.255.255.254 ","0 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-4.vmware.com","vmnic2","1000","00:22:64:0f:1a:ac","bc1-g05-c7000-s1.vmware.com","0.0.0.0","GigabitEthernet0/4","10.128.152.1-10.128.152.127 0.0.0.1-255.255.255.254 ","3883 3882 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-4.vmware.com","vmnic3","1000","00:22:64:0f:1a:ad","bc1-g05-c7000-s2.vmware.com","0.0.0.0","GigabitEthernet0/4","10.128.152.1-10.128.152.127 0.0.0.1-255.255.255.254 ","3883 3882 ","North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-4.vmware.com","vmnic4","1000","00:22:64:9e:e3:c4",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-4.vmware.com","vmnic5","1000","00:22:64:9e:e3:c5",,,," ",,"North America Remote Sites"
"2014-11-03 14:20:47","wdc-t2prod1-4.vmware.com","vmnic6","1000","00:22:64:9e:e3:c6",,,," ",,"North America Remote Sites"
