"vcserver","datacenter","vmhost","vmname","timestamp","username","eventmsg","tag","event_type"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-10.vmware.com","ecc-store-1 - delete after 1%2f31%2f11","1/28/2011 7:31:42 PM","VMWAREM\adm.bmathia","Removed ecc-store-1 - delete after 1/31/11 on osdc-vmg3-10.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg1-4.vmware.com","sanhealth-01 - delete after 1%2f31%2f11","1/28/2011 7:33:48 PM","VMWAREM\adm.bmathia","Removed sanhealth-01 - delete after 1/31/11 on osdc-vmg1-4.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-7.vmware.com","pa-itadmin01-osdc","1/28/2011 7:38:26 PM","VMWAREM\adm.bmathia","Removed pa-itadmin01-osdc on osdc-vmg3-7.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg2-3.vmware.com","osdc-navmgr01 - delete after 1%2f31%2f11","1/28/2011 7:39:33 PM","VMWAREM\adm.bmathia","Removed osdc-navmgr01 - delete after 1/31/11 on osdc-vmg2-3.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-10.vmware.com","vmportal3-crwl1","1/28/2011 11:08:10 PM","VMWAREM\adm.vijayk","Template vmportal3-crwl1 deployed on host sc9-prod-vmg4-10.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-8.vmware.com","vmportal3-srh1","1/28/2011 11:10:44 PM","VMWAREM\adm.vijayk","Template vmportal3-srh1 deployed on host sc9-prod-vmg4-8.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-1.vmware.com","vmportal3-qury1","1/28/2011 11:12:03 PM","VMWAREM\adm.vijayk","Template vmportal3-qury1 deployed on host sc9-prod-vmg4-1.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-8.vmware.com","vmportal3-qury2","1/28/2011 11:13:21 PM","VMWAREM\adm.vijayk","Template vmportal3-qury2 deployed on host sc9-prod-vmg4-8.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg1-5.vmware.com","zimbra6-proxy-2","1/28/2011 11:24:10 PM","VMWAREM\adm.sholland","Clone of zimbra6-proxy-2 completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg2-3.vmware.com","vmportal3-wfe2 (vmg2)","1/28/2011 11:55:10 PM","VMWAREM\adm.vijayk","Removed vmportal3-wfe2 (vmg2) on sc9-prod-vmg2-3.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg2-3.vmware.com","vmportal3-wfe3 (vmg2)","1/28/2011 11:55:22 PM","VMWAREM\adm.vijayk","Removed vmportal3-wfe3 (vmg2) on sc9-prod-vmg2-3.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg2-7.vmware.com","vmprt-poc-srch64","1/28/2011 11:55:27 PM","VMWAREM\adm.vijayk","Removed vmprt-poc-srch64 on sc9-prod-vmg2-7.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg4-10.vmware.com","scrootdc05","1/29/2011 12:21:46 AM","VMWAREM\adm.bmathia","Template scrootdc05 deployed on host sc9-prod-vmg4-10.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg1-5.vmware.com","pa-dbportal","1/29/2011 1:00:33 AM","VMWAREM\adm.vijayk","Removed pa-dbportal on osdc-vmg1-5.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-10.vmware.com","pa-psynch1","1/29/2011 1:12:51 AM","VMWAREM\adm.bmathia","Removed pa-psynch1 on osdc-vmg3-10.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg3-6.vmware.com","epo-db-1","1/29/2011 2:52:01 AM","VMWAREM\adm.felizondo","Clone of epo-db-1 completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-stage-vmg1-3.vmware.com","pa-mso-otrs01","1/29/2011 8:06:11 AM","","Clone of pa-mso-otrs01 completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-14.vmware.com","ppmprod","1/30/2011 2:22:13 PM","VMWAREM\jdeglau","Removed ppmprod on osdc-vmg3-14.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-stage-vmg1-5.vmware.com","pa-mso-otrs01","1/31/2011 6:58:09 PM","VMWAREM\adm.bmathia","Clone of pa-mso-otrs01 completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg3-4.vmware.com","pa-scanner","1/31/2011 7:02:20 PM","VMWAREM\adm.felizondo","Clone of pa-scanner completed",,"VmClonedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-stage-vmg1-6.vmware.com","pa-mso-otrs01-to be delted","1/31/2011 7:10:35 PM","VMWAREM\adm.bmathia","Removed pa-mso-otrs01-to be delted on sc9-stage-vmg1-6.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg2-2.vmware.com","sc9-mailhost2","1/31/2011 8:28:38 PM","User","Removed sc9-mailhost2 on sc9-prod-vmg2-2.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg2-2.vmware.com","s2-prod-support-d1","1/31/2011 8:28:38 PM","User","Removed s2-prod-support-d1 on sc9-prod-vmg2-2.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-vmg2-2.vmware.com","gemstone-prod-proxy1","1/31/2011 8:30:28 PM","User","Removed gemstone-prod-proxy1 on sc9-prod-vmg2-2.vmware.com from Santa Clara",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","osdc-vmg3-15.vmware.com","ta-otrs (remove 1%2f31%2f11)","1/31/2011 9:00:27 PM","VMWAREM\adm.mphilips","Removed ta-otrs (remove 1/31/11) on osdc-vmg3-15.vmware.com from Palo Alto",,"VmRemovedEvent"
"vc-prod-1.vmware.com","Palo Alto","mtran-esx-1.cso.vmware.com","cso-vc-dev-1","1/31/2011 10:24:24 PM","VMWAREM\adm.mtran","Template cso-vc-dev-1 deployed on host mtran-esx-1.cso.vmware.com",,"VmDeployedEvent"
"vc-prod-1.vmware.com","Santa Clara","sc9-prod-ebiz1-1.vmware.com","S2-prod-wsvcs-","1/31/2011 10:27:02 PM","VMWAREM\adm.shilton","Clone of S2-prod-wsvcs- completed",,"VmClonedEvent"
