"timestamp","vcserver","vmname","name","type","connectstate","macaddress","networkname"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-repman-ebs-r2","Network adapter 1","Network adapter 1",,"00:50:56:98:40:88","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-repman-ebs-r2","Network adapter 2","Network adapter 2",,"00:50:56:98:08:68","RAC-192.168.10.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-tst-mln-d1","Network adapter 1","Network adapter 1",,"00:50:56:98:00:df","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ora-exilor-fmsoa-1","Network adapter 1","Network adapter 1",,"00:50:56:84:68:5b","osdc-dev3-10.16.40.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","cat-tst-zildb1","Network adapter 1","Network adapter 1",,"00:50:56:98:00:eb","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-dev-patm-1","Network adapter 1","Network adapter 1",,"00:50:56:98:00:ec","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-portal-7","Network adapter 1","Network adapter 1",,"00:50:56:98:00:f8","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-portal-8","Network adapter 1","Network adapter 1",,"00:50:56:98:00:f9","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-portal-9","Network adapter 1","Network adapter 1",,"00:50:56:98:00:fa","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-uat-portal-10","Network adapter 1","Network adapter 1",,"00:50:56:98:00:fb","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-lt-lrp-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:02","wdc-loadtest-server2-10.128.37.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-lt-lrp-2","Network adapter 2","Network adapter 2",,"00:50:56:98:6b:7d","wdc-loadtest-server2-10.128.37.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-lt-lrp-4","Network adapter 1","Network adapter 1",,"00:50:56:98:01:08","wdc-loadtest-server2-10.128.37.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","s2-lt-lrp-3","Network adapter 1","Network adapter 1",,"00:50:56:98:01:0f","wdc-loadtest-server2-10.128.37.0/24"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","cat-tst-zil-a1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:17","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","cat-tst-zil-a2","Network adapter 1","Network adapter 1",,"00:50:56:98:01:19","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","portal-vmwperf-wlp-4","Network adapter 1","Network adapter 1",,"00:50:56:91:3d:79","osdc-dev2-10.16.20.0/23"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","portal-uat-flexdb-1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:28","VM-10.130.44.0/22"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ilog-tst-app-a1","Network adapter 1","Network adapter 1",,"00:50:56:98:01:29","wdc-devtest-server-10.128.80.0/20"
"2011-11-21 04:24:29","vc-dev-1.vmware.com","ilog-uat-app-a2","Network adapter 1","Network adapter 1",,"00:50:56:98:01:2e","wdc-devtest-server-10.128.80.0/20"
