"timestamp","vcserver","cluster","resourcepool","folder","vmhost","vmname","persistentid","id","application","powerstate","connectionstate","gueststate","version","numcpu","memorymb","provisionedspacegb","usedspacegb","guestfullname","toolstatus","toolsversion","toolsrunningstatus","hostname","ipaddress","storagecommitted","storageuncommitted","boottime","suspendtime","suspendinterval","createdtime","createdby"
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","0899537545-vf-snode-1","5026f4e3-ced8-7885-9dc5-cda73295d9d9","VirtualMachine-vm-1188",,"PoweredOn","connected","Running","v7","1","2048","20.00081","20.00081","Microsoft Windows Server 2008 R2 (64-bit)","toolsOld","8194","guestToolsRunning","VF-SNODE-1.vmware.com","10.119.2.26","21475709365","0","11/19/2011 2:10:26 AM",,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","w2k8r2-x64-template","5026c55a-34b9-b988-7aa7-53ee64cc9909","VirtualMachine-vm-141",,"PoweredOff","connected","NotRunning","v7","1","2048","22","20","Microsoft Windows Server 2008 (64-bit)","toolsNotRunning",,"guestToolsNotRunning",,,"21474839307","2147483648",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","1162950930-ConfigvAppTemplate_v1.0","5026d18e-f760-85b3-8228-dba5eff9a4b3","VirtualMachine-vm-188",,"PoweredOff","connected","NotRunning","v4","1","256","6.500002","6.250002","Red Hat Enterprise Linux 4 (32-bit)","toolsNotRunning",,"guestToolsNotRunning",,,"6710888792","268435456",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","0016866373-ConfigvApp","5026b10b-d648-22f2-0ce4-27c650538a1f","VirtualMachine-vm-190",,"PoweredOn","connected","Running","v4","1","256","6.250358","6.250358","Other 2.6x Linux (32-bit)","toolsOld","8195","guestToolsRunning","ConfigvApp","10.119.2.21","6711270575","0","9/22/2011 9:15:31 PM",,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","1261929703-dev-casemgmt","5026c69d-4c03-cf7a-b1d3-46b47478c295","VirtualMachine-vm-196",,"PoweredOff","connected","NotRunning","v7","4","8192","94.34951","86.34951","Other 2.6x Linux (64-bit)","toolsNotRunning",,"guestToolsNotRunning",,,"92717078059","8589934592",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","0749890406-obie-template3","5026a8b0-b76d-e1b9-da51-2d32204507cd","VirtualMachine-vm-273",,"PoweredOff","connected","NotRunning","v7","2","4096","74.09837","70.09837","Microsoft Windows Server 2003, Enterprise Edition (32-bit)","toolsNotRunning",,"guestToolsNotRunning",,,"75267544878","4294967296",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","2044772698-obit-test2","50260392-584d-13a7-a757-a5d2443221f8","VirtualMachine-vm-351",,"PoweredOff","connected","NotRunning","v7","2","4096","74.09843","70.09843","Microsoft Windows Server 2003, Enterprise Edition (32-bit)","toolsNotRunning","8295","guestToolsNotRunning","obit-test2.vmware.com",,"75267610904","4294967296",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","1649459303-db-mgmt-d1","50268274-f9fd-5699-91b1-ca336e627df3","VirtualMachine-vm-393",,"PoweredOn","connected","Running","v7","1","2048","134.3482","74.98492","Red Hat Enterprise Linux 5 (64-bit)","toolsOk","8295","guestToolsRunning","db-mgmt-d1","10.119.2.22","80514449682","63740837888",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","0463101773-casemgmt-001","50267558-888b-f0de-990f-635df58973af","VirtualMachine-vm-520",,"PoweredOn","connected","Running","v4","1","256","6.250318","6.250318","Red Hat Enterprise Linux 4 (32-bit)","toolsOld","8195","guestToolsRunning","casemgmt-001","10.119.2.25","6711227367","0",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0218177406-mgmt-vdc-01",,"sc9-vf-cat1-01.vmware.com","0681558627-casemgmt-001","50269145-ed24-49c2-1f19-1bec72a88bc8","VirtualMachine-vm-524",,"PoweredOff","connected","NotRunning","v4","1","256","6.500206","6.250206",,"toolsNotRunning",,"guestToolsNotRunning",,,"6711108181","268435456",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0482982176-demo-vdc-02",,"sc9-vf-cat1-01.vmware.com","0433092207-srviewer-tc","5026cc47-b5f7-71d7-91e0-91061cdd679e","VirtualMachine-vm-687",,"PoweredOff","connected","NotRunning","v4","1","256","6.500351","6.250351",,"toolsNotRunning",,"guestToolsNotRunning",,,"6711263550","268435456",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0482982176-demo-vdc-02",,"sc9-vf-cat1-01.vmware.com","1818179170-mysql-demo1","5026d02b-b11a-5046-bc69-d6d7480ded10","VirtualMachine-vm-689",,"PoweredOff","connected","NotRunning","v7","1","2048","8.348145","4.234864",,"toolsNotRunning",,"guestToolsNotRunning",,,"4547151046","4416602112",,,"0",,
"2011-11-21 04:59:14","vf-vcd-vc-01.vmware.com","vf-cat","0482982176-demo-vdc-02",,"sc9-vf-cat1-01.vmware.com","0364749533-s2-tc-gsscm1","50266176-4587-c8e5-cb02-9e2e972f6bc2","VirtualMachine-vm-752",,"PoweredOff","connected","NotRunning","v4","1","256","6.500349","6.250349",,"toolsNotRunning",,"guestToolsNotRunning",,,"6711260517","268435456",,,"0",,
