"timestamp","vcserver","cluster","vmhost","vmname","persistentid"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-02.vmware.com","ora-test-r2","5018873b-21d0-0af5-f703-169811474711"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-02.vmware.com","ora-lt-fmwsoax-a2","501872f6-f9a4-0c86-d176-f835fe36e2d4"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-02.vmware.com","ora-lt-ebs-r2","50182175-ee4e-74db-b3d1-21db73a2c3bc"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-02.vmware.com","ora-lt-fmwsoax-a1","501846af-f0a1-a68b-66e8-91e2f0d0e5db"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-02.vmware.com","ora-lt-fmsoa-r1","5018cd22-b293-848f-a4ad-bf2b2a0e2fd7"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-02.vmware.com","ora-test-r3","50189601-122e-ae94-c2fd-0c62d19d4429"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-02.vmware.com","ora-lt-fmwsoax-a5","50181c52-d9e4-cd5d-6847-dae81c23fe0c"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-02.vmware.com","ora-lt-fmwsoax-a4","501889ba-3bea-b75a-4947-74ea682f5131"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-03.vmware.com","ora-lt-ebs-app-1","50181701-c1fa-dd0c-8f29-463d713bb4c4"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-03.vmware.com","ora-test-r5","501807c5-ec90-3e1d-7edf-750748063251"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-03.vmware.com","ora-test-r4","501840a9-d277-3a19-9aa4-bf82d4eeb728"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-03.vmware.com","ora-lt-ebs-r4","50182e71-1eaa-8e74-2f99-2743753489e9"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-03.vmware.com","ora-lt-ebs-d11-clone","5018cb50-f7ed-2001-9d37-ab64165db825"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-03.vmware.com","ora-lt-fmidm-r3","501891d1-c65a-05bc-3074-e98d5df276c3"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-03.vmware.com","ora-lt-ebs-dr1","50187636-47fa-815d-8640-1d45ef5f1d59"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-03.vmware.com","poc-load2","501821e9-d567-12fd-5a38-d81226ca66c2"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-04.vmware.com","ora-lt-fmsoa-r3","5018df9b-1f5e-077f-f2c5-258ad7493201"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-04.vmware.com","poc-load1","50182157-5cad-7f36-24bc-ef255e8eb0ae"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-04.vmware.com","ora-lt-ebs-ccm-3","50184e64-4dc0-a9ac-08d3-f36d9ab0f9f6"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-04.vmware.com","ora-lt-fmidm-r1","50187acc-f92e-3c46-0ace-7abbdf287a40"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-04.vmware.com","ora-lt-ebs-r3","501873de-f23d-856f-cd80-fbf7e9d88132"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-04.vmware.com","ora-lt-ebs-dr2","501883c4-314c-ef8e-8ccb-af2b7581ca17"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-05.vmware.com","ora-lt-fmsoa-r2","5018e1bb-a47a-dbb1-0ee8-26f5e43de604"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-05.vmware.com","ora-lt-ebs-ccm-2","5018d6a6-507b-7834-57f8-31404f9ce5a2"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-05.vmware.com","ora-lt-ebs-r22","50183004-44c4-8025-c749-4369112eaebb"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-05.vmware.com","ora-lt-ebs-rep-d1","50189c2f-1022-2bc6-19ea-0fbef7d99c0c"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-05.vmware.com","ora-lt-ebs-r21","5018ab01-2697-b6cf-0661-bdbcabfbae02"
"2013-12-10 03:20:34","vc-dev-1.vmware.com","wdc-lt-rac","wdc-lt-rac-05.vmware.com","ora-lt-fmidm-r2","50189690-f15a-034c-2d15-cf50052d5c91"
