"timestamp","vcserver","cluster","vmhost","uuid","connectionstate","powerstate","vendor","model","memorysize","cpumodel","cpuhz","numcpupackages","numcpucores","numcputhreads","esxproductname","esxversion","esxbuild","serialnumber","biosversion","datacenter"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-lt-rac-02.vmware.com","31393736-3831-5355-4532-34364d333250","connected","poweredOn","HP","ProLiant BL660c Gen8","549719302144","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","2399999833","4","32","64","VMware ESXi","5.5.0","1331820",,"I32","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-lt-rac-03.vmware.com","31393736-3831-5355-4532-34364d333253","connected","poweredOn","HP","ProLiant BL660c Gen8","549719302144","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","2399999765","4","32","64","VMware ESXi","5.5.0","1331820",,"I32","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-lt-rac-04.vmware.com","31393736-3831-5355-4532-34364d333254","connected","poweredOn","HP","ProLiant BL660c Gen8","549719302144","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","2399999586","4","32","64","VMware ESXi","5.5.0","1331820",,"I32","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-lt-rac-05.vmware.com","31393736-3831-5355-4532-34364d33324e","connected","poweredOn","HP","ProLiant BL660c Gen8","549719302144","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","2399999692","4","32","64","VMware ESXi","5.5.0","1331820",,"I32","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-lt-rac-06.vmware.com","31393736-3831-5355-4532-34384e395042","connected","poweredOn","HP","ProLiant BL660c Gen8","549719302144","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","2399999535","4","32","64","VMware ESXi","5.5.0","1331820",,"I32","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-lt-rac-01.vmware.com","31393736-3831-5355-4532-34364d33324d","connected","poweredOn","HP","ProLiant BL660c Gen8","549719302144","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","2399999636","4","32","64","VMware ESXi","5.5.0","1331820",,"I32","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-test-greenplum-01.vmware.com","31393736-3831-584d-5133-323330314857","connected","poweredOn","HP","ProLiant BL660c Gen8","549719302144","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","2399999510","4","32","64","VMware ESXi","5.1.0","1157734",,"I32","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-test-greenplum-02.vmware.com","31393736-3831-584d-5133-323330314858","connected","poweredOn","HP","ProLiant BL660c Gen8","549719302144","Intel(R) Xeon(R) CPU E5-4640 0 @ 2.40GHz","2399999778","4","32","64","VMware ESXi","5.1.0","1157734",,"I32","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-prd2-greenplum-01.vmware.com","35353636-3435-5355-4533-3430464b444d","connected","poweredOn","HP","ProLiant DL380p Gen8","274841423872","Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz","2693509356","2","16","32","VMware ESXi","5.5.0","1331820",,"P70","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-prd2-greenplum-02.vmware.com","35353636-3435-5355-4533-3430464b4443","connected","poweredOn","HP","ProLiant DL380p Gen8","274841423872","Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz","2693509215","2","16","32","VMware ESXi","5.5.0","1331820",,"P70","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-prd2-greenplum-03.vmware.com","35353636-3435-5355-4533-3430464b4441","connected","poweredOn","HP","ProLiant DL380p Gen8","274841423872","Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz","2693249645","2","16","32","VMware ESXi","5.5.0","1331820",,"P70","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-prd2-greenplum-04.vmware.com","35353636-3435-5355-4533-3430464b434a","connected","poweredOn","HP","ProLiant DL380p Gen8","274841423872","Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz","2693509408","2","16","32","VMware ESXi","5.5.0","1331820",,"P70","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-prd2-greenplum-05.vmware.com","35353636-3435-5355-4533-3430464b4357","connected","poweredOn","HP","ProLiant DL380p Gen8","274841423872","Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz","2693509135","2","16","32","VMware ESXi","5.5.0","1331820",,"P70","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-prd2-greenplum-06.vmware.com","35353636-3435-5355-4533-3430464b4346","connected","poweredOn","HP","ProLiant DL380p Gen8","274841423872","Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz","2693509358","2","16","32","VMware ESXi","5.5.0","1331820",,"P70","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-prd2-greenplum-07.vmware.com","35353636-3435-5355-4533-3430464b4454","connected","poweredOn","HP","ProLiant DL380p Gen8","274841423872","Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz","2693509198","2","16","32","VMware ESXi","5.5.0","1331820",,"P70","North America Remote Sites"
"2013-12-09 23:05:45","vc-dev-1.vmware.com",,"wdc-prd2-greenplum-08.vmware.com","35353636-3435-5355-4533-3430464b4352","connected","poweredOn","HP","ProLiant DL380p Gen8","274841423872","Intel(R) Xeon(R) CPU E5-2680 0 @ 2.70GHz","2693509181","2","16","32","VMware ESXi","5.5.0","1331820",,"P70","North America Remote Sites"
