ip,link_status,name,port_id,port_status,switch_present,wwnn,wwpn
10.16.24.130,Up,B,1,Online,YES,50:06:01:60:B9:A0:12:32,50:06:01:69:39:A0:12:32
10.16.24.130,Up,B,2,Online,YES,50:06:01:60:B9:A0:12:32,50:06:01:6A:39:A0:12:32
10.16.24.130,Up,B,3,Online,YES,50:06:01:60:B9:A0:12:32,50:06:01:6B:39:A0:12:32
10.16.66.127,Up,B,0,Online,YES,50:06:01:60:C1:E0:06:FD,50:06:01:68:41:E0:06:FD
10.16.66.127,Up,B,1,Online,YES,50:06:01:60:C1:E0:06:FD,50:06:01:69:41:E0:06:FD
10.16.66.127,Up,A,0,Online,YES,50:06:01:60:C1:E0:06:FD,50:06:01:60:41:E0:06:FD
10.16.66.127,Up,A,1,Online,YES,50:06:01:60:C1:E0:06:FD,50:06:01:61:41:E0:06:FD
10.16.66.183,Up,A,0,Online,YES,50:06:01:60:B9:A0:11:80,50:06:01:60:39:A0:11:80
10.16.66.183,Up,A,1,Online,YES,50:06:01:60:B9:A0:11:80,50:06:01:61:39:A0:11:80
10.16.66.183,Up,A,2,Online,YES,50:06:01:60:B9:A0:11:80,50:06:01:62:39:A0:11:80
10.16.66.183,Up,A,3,Online,YES,50:06:01:60:B9:A0:11:80,50:06:01:63:39:A0:11:80
10.16.66.183,Up,B,0,Online,YES,50:06:01:60:B9:A0:11:80,50:06:01:68:39:A0:11:80
10.16.66.183,Up,B,1,Online,YES,50:06:01:60:B9:A0:11:80,50:06:01:69:39:A0:11:80
10.16.66.183,Up,B,2,Online,YES,50:06:01:60:B9:A0:11:80,50:06:01:6A:39:A0:11:80
10.16.66.183,Up,B,3,Online,YES,50:06:01:60:B9:A0:11:80,50:06:01:6B:39:A0:11:80
10.16.66.200,Up,A,0,Online,YES,50:06:01:60:B9:A0:15:4B,50:06:01:60:39:A0:15:4B
10.16.66.200,Up,A,1,Online,YES,50:06:01:60:B9:A0:15:4B,50:06:01:61:39:A0:15:4B
10.16.66.200,Up,A,2,Online,YES,50:06:01:60:B9:A0:15:4B,50:06:01:62:39:A0:15:4B
10.16.66.200,Up,A,3,Online,YES,50:06:01:60:B9:A0:15:4B,50:06:01:63:39:A0:15:4B
10.16.66.200,Up,B,0,Online,YES,50:06:01:60:B9:A0:15:4B,50:06:01:68:39:A0:15:4B
10.16.66.200,Up,B,1,Online,YES,50:06:01:60:B9:A0:15:4B,50:06:01:69:39:A0:15:4B
10.16.66.200,Up,B,2,Online,YES,50:06:01:60:B9:A0:15:4B,50:06:01:6A:39:A0:15:4B
10.16.66.200,Up,B,3,Online,YES,50:06:01:60:B9:A0:15:4B,50:06:01:6B:39:A0:15:4B
10.16.66.55,Up,B,0,Online,YES,50:06:01:60:C1:E0:3F:96,50:06:01:68:41:E0:3F:96
10.16.66.55,Up,B,1,Online,YES,50:06:01:60:C1:E0:3F:96,50:06:01:69:41:E0:3F:96
10.16.66.55,Up,B,2,Online,YES,50:06:01:60:C1:E0:3F:96,50:06:01:6A:41:E0:3F:96
10.16.66.55,Up,B,3,Online,YES,50:06:01:60:C1:E0:3F:96,50:06:01:6B:41:E0:3F:96
10.16.66.55,Up,A,0,Online,YES,50:06:01:60:C1:E0:3F:96,50:06:01:60:41:E0:3F:96
10.16.66.55,Up,A,1,Online,YES,50:06:01:60:C1:E0:3F:96,50:06:01:61:41:E0:3F:96
10.16.66.55,Up,A,2,Online,YES,50:06:01:60:C1:E0:3F:96,50:06:01:62:41:E0:3F:96
10.16.66.55,Up,A,3,Online,YES,50:06:01:60:C1:E0:3F:96,50:06:01:63:41:E0:3F:96
10.16.66.83,Up,A,0,Online,YES,50:06:01:60:C1:E0:0B:86,50:06:01:60:41:E0:0B:86
10.16.66.83,Up,A,1,Online,YES,50:06:01:60:C1:E0:0B:86,50:06:01:61:41:E0:0B:86
10.16.66.83,Up,B,0,Online,YES,50:06:01:60:C1:E0:0B:86,50:06:01:68:41:E0:0B:86
10.16.66.83,Up,B,1,Online,YES,50:06:01:60:C1:E0:0B:86,50:06:01:69:41:E0:0B:86
10.16.66.85,Up,A,0,Online,YES,50:06:01:60:C1:E0:06:51,50:06:01:60:41:E0:06:51
10.16.66.85,Up,A,1,Online,YES,50:06:01:60:C1:E0:06:51,50:06:01:61:41:E0:06:51
10.16.66.85,Up,B,0,Online,YES,50:06:01:60:C1:E0:06:51,50:06:01:68:41:E0:06:51
10.16.66.85,Up,B,1,Online,YES,50:06:01:60:C1:E0:06:51,50:06:01:69:41:E0:06:51
10.16.66.98,Up,A,0,Online,YES,50:06:01:60:C1:E0:0F:EB,50:06:01:60:41:E0:0F:EB
10.16.66.98,Up,A,1,Online,YES,50:06:01:60:C1:E0:0F:EB,50:06:01:61:41:E0:0F:EB
10.16.66.98,Up,B,0,Online,YES,50:06:01:60:C1:E0:0F:EB,50:06:01:68:41:E0:0F:EB
10.16.66.98,Up,B,1,Online,YES,50:06:01:60:C1:E0:0F:EB,50:06:01:69:41:E0:0F:EB
10.21.184.142,Up,B,2,Online,YES,50:06:01:60:C1:E0:53:39,50:06:01:68:41:E0:53:39
10.21.184.142,Up,B,3,Online,YES,50:06:01:60:C1:E0:53:39,50:06:01:69:41:E0:53:39
10.21.184.142,Up,A,2,Online,YES,50:06:01:60:C1:E0:53:39,50:06:01:60:41:E0:53:39
10.21.184.142,Down,A,3,DISABLED,NO,50:06:01:60:C1:E0:53:39,50:06:01:61:41:E0:53:39
10.21.184.142,Down,B,0,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00071500930.b0
10.21.184.142,Down,B,1,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00071500930.b1
10.21.184.142,Down,A,0,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00071500930.a0
10.21.184.142,Down,A,1,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00071500930.a1
