VM name,status,Date Created,OS,memGB,diskGB,IP,vApp name,vApp status,Application,Application Owner,Owner Email,OrgVDC,Organization,VM description,vApp description
cat-test40-mln-a1,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.242.2,appd-NSDLC_PORTALS_ModelN-1.0.0-stephenn-970-f30a0858-aa2e-4d2c-a632-2c4a1f4695ae,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test40-mln-a2,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.242.0,appd-NSDLC_PORTALS_ModelN-1.0.0-stephenn-970-f30a0858-aa2e-4d2c-a632-2c4a1f4695ae,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test40-mln-a3,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.242.1,appd-NSDLC_PORTALS_ModelN-1.0.0-stephenn-970-f30a0858-aa2e-4d2c-a632-2c4a1f4695ae,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test40-mln-a4,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.242.3,appd-NSDLC_PORTALS_ModelN-1.0.0-stephenn-970-f30a0858-aa2e-4d2c-a632-2c4a1f4695ae,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test-mln-a1,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.160,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-1645-e6a1672f-9deb-4677-a355-ff34c983a5b3,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test-mln-a2,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.159,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-1645-e6a1672f-9deb-4677-a355-ff34c983a5b3,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test-mln-a3,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.196,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-1645-e6a1672f-9deb-4677-a355-ff34c983a5b3,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test-mln-a4,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.195,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-1645-e6a1672f-9deb-4677-a355-ff34c983a5b3,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test-mln-a5,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.11,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-1645-e6a1672f-9deb-4677-a355-ff34c983a5b3,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-test-mln-a6,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.12,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-1645-e6a1672f-9deb-4677-a355-ff34c983a5b3,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-uat-mln-a1,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.9,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-3738-0839407c-32e9-4e13-88f9-d822eb074332,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-uat-mln-a2,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.194,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-3738-0839407c-32e9-4e13-88f9-d822eb074332,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-uat-mln-a3,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.14,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-3738-0839407c-32e9-4e13-88f9-d822eb074332,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cat-uat-mln-a4,PoweredOn,,Red Hat Enterprise Linux 5 (64-bit),4,56,10.127.240.197,appd-NSDLC_PORTALS_ModelN-1.0.0-cgajula-3738-0839407c-32e9-4e13-88f9-d822eb074332,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
cbr-dev-app-1,PoweredOn,,CentOS 4/5/6/7 (64-bit),4,73,10.127.242.102,Aloha_CBR,PoweredOn,,,,CorpIT-NonSDLC-PAYG1-ovDC,corpit-nonsdlc,"",""
