"timestamp","vmhost","pnic","speed","macaddress","peerdeviceid","peeripaddress","peerportid","observed","vlan"
"2011-11-21 02:46:22","sc9-vf-cat1-01.vmware.com","vmnic0","3000","98:4b:e1:05:5e:d6","s1-vFR-sjc3.vmware.com(SSI15070","10.119.7.252","Ethernet1/5"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-01.vmware.com","vmnic1","3000","98:4b:e1:05:5e:da","s2-vFR-sjc3.vmware.com(SSI14470","10.119.7.251","Ethernet1/7"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-01.vmware.com","vmnic2","3000","98:4b:e1:05:5e:d7","s2-vFR-sjc3.vmware.com(SSI14470","10.119.7.251","Ethernet1/5"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-01.vmware.com","vmnic3","3000","98:4b:e1:05:5e:db","s1-vFR-sjc3.vmware.com(SSI15070","10.119.7.252","Ethernet1/7"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-01.vmware.com","vmnic4","3000","98:4b:e1:05:5e:d8",,,," ",
"2011-11-21 02:46:22","sc9-vf-cat1-01.vmware.com","vmnic5","3000","98:4b:e1:05:5e:dc",,,," ",
"2011-11-21 02:46:22","sc9-vf-cat1-01.vmware.com","vmnic6","1000","98:4b:e1:05:5e:d9","sg1-sjc3.vmware.com","10.113.252.7","GigabitEthernet1/38"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-01.vmware.com","vmnic7","1000","98:4b:e1:05:5e:dd","sg2-sjc3.vmware.com","10.113.252.8","GigabitEthernet1/38"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-02.vmware.com","vmnic0","3000","98:4b:e1:05:5d:dc","s1-vFR-sjc3.vmware.com(SSI15070","10.119.7.252","Ethernet1/5"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-02.vmware.com","vmnic1","3300","98:4b:e1:05:5d:e0","s2-vFR-sjc3.vmware.com(SSI14470","10.119.7.251","Ethernet1/7"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-02.vmware.com","vmnic2","3000","98:4b:e1:05:5d:dd","s2-vFR-sjc3.vmware.com(SSI14470","10.119.7.251","Ethernet1/5"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-02.vmware.com","vmnic3","3300","98:4b:e1:05:5d:e1","s1-vFR-sjc3.vmware.com(SSI15070","10.119.7.252","Ethernet1/7"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-02.vmware.com","vmnic4","3000","98:4b:e1:05:5d:de",,,," ",
"2011-11-21 02:46:22","sc9-vf-cat1-02.vmware.com","vmnic5","3300","98:4b:e1:05:5d:e2",,,," ",
"2011-11-21 02:46:22","sc9-vf-cat1-02.vmware.com","vmnic6","1000","98:4b:e1:05:5d:df","sg1-sjc3.vmware.com","10.113.252.7","GigabitEthernet1/38"," ",
"2011-11-21 02:46:22","sc9-vf-cat1-02.vmware.com","vmnic7","100","98:4b:e1:05:5d:e3","sg2-sjc3.vmware.com","10.113.252.8","GigabitEthernet1/38"," ",
"2011-11-21 02:46:22","sc9-vf-dev1-01.vmware.com","vmnic0","3000","98:4b:e1:05:5b:d4","s1-vFR-sjc3.vmware.com(SSI15070","10.119.7.252","Ethernet1/5","10.119.6.1-10.119.6.15 ","3471 "
"2011-11-21 02:46:22","sc9-vf-dev1-01.vmware.com","vmnic1","3000","98:4b:e1:05:5b:d8","s2-vFR-sjc3.vmware.com(SSI14470","10.119.7.251","Ethernet1/7","10.119.6.1-10.119.6.15 ","3471 "
"2011-11-21 02:46:22","sc9-vf-dev1-01.vmware.com","vmnic2","3000","98:4b:e1:05:5b:d5","s2-vFR-sjc3.vmware.com(SSI14470","10.119.7.251","Ethernet1/5","10.119.40.1-10.119.47.254 10.119.8.32-10.119.8.63 10.119.6.1-10.119.6.15 ","3475 3472 3471 "
"2011-11-21 02:46:22","sc9-vf-dev1-01.vmware.com","vmnic3","3000","98:4b:e1:05:5b:d9","s1-vFR-sjc3.vmware.com(SSI15070","10.119.7.252","Ethernet1/7","10.119.40.1-10.119.47.254 10.119.8.32-10.119.8.63 10.119.6.1-10.119.6.15 ","3475 3472 3471 "
"2011-11-21 02:46:22","sc9-vf-dev1-01.vmware.com","vmnic4","3000","98:4b:e1:05:5b:d6",,,," ",
