ip,port,name
10.113.76.230,8131,s2-prod-dload-pool
10.113.76.231,8131,s2-prod-dload-pool
10.113.76.230,8181,s2-prod-vmwsvc-pool
10.113.76.231,8181,s2-prod-vmwsvc-pool
10.113.76.240,81,s2-prod-wcm-standby-pool
10.113.76.241,81,s2-prod-wcm-standby-pool
10.113.76.230,8171,s2-prod-sca-pool
10.113.76.231,8171,s2-prod-sca-pool
10.113.76.248,8811,s2-prod-tcs8-pool
10.113.76.250,8811,s2-prod-tcs8-pool
10.113.76.246,8511,s2-prod-tcs5-pool
10.113.76.247,8511,s2-prod-tcs5-pool
10.113.76.232,8511,s2-prod-tcs5-pool
10.113.76.233,8511,s2-prod-tcs5-pool
10.113.76.73,7017,prod-ISV-pool
10.113.76.74,7017,prod-ISV-pool
10.113.76.230,8211,s2-prod-tcs2-pool
10.113.76.231,8211,s2-prod-tcs2-pool
10.113.76.82,7033,prod-Utility-pool
10.113.76.83,7033,prod-Utility-pool
10.113.76.27,8000,oracleapps-prod-pool
10.113.76.28,8000,oracleapps-prod-pool
10.113.76.29,8000,oracleapps-prod-pool
10.113.76.43,8000,oracleapps-prod-pool
10.113.76.163,8000,oracleapps-prod-pool
10.113.76.164,8000,oracleapps-prod-pool
10.113.76.232,8311,s2-prod-tcs3-pool
10.113.76.233,8311,s2-prod-tcs3-pool
10.113.76.230,8311,s2-prod-tcs3-pool
10.113.76.231,8311,s2-prod-tcs3-pool
10.113.76.67,7025,prod-Beta-pool
10.113.76.68,7025,prod-Beta-pool
10.22.16.36,80,vam-prod-lamp-pool
10.22.16.37,80,vam-prod-lamp-pool
10.113.68.74,80,FlexStagewebsvc-pool
10.113.68.75,80,FlexStagewebsvc-pool
10.113.68.74,8080,FlexStagewebsvc-pool
10.113.68.75,8080,FlexStagewebsvc-pool
10.113.68.74,80,Portal-stage-flexlm-pool
10.113.68.75,80,Portal-stage-flexlm-pool
10.113.68.105,7001,drstagewebsvc-pool
10.113.68.106,7001,drstagewebsvc-pool
10.113.68.187,6501,ora-stage-fmidm-6501-ovd-pool
10.113.68.188,6501,ora-stage-fmidm-6501-ovd-pool
10.113.68.189,6501,ora-stage-fmidm-6501-ovd-pool
10.113.68.187,7501,ora-stage-fmidm-7501-ovd-pool
10.113.68.188,7501,ora-stage-fmidm-7501-ovd-pool
