name,ip,port,f5cluster_name
star.mblogs-stage.vmware.com-80,10.113.53.65,80,sc9-tier2-prod-int-2
stage-soa-7777,10.113.15.102,7777,sc9-tier2-prod-int-2
stage-soa-7001,10.113.15.102,7001,sc9-tier2-prod-int-2
itcomm-vip,10.113.164.19,443,sc9-tier2-prod-int-2
prod-soa-7001-vip,10.113.164.188,7001,sc9-tier2-prod-int-2
ws-stg-vip.vmware.com,10.113.191.234,443,sc9-tier2-prod-int-2
ws-stg-iwa-vip,10.113.164.190,443,sc9-tier2-prod-int-2
troux-prod-vip,10.113.164.32,443,sc9-tier2-prod-int-2
prod-soa-7777-vip,10.113.164.188,7777,sc9-tier2-prod-int-2
s2-prod-hightouch-vip,10.113.76.162,80,sc9-tier2-prod-int-2
ws-prod-vip,10.113.191.88,443,sc9-tier2-prod-int-2
sa-prod-avmgr-vip-443,10.113.164.251,443,sc9-tier2-prod-int-2
tableauexec-stg-vip,10.113.52.92,80,sc9-tier2-prod-int-2
aw-tokens-vip.vmware.com,10.113.164.248,443,sc9-tier2-prod-int-2
opsgps-new,10.113.164.14,80,sc9-tier2-prod-int-2
aw-rfs-files-vip.vmware.com,10.113.164.247,443,sc9-tier2-prod-int-2
s2-prod-hightouch-vip-ssl,10.113.76.162,443,sc9-tier2-prod-int-2
tableauexec-stg-vip-SSL,10.113.52.92,443,sc9-tier2-prod-int-2
visl-stg-siml2-vip,10.113.164.111,8021,sc9-tier2-prod-int-2
s2-stage-hightouch-vip,10.113.68.22,80,sc9-tier2-prod-int-2
sa-prod-avmgr-vip.vmware.com-80,10.113.164.251,80,sc9-tier2-prod-int-2
aw-rfs-files-vip-http-80,10.113.164.247,80,sc9-tier2-prod-int-2
aw-tokens-vip.VMware.com-80,10.113.164.248,80,sc9-tier2-prod-int-2
visl-prod-siml2-vip-pool,10.113.61.41,8021,sc9-tier2-prod-int-2
opsgps-new--ssl,10.113.164.14,443,sc9-tier2-prod-int-2
email-revenue-vip-25,10.113.165.80,25,sc9-tier2-prod-int-2
alohapublishrmq-stage-vip-https,10.113.53.206,443,sc9-tier2-prod-int-2
tpub-stg-app-vip-ssl,10.113.14.171,443,sc9-tier2-prod-int-2
partnerweb-stg-cva-vip,10.113.15.139,80,sc9-tier2-prod-int-2
tpub-stg-app-vip,10.113.14.171,80,sc9-tier2-prod-int-2
partnerweb-stg-cva-vip-https,10.113.15.139,443,sc9-tier2-prod-int-2
aloha-stage-vip,10.113.53.205,80,sc9-tier2-prod-int-2
aloha-prod-vip,10.113.164.239,80,sc9-tier2-prod-int-2
alohapubishrmq-prod-vip,10.113.164.249,80,sc9-tier2-prod-int-2
alohapublishrmq-stage-vip,10.113.53.206,80,sc9-tier2-prod-int-2
aloha-prod-vip-https,10.113.164.239,443,sc9-tier2-prod-int-2
alohapublishrmq-prod-vip-https,10.113.164.249,443,sc9-tier2-prod-int-2
partnerweb-stg-mysql-vip,10.113.53.30,3306,sc9-tier2-prod-int-2
aloha-stage-vip-https,10.113.53.205,443,sc9-tier2-prod-int-2
odm-prd-app-vip,10.113.165.35,8001,sc9-tier2-prod-int-2
mdmbi-vip-443,10.113.122.35,443,sc9-tier2-prod-int-2
gsscms-stg-web-vip,10.113.15.115,80,sc9-tier2-prod-int-2
gsscms-prd-web-vip,10.113.12.178,80,sc9-tier2-prod-int-2
mdmbi-vip-9704,10.113.122.35,80,sc9-tier2-prod-int-2
ciovantage-stage-1.vip.vmware.com-pool,10.113.15.156,80,sc9-tier2-prod-int-2
odm-prod-app-vip-http,10.113.165.35,80,sc9-tier2-prod-int-2
sblwebesvstage-prxy-bypass-vip,10.16.79.182,80,osdc-prod-dmz-1
sblwebesvprod-prxy-bypass-vip,10.16.79.181,80,osdc-prod-dmz-1
mylearnweb-ci-vip,10.16.79.174,80,osdc-prod-dmz-1
vmview-secr-1-vip,10.16.79.163,443,osdc-prod-dmz-1
eservice-sblprod-ssl-vip,10.16.79.61,443,osdc-prod-dmz-1
vmview-ssl-vip,10.16.79.62,443,osdc-prod-dmz-1
sblwebesvprod-vip,10.16.79.139,80,osdc-prod-dmz-1
vmview-secr-2-vip,10.16.79.164,443,osdc-prod-dmz-1
knova-prod-kb-vip,10.16.79.52,80,osdc-prod-dmz-1
mylearnssl-ci-vip,10.16.79.175,80,osdc-prod-dmz-1
mylearnssl-ci-ssl-vip,10.16.79.175,443,osdc-prod-dmz-1
sblwebesvprod-443-vip,10.16.79.139,443,osdc-prod-dmz-1
askvmware-ssl-vip,10.16.79.39,443,osdc-prod-dmz-1
knova-stg-kb-vip,10.16.79.54,80,osdc-prod-dmz-1
vdm-secure-vip,10.16.79.150,443,osdc-prod-dmz-1
vdmss-secure-lb1-vip,10.16.79.156,443,osdc-prod-dmz-1
vdmss-secure-lb2-vip,10.16.79.157,443,osdc-prod-dmz-1
vmprodtestwsvc-vip,10.16.79.134,80,osdc-prod-dmz-1
vmprodtestwsvc-ssl-vip,10.16.79.134,443,osdc-prod-dmz-1
DR-store-stage-ssl-vip,10.16.79.155,443,osdc-prod-dmz-1
DR-store-stage-vip,10.16.79.155,80,osdc-prod-dmz-1
store-stage2-ssl,10.16.79.8,443,osdc-prod-dmz-1
sblwebesvstage-vip,10.16.79.135,80,osdc-prod-dmz-1
eservice-sblstage-ssl-vip,10.16.79.33,443,osdc-prod-dmz-1
at-secure-2-vip,10.16.79.180,443,osdc-prod-dmz-1
store-stage2,10.16.79.8,80,osdc-prod-dmz-1
sblwebesvstage-443-prxy-bypass-vip,10.16.79.182,443,osdc-prod-dmz-1
sblwebesvstage-443-vip,10.16.79.135,443,osdc-prod-dmz-1
sblwebesvprod-443-prxy-bypass-vip,10.16.79.181,443,osdc-prod-dmz-1
at-secure-ssl-vip,10.16.79.178,443,osdc-prod-dmz-1
at-secure-1-vip,10.16.79.179,443,osdc-prod-dmz-1
askvmware-vip,10.16.79.39,80,osdc-prod-dmz-1
sfdc-osb-osdc.vmware.com-vip,10.16.79.183,443,osdc-prod-dmz-1
outlooksoft-vip,10.16.67.111,80,osdc-prod-int-1
vmvdm-vip,10.16.12.23,80,osdc-prod-int-1
vmfbidash-vip,10.16.45.190,80,osdc-prod-int-1
poet-vip,10.16.45.143,80,osdc-prod-int-1
at-view-ssl-vip,10.16.45.201,443,osdc-prod-int-1
vmsearch-web-vip-2,10.16.67.44,80,osdc-prod-int-1
changepoint-vip,10.16.67.112,80,osdc-prod-int-1
corpvdm-vip,10.16.12.15,443,osdc-prod-int-1
people-prod-vip,10.16.45.215,443,osdc-prod-int-1
changepoint-8080-vip,10.16.67.112,8080,osdc-prod-int-1
jabber-prod-5222-vip,10.16.45.117,5222,osdc-prod-int-1
gss-ssl-vip,10.16.45.225,443,osdc-prod-int-1
vmview-int-ssl-vip,10.16.45.130,443,osdc-prod-int-1
knova-prod-ikb-vip,10.16.67.47,80,osdc-prod-int-1
vmvdm-ssl-vip,10.16.12.23,443,osdc-prod-int-1
strm-prod-app-vip,10.16.45.99,80,osdc-prod-int-1
vmshare-ssl-vip-2,10.16.67.19,443,osdc-prod-int-1
jabber-prod-5280-vip,10.16.45.117,5280,osdc-prod-int-1
vmshare-ssl-vip,10.16.67.65,443,osdc-prod-int-1
osdc-ldap-vip,10.16.67.165,389,osdc-prod-int-1
vmweb-vip,10.16.67.118,80,osdc-prod-int-1
vmpridash-vip,10.16.67.20,80,osdc-prod-int-1
osdc-wpad-vip,10.16.67.187,80,osdc-prod-int-1
OWA-autodiscovery-vip,10.16.67.134,443,osdc-prod-int-1
osdc-proxy-vip,10.16.67.187,3128,osdc-prod-int-1
knova-prod-kss-vip,10.16.67.138,8080,osdc-prod-int-1
vmsearch-vip,10.16.67.184,80,osdc-prod-int-1
vmsearch-ssl-vip,10.16.67.184,443,osdc-prod-int-1
gw-wmi-vip,10.16.67.15,5666,osdc-prod-int-1
OWA-imap4-vip,10.16.67.200,143,osdc-prod-int-1
OWA-ssl-vip,10.16.67.200,443,osdc-prod-int-1
OWA-pop3-vip,10.16.67.200,110,osdc-prod-int-1
OWA-imap4-ssl-vip,10.16.67.200,993,osdc-prod-int-1
knova-prod-kcc-vip,10.16.67.71,8080,osdc-prod-int-1
OWA-pop3-ssl-vip,10.16.67.200,995,osdc-prod-int-1
Test-vip,10.16.67.239,80,osdc-prod-int-1
testad-3269-vip,10.16.45.227,3269,osdc-prod-int-1
testad-3268-vip,10.16.45.227,3268,osdc-prod-int-1
source-vip-2,10.16.67.23,443,osdc-prod-int-1
vmsearch-ssl-vip-2,10.16.67.44,443,osdc-prod-int-1
testad-636-vip,10.16.45.227,636,osdc-prod-int-1
testad-389-vip,10.16.45.227,389,osdc-prod-int-1
portal-perf-sca-vip,10.16.41.79,8171,osdc-prod-int-1
fbi-vip,10.16.45.90,80,osdc-prod-int-1
osdc-ad-ovd-vip-3268,10.16.45.100,3268,osdc-prod-int-1
paroot-dc-vip1,10.16.45.101,389,osdc-prod-int-1
osdc-ldap-ad-3269,10.16.45.126,3269,osdc-prod-int-1
osdc-lda-ad-636,10.16.45.126,636,osdc-prod-int-1
osdc-ldap-ad-vip,10.16.45.126,3268,osdc-prod-int-1
osdc-ldap-ad-389,10.16.45.126,389,osdc-prod-int-1
s2-test-lr3-vip.vmware.com,10.16.41.188,8001,osdc-non-prod-int-1
lrp-test-vip-ssl.vmware.com,10.16.41.196,443,osdc-non-prod-int-1
ora-perf-fmidm-389-ovd-vip,10.16.41.85,389,osdc-non-prod-int-1
ora-perf-fmidm-636-ovd-vip,10.16.41.85,636,osdc-non-prod-int-1
ppmstage-vip,10.16.40.9,80,osdc-non-prod-int-1
s2-test-lr1-vip.vmware.com,10.16.41.186,8001,osdc-non-prod-int-1
s2-test-lr2-vip.vmware.com,10.16.41.187,8011,osdc-non-prod-int-1
PubEval-SSL-VIP,10.16.20.23,443,osdc-non-prod-int-1
PubEval-http-VIP,10.16.20.23,80,osdc-non-prod-int-1
communities-lt-cluster-vip,10.10.20.144,80,osdc-non-prod-int-1
communities-stage-vip,10.16.20.144,80,osdc-non-prod-int-1
communities-vmwperf-vip,10.16.20.166,80,osdc-non-prod-int-1
dev2soa-vip,10.16.21.37,7777,osdc-non-prod-int-1
drperfwebsvc-vip,10.16.21.3,7001,osdc-non-prod-int-1
druatwebsvc-vip,10.16.20.149,7001,osdc-non-prod-int-1
drvmwtestwsvc-vip,10.16.21.110,7001,osdc-non-prod-int-1
drwebsrvc-crp2-vip,10.16.20.133,7001,osdc-non-prod-int-1
eis-dev-locklizard-80-vip,10.16.21.12,80,osdc-non-prod-int-1
eis-dev-locklizard-vip,10.16.21.12,443,osdc-non-prod-int-1
fbi-dev-vip,10.16.41.100,80,osdc-non-prod-int-1
flexvmwperfwebsvc-vip,10.16.21.212,80,osdc-non-prod-int-1
hr-stage-ssl-vip,10.16.67.55,443,osdc-non-prod-int-1
hr-vip,10.16.67.80,443,osdc-non-prod-int-1
it-redesign-dev-vip-1,10.16.40.252,443,osdc-non-prod-int-1
knova-stg-ikb-vip,10.16.21.27,80,osdc-non-prod-int-1
knova-stg-kcc-vip,10.16.20.80,8080,osdc-non-prod-int-1
knova-stg-kss-vip,10.16.20.83,8080,osdc-non-prod-int-1
lrp-perf-vip-ssl.vmware.com,10.16.41.143,443,osdc-non-prod-int-1
lrp-perf-vip.vmware.com,10.16.41.143,80,osdc-non-prod-int-1
odi-qa-agent-vip,10.16.21.225,29999,osdc-non-prod-int-1
ora-pref-osb-8011-vip,10.16.41.44,8011,osdc-non-prod-int-1
ora-pref-osb-vip,10.16.41.44,7777,osdc-non-prod-int-1
partnerroadmap-stage-ssl-vip,10.16.67.56,443,osdc-non-prod-int-1
partnerroadmap-vip,10.16.67.81,443,osdc-non-prod-int-1
pchmgmt-perf-web-vip,10.16.40.222,80,osdc-non-prod-int-1
people-stage-ssl-vip,10.16.40.241,443,osdc-non-prod-int-1
perf-s3p3-vip,10.16.40.99,7005,osdc-non-prod-int-1
perfsoax.vmware.com,10.16.41.173,7777,osdc-non-prod-int-1
phnx-portal-dev2-ssl-vip,10.16.21.222,443,osdc-non-prod-int-1
phnx-portal-dev2-vip,10.16.21.222,80,osdc-non-prod-int-1
portal-dev2-sca-vip,10.16.41.83,8171,osdc-non-prod-int-1
portal-perf-licn-vip,10.16.40.134,7007,osdc-non-prod-int-1
portal-perf-sca-vip,10.16.41.79,8171,osdc-non-prod-int-1
portal-vmwperf-web-ssl-vip,10.16.21.133,443,osdc-non-prod-int-1
portal-vmwperf-web-vip,10.16.21.133,80,osdc-non-prod-int-1
s2-dev-lr1-vip,10.16.41.119,8001,osdc-non-prod-int-1
s2-dev-lr2-vip,10.16.41.120,8011,osdc-non-prod-int-1
s2-dev2-lr1-vip.vmware.com,10.16.41.141,8001,osdc-non-prod-int-1
s2-dev2-lr3-vip,10.16.41.176,8001,osdc-non-prod-int-1
s2-perf-accessws-vip,10.16.41.108,8231,osdc-non-prod-int-1
s2-perf-lr1-vip.vmware.com,10.16.41.160,8001,osdc-non-prod-int-1
s2-perf-lr2-vip.vmware.com,10.16.41.161,8011,osdc-non-prod-int-1
s2-perf-lr3-vip.vmware.com,10.16.41.177,8001,osdc-non-prod-int-1
s2-perf-tcs1-vip,10.16.41.109,8111,osdc-non-prod-int-1
s2-perf-tcs2-vip,10.16.41.110,8211,osdc-non-prod-int-1
s2-perf-tcs3-vip,10.16.41.111,8311,osdc-non-prod-int-1
s2-perf-tcs4-vip,10.16.41.112,8411,osdc-non-prod-int-1
s2-perf-tcs5-vip,10.16.41.113,8511,osdc-non-prod-int-1
s2-perf-tcs6-vip,10.16.41.114,8611,osdc-non-prod-int-1
s2-perf-tcs7-vip,10.16.41.115,8711,osdc-non-prod-int-1
s2-perf-tcs8-vip,10.16.41.116,8811,osdc-non-prod-int-1
s2-perf-wcm-vip.vmware.com,10.16.41.132,8251,osdc-non-prod-int-1
s2-perf-websvc1-vip,10.16.41.117,8181,osdc-non-prod-int-1
s2-perf-websvc2-vip,10.16.41.118,8281,osdc-non-prod-int-1
s2-perf-websvc3-vip.vmware.com,10.16.41.174,8381,osdc-non-prod-int-1
s2-test-tcs1-vip.vmware.com,10.16.41.144,8111,osdc-non-prod-int-1
s2-test-tcs2-vip.vmware.com,10.16.41.145,8211,osdc-non-prod-int-1
s2-test-tcs3-vip.vmware.com,10.16.41.146,8311,osdc-non-prod-int-1
s2-test-tcs4-vip.vmware.com,10.16.41.147,8411,osdc-non-prod-int-1
s2-test-tcs5-vip.vmware.com,10.16.41.148,8511,osdc-non-prod-int-1
s2-test-tcs6-vip.vmware.com,10.16.41.149,8611,osdc-non-prod-int-1
s2-test-tcs7-vip.vmware.com,10.16.41.150,8711,osdc-non-prod-int-1
s2-test-tcs8-vip.vmware.com,10.16.41.151,8811,osdc-non-prod-int-1
s2-test-websvc1-vip.vmware.com,10.16.41.152,8181,osdc-non-prod-int-1
s2-test-websvc2-vip.vmware.com,10.16.41.153,8281,osdc-non-prod-int-1
s2-test-websvc3-vip.vmware.com,10.16.40.44,8381,osdc-non-prod-int-1
soa-ext-vip,10.16.20.109,80,osdc-non-prod-int-1
soa-int-vip,10.16.20.109,7777,osdc-non-prod-int-1
source-ssl-vip,10.16.67.108,443,osdc-non-prod-int-1
source-stage-ssl-vip,10.16.67.107,443,osdc-non-prod-int-1
soxsalescert-stage-ssl-vip,10.16.67.90,443,osdc-non-prod-int-1
soxsalescert-vip,10.16.67.82,443,osdc-non-prod-int-1
speakerbureau-stage-ssl-vip,10.16.67.104,443,osdc-non-prod-int-1
speakerbureau-vip,10.16.67.85,443,osdc-non-prod-int-1
testsoax-vip.vmware.com,10.16.41.175,7777,osdc-non-prod-int-1
tstsoa-vip,10.16.20.147,7777,osdc-non-prod-int-1
vmcast-stage-ssl-vip,10.16.67.96,443,osdc-non-prod-int-1
vmcast-vip,10.16.67.84,443,osdc-non-prod-int-1
vmdash-vip,10.16.21.96,80,osdc-non-prod-int-1
vmhrdash-vip,10.16.21.155,80,osdc-non-prod-int-1
vmhrdashqa-vip,10.16.21.157,80,osdc-non-prod-int-1
vmsalesdash-vip,10.16.21.156,80,osdc-non-prod-int-1
vmsalesdashqa-vip,10.16.21.129,80,osdc-non-prod-int-1
vmsearch-stage-ssl-vip,10.16.67.33,443,osdc-non-prod-int-1
vmsearch-stage-vip,10.16.67.33,80,osdc-non-prod-int-1
vmshare-stage-ssl-vip,10.16.67.73,443,osdc-non-prod-int-1
vmweb-stage-ssl-vip,10.16.40.159,443,osdc-non-prod-int-1
vmweb-stage-vip,10.16.40.159,80,osdc-non-prod-int-1
vmwperf-account-vip,10.16.21.134,7031,osdc-non-prod-int-1
vmwperf-beta-vip,10.16.21.135,7025,osdc-non-prod-int-1
vmwperf-betan-vip,10.16.21.46,7003,osdc-non-prod-int-1
vmwperf-download-vip,10.16.21.136,8131,osdc-non-prod-int-1
vmwperf-eval-vip,10.16.21.140,8151,osdc-non-prod-int-1
vmwperf-isv-vip,10.16.21.137,7017,osdc-non-prod-int-1
vmwperf-license-vip,10.16.21.138,7011,osdc-non-prod-int-1
vmwperf-oem-vip,10.16.21.139,7015,osdc-non-prod-int-1
vmwperf-support-vip,10.16.21.141,7019,osdc-non-prod-int-1
vmwperf-upgrade-vip,10.16.21.142,7035,osdc-non-prod-int-1
vmwperf-utility-vip,10.16.21.143,7033,osdc-non-prod-int-1
vmwperf-utiln-vip,10.16.21.221,7003,osdc-non-prod-int-1
vmwprodr-7003-vip,10.16.21.6,7003,osdc-non-prod-int-1
vmwprodr-7004-vip,10.16.21.6,7004,osdc-non-prod-int-1
vpp-dev-1-vip,10.16.79.7,80,osdc-non-prod-int-1
web-dev2-1-vip,10.16.40.198,80,osdc-non-prod-int-1
web-dev2-ssl-1-vip,10.16.40.180,443,osdc-non-prod-int-1
wlp-perf-offpm-vip,10.16.41.9,7009,osdc-non-prod-int-1
wlp-perf-patm-vip,10.16.41.10,7005,osdc-non-prod-int-1
wlp-perf-sspi-vip,10.16.40.195,7003,osdc-non-prod-int-1
www-dev2-ssl-vip,10.16.40.198,443,osdc-non-prod-int-1
wwwa-dev-ssl-vip,10.16.20.48,443,osdc-non-prod-int-1
wwwa-dev-sso-ssl-vip,10.16.21.33,443,osdc-non-prod-int-1
wwwa-dev-sso-vip,10.16.21.33,80,osdc-non-prod-int-1
wwwa-dev-vip,10.16.20.48,80,osdc-non-prod-int-1
wwwapps-dev-ssl-vip,10.16.20.49,443,osdc-non-prod-int-1
wwwapps-dev-vip,10.16.20.49,80,osdc-non-prod-int-1
ppmstage-vip-ssl,10.16.40.9,443,osdc-non-prod-int-1
s2-dev2-lr2-vip.vmware.com,10.16.41.142,8011,osdc-non-prod-int-1
lrp-test-vip.vmware.com,10.16.41.196,80,osdc-non-prod-int-1
s2-dev-hhq-vip.vmware.com,10.16.20.246,7080,osdc-non-prod-int-1
perf-ebssso,10.16.41.214,443,osdc-non-prod-int-1
s2-perf-ebssso-vip,10.16.41.216,443,osdc-non-prod-int-1
s2-perf-ebssso-ag-vip,10.16.41.215,80,osdc-non-prod-int-1
cbr-dev2-vip,10.16.41.20,80,osdc-non-prod-int-1
cbr-dev2-vip-ssl,10.16.41.20,443,osdc-non-prod-int-1
vmworld-dev-vip-1,10.16.41.217,80,osdc-non-prod-int-1
vmworld-dev-ssl-vip-1,10.16.41.217,443,osdc-non-prod-int-1
ppmstage-rmi-vip,10.16.40.9,1099,osdc-non-prod-int-1
source-stage-vip,10.113.52.167,443,osdc-non-prod-int-1
portal-beta-wlp-vip,10.16.27.62,7003,osdc-prod-stage-int-1
gsswebstage-80,10.16.71.161,80,osdc-prod-stage-int-1
oracle_11i_8000,10.16.71.137,8000,osdc-prod-stage-int-1
Inside_oracle11i_443,10.16.71.137,443,osdc-prod-stage-int-1
Inside_oracle11i_80,10.16.71.137,80,osdc-prod-stage-int-1
gsswebstage,10.16.71.161,443,osdc-prod-stage-int-1
oracleapps-qa,10.16.71.151,80,osdc-prod-stage-int-1
oracledisco-qa,10.16.71.150,80,osdc-prod-stage-int-1
oracledisco.vmware.com,10.16.71.159,80,osdc-prod-stage-int-1
oracleapps-dr-vip,10.16.27.35,80,osdc-prod-stage-int-1
soa-prod-int-vip,10.16.71.166,7777,osdc-prod-stage-int-1
soa-prod-extvip,10.16.71.166,80,osdc-prod-stage-int-1
stage-staging-wlc03-vip,10.16.71.170,7011,osdc-prod-stage-int-1
stage-vmshr-stage-vip,10.16.71.190,443,osdc-prod-stage-int-1
stage-oracledisco-qar-vip,10.16.71.158,80,osdc-prod-stage-int-1
stage-ora-apps-qar,10.16.71.179,80,osdc-prod-stage-int-1
stage-weblogic-stage,10.16.71.132,80,osdc-prod-stage-int-1
stage-apache-stage-store,10.16.71.133,80,osdc-prod-stage-int-1
stage-flex-stage,10.16.71.138,80,osdc-prod-stage-int-1
stage-redirect-apache-80,10.16.71.185,80,osdc-prod-stage-int-1
stage-Csharp-vip-443,10.16.71.164,443,osdc-prod-stage-int-1
stage-apache-stage-store-ssl,10.16.71.133,443,osdc-prod-stage-int-1
stage-redirect-apache-443,10.16.71.185,443,osdc-prod-stage-int-1
stage-Csharp-vip,10.16.71.164,80,osdc-prod-stage-int-1
crp2-flexlm-1-vip,10.16.71.173,443,osdc-prod-stage-int-1
idm-vip,10.16.27.43,7780,osdc-prod-stage-int-1
phnx-portal-uat2-vip,10.16.71.172,80,osdc-prod-stage-int-1
phnx-portal-uat2-ssl-vip,10.16.71.172,443,osdc-prod-stage-int-1
devsoa-vip,10.16.71.153,7777,osdc-prod-stage-int-1
OWA-imap4-ssl-vip,10.128.156.51,993,wdc-lt-dmz-1
OWA-imap4-vip,10.128.156.51,143,wdc-lt-dmz-1
OWA-pop3-ssl-vip,10.128.156.51,995,wdc-lt-dmz-1
OWA-pop3-vip,10.128.156.51,110,wdc-lt-dmz-1
OWA-ssl-vip,10.128.156.51,443,wdc-lt-dmz-1
cpb-ssl-vip,10.128.184.38,443,wdc-lt-dmz-1
optimize-trainingA-ssl-vip,10.128.156.134,443,wdc-lt-dmz-1
optimize-trainingB-ssl-vip,10.128.156.135,443,wdc-lt-dmz-1
pchmgmt-lt-web-vip,10.128.38.41,7005,wdc-lt-dmz-1
sfdc-lt-apache-7777-vip,10.128.38.53,7777,wdc-lt-dmz-1
sfdc-lt-apache-ssl-vip,10.128.38.53,443,wdc-lt-dmz-1
sfdc-lt-apache-vip,10.128.38.53,80,wdc-lt-dmz-1
supplier-lt-vip,10.128.38.50,80,wdc-lt-dmz-1
viops-prod-web-ext-vip,10.128.156.132,80,wdc-lt-dmz-1
vmworld-lt-ssl-vip-2,10.128.38.54,443,wdc-lt-dmz-1
vmworld-lt-vip-1,10.128.38.25,80,wdc-lt-dmz-1
vmworld-lt-vip-2,10.128.38.54,80,wdc-lt-dmz-1
vmworld-prod-web-ext-vip,10.128.156.131,80,wdc-lt-dmz-1
wdc-mylnssl-http-vip,10.128.156.129,80,wdc-lt-dmz-1
wdc-mylnssl-ssl-vip,10.128.156.101,443,wdc-lt-dmz-1
wdc-mylnweb-vip,10.128.156.128,80,wdc-lt-dmz-1
web-lt-ssl-vip,10.128.38.48,443,wdc-lt-dmz-1
web-lt-vip,10.128.38.48,80,wdc-lt-dmz-1
wwwa-lt-vip,10.128.38.34,80,wdc-lt-dmz-1
wwwapps-lt-web-vip-1,10.128.38.39,80,wdc-lt-dmz-1
communities-lt-vip,10.128.38.42,80,wdc-lt-dmz-1
horizonworkspace-beta-vip.vmware.com,10.128.38.62,443,wdc-lt-dmz-1
horizonworkspace-beta,10.128.38.62,443,wdc-lt-dmz-1
ltapim-vip-8444,10.128.38.73,8444,wdc-lt-dmz-1
lttapim-8445,10.128.38.73,443,wdc-lt-dmz-1
workspace-stg.vmware.com,10.128.38.63,443,wdc-lt-dmz-1
esg-lt-ext-vip-443,10.128.38.66,443,wdc-lt-dmz-1
esg-lt-ext-vip,10.128.38.66,8443,wdc-lt-dmz-1
workspace-stg.vmware.com-80,10.128.38.63,80,wdc-lt-dmz-1
ltrmqsslt-vip-5674,10.128.38.67,5674,wdc-lt-dmz-1
supplier-lt-vip-ssl,10.128.38.50,443,wdc-lt-dmz-1
ltrmqsslt-vip-5673,10.128.38.67,5673,wdc-lt-dmz-1
pds-dev-jscape-vip-443,10.128.38.80,443,wdc-lt-dmz-1
pds-dev-jscape-vip-22,10.128.38.80,22,wdc-lt-dmz-1
pds-dev-jscape-vip-10880,10.128.38.80,80,wdc-lt-dmz-1
esg-lt-vip.vmware.com-9443,10.128.38.66,9443,wdc-lt-dmz-1
pds-dev-vip-11880-1,10.128.38.82,80,wdc-lt-dmz-1
liferay-lt-https,10.128.38.64,443,wdc-lt-dmz-1
liferay-lt-pool-http,10.128.38.64,80,wdc-lt-dmz-1
dr-ltwebsvc-vip,10.128.36.172,7001,wdc-lt-int-1
fbi-lt-80-vip,10.128.37.51,80,wdc-lt-int-1
flexltwebsvc-vip,10.128.36.162,80,wdc-lt-int-1
ilog-lt-app-vip.vmware.com,10.128.11.100,8001,wdc-lt-int-1
lrp-lt-ssl-vip.vmware.com,10.128.37.40,443,wdc-lt-int-1
lrp-lt-vip.vmware.com,10.128.37.40,80,wdc-lt-int-1
ltidm-vip,10.128.36.144,7780,wdc-lt-int-1
ltosb-vip,10.128.36.198,8011,wdc-lt-int-1
ltsoa-7777-vip,10.128.36.141,7777,wdc-lt-int-1
ltsoa-7778-vip,10.128.36.141,7778,wdc-lt-int-1
ltsoa-vip,10.128.36.141,80,wdc-lt-int-1
ltsoax-vip.vmware.com,10.128.37.65,7777,wdc-lt-int-1
obie-lt-ice-vip.vmware.com,10.128.37.126,80,wdc-lt-int-1
ora-lt-fmidm-ovd-1-vip,10.128.36.47,389,wdc-lt-int-1
ora-lt-fmidm-ovd-2-vip,10.128.36.47,636,wdc-lt-int-1
ora-lt-osb-vip,10.128.36.198,7777,wdc-lt-int-1
oracleapps-lt-vip,10.128.36.142,80,wdc-lt-int-1
oracledisco-lt-vip,10.128.36.143,80,wdc-lt-int-1
portal-lt-sca-vip,10.128.36.199,8171,wdc-lt-int-1
portal-lt-webgate-vip,10.128.36.194,80,wdc-lt-int-1
s2-lt-accessws-vip,10.128.36.157,8231,wdc-lt-int-1
s2-lt-adm-vip,10.128.36.21,8001,wdc-lt-int-1
s2-lt-admn2-vip,10.128.36.178,8211,wdc-lt-int-1
s2-lt-dload-vip,10.128.36.173,8131,wdc-lt-int-1
s2-lt-eval-vip,10.128.36.174,8151,wdc-lt-int-1
s2-lt-gsseform-vip.vmware.com,10.128.36.159,8221,wdc-lt-int-1
s2-lt-lr1-vip.vmware.com,10.128.37.41,8001,wdc-lt-int-1
s2-lt-lr2-vip.vmware.com,10.128.37.42,8001,wdc-lt-int-1
s2-lt-lr3-vip.vmware.com,10.128.37.43,8011,wdc-lt-int-1
s2-lt-support-vip,10.128.36.24,8051,wdc-lt-int-1
s2-lt-tcs1-vip.vmware.com,10.128.37.21,8111,wdc-lt-int-1
s2-lt-tcs2-vip.vmware.com,10.128.37.22,8211,wdc-lt-int-1
s2-lt-tcs3-vip.vmware.com,10.128.37.23,8311,wdc-lt-int-1
s2-lt-tcs4-vip.vmware.com,10.128.37.24,8411,wdc-lt-int-1
s2-lt-tcs5-vip.vmware.com,10.128.37.25,8511,wdc-lt-int-1
s2-lt-tcs6-vip.vmware.com,10.128.37.26,8611,wdc-lt-int-1
s2-lt-tcs7-vip.vmware.com,10.128.37.27,8711,wdc-lt-int-1
s2-lt-tcs8-vip.vmware.com,10.128.37.28,8811,wdc-lt-int-1
s2-lt-util-vip,10.128.36.22,8011,wdc-lt-int-1
s2-lt-vmwsvc-vip,10.128.36.175,8181,wdc-lt-int-1
s2-lt-wcm-vip,10.128.36.180,8251,wdc-lt-int-1
