name,ip,port,f5cluster_name
buy-zimbra-prod-vip,10.113.63.48,80,sc9-prod-stage-dmz-1
gallery-zimbra-prod-vip,10.113.63.42,80,sc9-prod-stage-dmz-1
buy-zimbra-prod-ssl-vip,10.113.63.48,443,sc9-prod-stage-dmz-1
zimbra-prod-ext-proxy-https-vip,10.113.63.87,443,sc9-prod-stage-dmz-1
ec-mol-vip,10.113.63.57,443,sc9-prod-stage-dmz-1
myln-prod-ssl-vip-1,10.113.63.78,443,sc9-prod-stage-dmz-1
myln-stage-ssl-vip-1,10.113.54.34,443,sc9-prod-stage-dmz-1
communities-prod-gbot-vip-2,10.113.63.94,80,sc9-prod-stage-dmz-1
ftpsite-ftp-vip,10.113.63.125,21,sc9-prod-stage-dmz-1
s2-stage-hyperic-389-vip,10.113.54.36,389,sc9-prod-stage-dmz-1
sc9-prod-gsa-int-80-vip,10.113.63.54,80,sc9-prod-stage-dmz-1
s2-prod-hyperic-636-vip,10.113.62.138,636,sc9-prod-stage-dmz-1
s2-stage-hyperic-http-vip,10.113.54.36,80,sc9-prod-stage-dmz-1
communities-preprod-vip-1,10.113.54.62,80,sc9-prod-stage-dmz-1
eclipse-prod-techpubs-8080-vip,10.113.63.29,8080,sc9-prod-stage-dmz-1
s2-prod-hyperic-389-vip,10.113.62.138,389,sc9-prod-stage-dmz-1
sfdc-stage-apache-7777-vip,10.113.70.100,7777,sc9-prod-stage-dmz-1
s2-prod-hyperic-ssl-vip,10.113.63.85,443,sc9-prod-stage-dmz-1
view-ss-http-vip,10.113.63.103,80,sc9-prod-stage-dmz-1
zimbra-prod-ext-proxy-vip,10.113.63.87,80,sc9-prod-stage-dmz-1
zimbra-prod-webproxy-vip,10.113.63.124,443,sc9-prod-stage-dmz-1
gemstone-ssl-vip,10.113.63.100,443,sc9-prod-stage-dmz-1
knova-prod-kb-vip,10.113.63.99,80,sc9-prod-stage-dmz-1
eclipse-prod-techpubs-ssl-vip,10.113.63.29,443,sc9-prod-stage-dmz-1
knova-stg-kb-vip,10.113.54.65,80,sc9-prod-stage-dmz-1
ftpsite-ssh-vip,10.113.63.125,22,sc9-prod-stage-dmz-1
ftpsite-https-vip,10.113.63.125,443,sc9-prod-stage-dmz-1
ceip-stage-ssl-vip,10.113.54.74,443,sc9-prod-stage-dmz-1
ceip-prod-vip,10.113.62.203,80,sc9-prod-stage-dmz-1
zimbra-465-vip,10.113.63.87,465,sc9-prod-stage-dmz-1
ceip-stage-vip,10.113.54.74,80,sc9-prod-stage-dmz-1
sfdc-stage-apache-80-vip,10.113.70.100,80,sc9-prod-stage-dmz-1
zimbra-prod-ext-proxy-993-vip,10.113.63.87,993,sc9-prod-stage-dmz-1
socialcast-prod-vip,10.113.63.105,80,sc9-prod-stage-dmz-1
ftpsite-static-webserver-ssl-vip,10.113.63.130,443,sc9-prod-stage-dmz-1
ftpsite-int-ftp-vip,10.113.63.129,21,sc9-prod-stage-dmz-1
ftpsite-int-https-vip,10.113.63.129,443,sc9-prod-stage-dmz-1
ftpsite-static-webserver-vip,10.113.63.130,80,sc9-prod-stage-dmz-1
ceip-prod-ssl-vip,10.113.62.203,443,sc9-prod-stage-dmz-1
view-ss-ssl-viop,10.113.63.103,443,sc9-prod-stage-dmz-1
zimbraesna-vip,10.113.63.5,13777,sc9-prod-stage-dmz-1
w-stage-ext-vip,10.113.54.21,80,sc9-prod-stage-dmz-1
w-stage-int-vip,10.113.54.22,80,sc9-prod-stage-dmz-1
w-stage-int-vip-SSL,10.113.54.22,443,sc9-prod-stage-dmz-1
w-stage-ext-vip-SSL,10.113.54.21,443,sc9-prod-stage-dmz-1
supplier-staging-vip,10.113.54.200,443,sc9-prod-stage-dmz-1
sc9-view-test-vip-http,10.113.63.107,80,sc9-prod-stage-dmz-1
sc9-view-test-vip,10.113.63.107,443,sc9-prod-stage-dmz-1
comm-dev-http-vip,10.113.211.17,80,sc9-prod-stage-dmz-2
comm-dev-https-vip,10.113.211.17,443,sc9-prod-stage-dmz-2
knova-prod-kb-vip2,10.113.63.117,80,sc9-prod-stage-dmz-2
ssend-ext-https-vip,10.113.63.134,443,sc9-prod-stage-dmz-2
ssend-ext-sftp-vip,10.113.63.134,22,sc9-prod-stage-dmz-2
ssend-int-https-vip,10.113.63.132,443,sc9-prod-stage-dmz-2
ssend-int-sftp-vip,10.113.63.132,22,sc9-prod-stage-dmz-2
w-prod-ext-vip,10.113.62.39,80,sc9-prod-stage-dmz-2
w-prod-int-vip,10.113.62.109,80,sc9-prod-stage-dmz-2
www-int-ssl-vip,10.113.78.20,443,sc9-prod-stage-dmz-2
www-int-vip,10.113.78.20,80,sc9-prod-stage-dmz-2
www-ssl-vip,10.113.78.120,443,sc9-prod-stage-dmz-2
www-vip,10.113.78.120,80,sc9-prod-stage-dmz-2
wwwa-stage-web-vip-1a,10.113.54.40,80,sc9-prod-stage-dmz-2
h-prod-ext-vip,10.113.63.123,80,sc9-prod-stage-dmz-2
phon-prod-proxy-vip-ssl,10.113.208.73,443,sc9-prod-stage-dmz-2
h-prod-int-vip,10.113.63.149,80,sc9-prod-stage-dmz-2
vcmupdate-prod-proxy-https-vip,10.113.63.111,443,sc9-prod-stage-dmz-2
vcmupdate-prod-proxy-http-vip,10.113.63.111,80,sc9-prod-stage-dmz-2
visl-prod-proxy-ssl-vip,10.113.62.210,443,sc9-prod-stage-dmz-2
psend-ext-sftp-vip,10.113.63.114,22,sc9-prod-stage-dmz-2
ceip-prod-eng-http-vip,10.113.62.98,80,sc9-prod-stage-dmz-2
ceip-prod-eng-ssl-vip,10.113.62.98,443,sc9-prod-stage-dmz-2
psend-ext-https-vip,10.113.63.114,443,sc9-prod-stage-dmz-2
ceip-stage-vip,10.113.54.74,80,sc9-prod-stage-dmz-2
ceip-prod-vip,10.113.62.203,80,sc9-prod-stage-dmz-2
ceip-prod-ssl-vip,10.113.62.203,443,sc9-prod-stage-dmz-2
vmworld-prod-ssl-vip-2,10.113.63.25,443,sc9-prod-stage-dmz-2
vmworld-prod-vip-2,10.113.63.25,80,sc9-prod-stage-dmz-2
ceip-stage-ssl-vip,10.113.54.74,443,sc9-prod-stage-dmz-2
tsend-rfc02927-https,10.113.63.6,443,sc9-prod-stage-dmz-2
tsend-rfc02927-sftp,10.113.63.6,22,sc9-prod-stage-dmz-2
tsend-rfc02927-http,10.113.63.6,80,sc9-prod-stage-dmz-2
w-prod-int-ssl-vip,10.113.62.109,443,sc9-prod-stage-dmz-2
w-prod-ext-ssl-vip,10.113.62.39,443,sc9-prod-stage-dmz-2
cpb-ssl-vip,10.113.63.19,443,sc9-prod-stage-dmz-2
sfdc-stage-apache-7777-vip,10.113.70.100,7777,sc9-prod-stage-dmz-2
sfdc-stage-apache-80-vip,10.113.70.100,80,sc9-prod-stage-dmz-2
eis-prod-locklizard-ssl-vip,10.113.63.13,443,sc9-prod-stage-dmz-2
sfdc-stage-apache-vip-1,10.113.70.100,443,sc9-prod-stage-dmz-2
eis-prod-locklizard-vip,10.113.63.13,80,sc9-prod-stage-dmz-2
sfdc-stage-wsv-int-vip,10.113.54.31,443,sc9-prod-stage-dmz-2
ccred-int-ssl-vip,10.113.62.105,443,sc9-prod-stage-dmz-2
ccred-ext-ssl-vip,10.113.62.146,443,sc9-prod-stage-dmz-2
ccred-ext-vip,10.113.62.146,80,sc9-prod-stage-dmz-2
ccred-int-vip,10.113.62.105,80,sc9-prod-stage-dmz-2
optimize-trainingA-ssl-vip,10.113.63.43,443,sc9-prod-stage-dmz-2
cpp-ssl-vip,10.113.63.20,443,sc9-prod-stage-dmz-2
optimize-trainingB-ssl-vip,10.113.63.44,443,sc9-prod-stage-dmz-2
sc9-prod-gsa-int-80-vip,10.113.63.54,80,sc9-prod-stage-dmz-2
partnerweb-prod-cva-vip-1,10.113.63.28,80,sc9-prod-stage-dmz-2
communities-prod-vip,10.113.63.80,80,sc9-prod-stage-dmz-2
sc9-prod-gsa-int-443-vip,10.113.63.54,443,sc9-prod-stage-dmz-2
ftpsite-int-ftp-vip,10.113.63.129,21,sc9-prod-stage-dmz-2
ftpsite-ftp-vip,10.113.63.125,21,sc9-prod-stage-dmz-2
ftpsite-https-vip,10.113.63.125,443,sc9-prod-stage-dmz-2
ftpsite-static-webserver-vip,10.113.63.130,80,sc9-prod-stage-dmz-2
ftpsite-int-https-vip,10.113.63.129,443,sc9-prod-stage-dmz-2
ftpsite-static-webserver-ssl-vip,10.113.63.130,443,sc9-prod-stage-dmz-2
sfdc-prod-wsv-vip,10.113.63.31,443,sc9-prod-stage-dmz-2
sfdc-prod-apache-vip-1,10.113.78.34,80,sc9-prod-stage-dmz-2
sfdc-prod-apache-ssl-vip,10.113.78.34,443,sc9-prod-stage-dmz-2
upload-ssh-vip,10.113.63.56,22,sc9-prod-stage-dmz-2
upload-vip,10.113.63.56,443,sc9-prod-stage-dmz-2
zimbra-465-vip,10.113.63.87,465,sc9-prod-stage-dmz-2
www-zimbra-prod-vip,10.113.63.41,80,sc9-prod-stage-dmz-2
zimbra-prod-ext-proxy-993-vip,10.113.63.87,993,sc9-prod-stage-dmz-2
www-zimbra-prod-ssl-vip,10.113.63.41,443,sc9-prod-stage-dmz-2
zimbra-prod-ext-proxy-https-vip,10.113.63.87,443,sc9-prod-stage-dmz-2
zimbra-prod-ext-proxy-vip,10.113.63.87,80,sc9-prod-stage-dmz-2
cbr-prod-proxy-int-vip,10.113.63.153,80,sc9-prod-stage-dmz-2
cbr-prod-proxy-ext-vip_ssl,10.113.63.152,443,sc9-prod-stage-dmz-2
cbr-prod-proxy-ext-vip,10.113.63.152,80,sc9-prod-stage-dmz-2
cbr-prod-proxy-int-vip_ssl,10.113.63.153,443,sc9-prod-stage-dmz-2
portal-stage-ext-ssl-vip,10.113.70.120,443,sc9-prod-stage-dmz-2
knova-stg-kb-vip,10.113.54.65,80,sc9-prod-stage-dmz-2
cbr-stage-proxy-ext-vip_ssl,10.113.54.85,443,sc9-prod-stage-dmz-2
cbr-stage-proxy-int-vip,10.113.54.86,80,sc9-prod-stage-dmz-2
cbr-stage-proxy-int-vip_ssl,10.113.54.86,443,sc9-prod-stage-dmz-2
portal-stage-ext-vip,10.113.70.120,80,sc9-prod-stage-dmz-2
gallery-zimbra-prod-ssl-vip,10.113.63.42,443,sc9-prod-stage-dmz-2
gallery-zimbra-prod-vip,10.113.63.42,80,sc9-prod-stage-dmz-2
cbr-stage-proxy-ext-vip,10.113.54.85,80,sc9-prod-stage-dmz-2
portal-stage-int-ssl-vip,10.113.70.25,443,sc9-prod-stage-dmz-2
thinapp-qr-vip-1,10.113.63.106,443,sc9-prod-stage-dmz-2
portal-stage-int-vip,10.113.70.25,80,sc9-prod-stage-dmz-2
