name,lb_method,name,f5cluster_name
perf-ebssso-pool,ROUND,ROBIN,perf-ebssso,osdc-non-prod-int-1
s2-perf-ebssso-pool,ROUND,ROBIN,s2-perf-ebssso-vip,osdc-non-prod-int-1
s2-perf-ebssso-ag-pool,ROUND,ROBIN,s2-perf-ebssso-ag-vip,osdc-non-prod-int-1
cbr-dev2-pool,ROUND,ROBIN,cbr-dev2-vip,osdc-non-prod-int-1
cbr-dev2-pool,ROUND,ROBIN,cbr-dev2-vip-ssl,osdc-non-prod-int-1
vmworld-dev-pool,ROUND,ROBIN,vmworld-dev-vip-1,osdc-non-prod-int-1
vmworld-dev-pool,ROUND,ROBIN,vmworld-dev-ssl-vip-1,osdc-non-prod-int-1
ppmstage-rmi-pool,ROUND,ROBIN,ppmstage-rmi-vip,osdc-non-prod-int-1
vmshare-stage-pool,ROUND,ROBIN,source-stage-vip,osdc-non-prod-int-1
portal-beta-wlp-pool,ROUND,ROBIN,portal-beta-wlp-vip,osdc-prod-stage-int-1
gsswebstage-host,ROUND,ROBIN,gsswebstage-80,osdc-prod-stage-int-1
Pool_oracle11i_8000,PREDICTIVE,MEMBER,oracle_11i_8000,osdc-prod-stage-int-1
Pool_oracle11i_8000,PREDICTIVE,MEMBER,Inside_oracle11i_443,osdc-prod-stage-int-1
Pool_oracle11i_8000,PREDICTIVE,MEMBER,Inside_oracle11i_80,osdc-prod-stage-int-1
gsswebstage-host,ROUND,ROBIN,gsswebstage,osdc-prod-stage-int-1
ora-apps-vmqa-8001,PREDICTIVE,MEMBER,oracleapps-qa,osdc-prod-stage-int-1
ora-apps-vmqa-7777,PREDICTIVE,MEMBER,oracledisco-qa,osdc-prod-stage-int-1
oracledisco-pool,LEAST,CONNECTION_MEMBER,oracledisco.vmware.com,osdc-prod-stage-int-1
oracleapps-dr-pool,ROUND,ROBIN,oracleapps-dr-vip,osdc-prod-stage-int-1
soa-prod-pool,ROUND,ROBIN,soa-prod-int-vip,osdc-prod-stage-int-1
soa-prod-pool,ROUND,ROBIN,soa-prod-extvip,osdc-prod-stage-int-1
stage-staging-wlc03,ROUND,ROBIN,stage-staging-wlc03-vip,osdc-prod-stage-int-1
stage-vmshr-stage,ROUND,ROBIN,stage-vmshr-stage-vip,osdc-prod-stage-int-1
stage-oracledisco-qar-pool,ROUND,ROBIN,stage-oracledisco-qar-vip,osdc-prod-stage-int-1
stage-ora-apps-qar-pool,ROUND,ROBIN,stage-ora-apps-qar,osdc-prod-stage-int-1
stage-weblogic-stage,ROUND,ROBIN,stage-weblogic-stage,osdc-prod-stage-int-1
stage-apache-stage-store,ROUND,ROBIN,stage-apache-stage-store,osdc-prod-stage-int-1
stage-flex-stage,ROUND,ROBIN,stage-flex-stage,osdc-prod-stage-int-1
stage-redirect-apache-80,ROUND,ROBIN,stage-redirect-apache-80,osdc-prod-stage-int-1
stage-Csharp-hack,ROUND,ROBIN,stage-Csharp-vip-443,osdc-prod-stage-int-1
stage-apache-stage-store,ROUND,ROBIN,stage-apache-stage-store-ssl,osdc-prod-stage-int-1
stage-redirect-apache-80,ROUND,ROBIN,stage-redirect-apache-443,osdc-prod-stage-int-1
stage-Csharp-hack,ROUND,ROBIN,stage-Csharp-vip,osdc-prod-stage-int-1
crp2-flexlm-1-pool,ROUND,ROBIN,crp2-flexlm-1-vip,osdc-prod-stage-int-1
idm-pool,ROUND,ROBIN,idm-vip,osdc-prod-stage-int-1
crp2-flexlm-2-pool,ROUND,ROBIN,phnx-portal-uat2-vip,osdc-prod-stage-int-1
crp2-flexlm-2-pool,ROUND,ROBIN,phnx-portal-uat2-ssl-vip,osdc-prod-stage-int-1
devsoa-pool,ROUND,ROBIN,devsoa-vip,osdc-prod-stage-int-1
WDC-OWA-imap4-pool,ROUND,ROBIN,OWA-imap4-ssl-vip,wdc-lt-dmz-1
WDC-OWA-imap4-pool,ROUND,ROBIN,OWA-imap4-vip,wdc-lt-dmz-1
WDC-OWA-pop3-pool,ROUND,ROBIN,OWA-pop3-ssl-vip,wdc-lt-dmz-1
WDC-OWA-pop3-pool,ROUND,ROBIN,OWA-pop3-vip,wdc-lt-dmz-1
WDC-OWA-pool,ROUND,ROBIN,OWA-ssl-vip,wdc-lt-dmz-1
cpb-pool,ROUND,ROBIN,cpb-ssl-vip,wdc-lt-dmz-1
optimize-trainingA-pool,ROUND,ROBIN,optimize-trainingA-ssl-vip,wdc-lt-dmz-1
optimize-trainingB-pool,ROUND,ROBIN,optimize-trainingB-ssl-vip,wdc-lt-dmz-1
pchmgmt-lt-web-pool,LEAST,CONNECTION_MEMBER,pchmgmt-lt-web-vip,wdc-lt-dmz-1
sfdc-lt-apache-pool,ROUND,ROBIN,sfdc-lt-apache-7777-vip,wdc-lt-dmz-1
sfdc-lt-apache-pool,ROUND,ROBIN,sfdc-lt-apache-ssl-vip,wdc-lt-dmz-1
sfdc-lt-apache-pool,ROUND,ROBIN,sfdc-lt-apache-vip,wdc-lt-dmz-1
supplier-lt-pool,ROUND,ROBIN,supplier-lt-vip,wdc-lt-dmz-1
viops-prod-web-ext-pool,ROUND,ROBIN,viops-prod-web-ext-vip,wdc-lt-dmz-1
vmworld-lt-pool,PREDICTIVE,MEMBER,vmworld-lt-ssl-vip-2,wdc-lt-dmz-1
vmworld-lt-jive-pool,ROUND,ROBIN,vmworld-lt-vip-1,wdc-lt-dmz-1
vmworld-lt-pool,PREDICTIVE,MEMBER,vmworld-lt-vip-2,wdc-lt-dmz-1
vmworld-prod-web-ext-pool,ROUND,ROBIN,vmworld-prod-web-ext-vip,wdc-lt-dmz-1
wdc-mylnssl-http-pool,ROUND,ROBIN,wdc-mylnssl-http-vip,wdc-lt-dmz-1
wdc-mylnssl-ssl-pool,ROUND,ROBIN,wdc-mylnssl-ssl-vip,wdc-lt-dmz-1
wdc-mylnweb-pool,ROUND,ROBIN,wdc-mylnweb-vip,wdc-lt-dmz-1
web-lt-pool,ROUND,ROBIN,web-lt-ssl-vip,wdc-lt-dmz-1
web-lt-pool,ROUND,ROBIN,web-lt-vip,wdc-lt-dmz-1
wwwa-lt-pool,LEAST,CONNECTION_MEMBER,wwwa-lt-vip,wdc-lt-dmz-1
wwwapps-lt-web-pool,LEAST,CONNECTION_MEMBER,wwwapps-lt-web-vip-1,wdc-lt-dmz-1
communities-lt-pool,ROUND,ROBIN,communities-lt-vip,wdc-lt-dmz-1
horizonworkspace-beta,ROUND,ROBIN,horizonworkspace-beta-vip.vmware.com,wdc-lt-dmz-1
horizonworkspace-beta,ROUND,ROBIN,horizonworkspace-beta,wdc-lt-dmz-1
ltapim-vip-8444,ROUND,ROBIN,ltapim-vip-8444,wdc-lt-dmz-1
ltapim-pool-8445,ROUND,ROBIN,lttapim-8445,wdc-lt-dmz-1
workspace-stg-pool,ROUND,ROBIN,workspace-stg.vmware.com,wdc-lt-dmz-1
esg-lt-ext-vip-pool-443,ROUND,ROBIN,esg-lt-ext-vip-443,wdc-lt-dmz-1
esg-lt-ext-pool,ROUND,ROBIN,esg-lt-ext-vip,wdc-lt-dmz-1
workspace-stg-pool,ROUND,ROBIN,workspace-stg.vmware.com-80,wdc-lt-dmz-1
ltrmqsslt-5674-pool,ROUND,ROBIN,ltrmqsslt-vip-5674,wdc-lt-dmz-1
supplier-lt-pool,ROUND,ROBIN,supplier-lt-vip-ssl,wdc-lt-dmz-1
ltrmqsslt-5673-pool,ROUND,ROBIN,ltrmqsslt-vip-5673,wdc-lt-dmz-1
pds-dev-jscape-pool-443,ROUND,ROBIN,pds-dev-jscape-vip-443,wdc-lt-dmz-1
pds-dev-jscape-pool-22,ROUND,ROBIN,pds-dev-jscape-vip-22,wdc-lt-dmz-1
pds-dev-jscape-vip-10880,ROUND,ROBIN,pds-dev-jscape-vip-10880,wdc-lt-dmz-1
esg-lt-ext-pool-9443,ROUND,ROBIN,esg-lt-vip.vmware.com-9443,wdc-lt-dmz-1
pds-dev-jscape-vip-10880-1,ROUND,ROBIN,pds-dev-vip-11880-1,wdc-lt-dmz-1
liferay-lt-pool-80,ROUND,ROBIN,liferay-lt-https,wdc-lt-dmz-1
liferay-lt-pool-80,ROUND,ROBIN,liferay-lt-pool-http,wdc-lt-dmz-1
dr-ltwebsvc-pool,ROUND,ROBIN,dr-ltwebsvc-vip,wdc-lt-int-1
fbi-lt-pool,ROUND,ROBIN,fbi-lt-80-vip,wdc-lt-int-1
flexltwerbsvc-pool,ROUND,ROBIN,flexltwebsvc-vip,wdc-lt-int-1
ilog-lt-app-pool,ROUND,ROBIN,ilog-lt-app-vip.vmware.com,wdc-lt-int-1
lrp-lt-pool,ROUND,ROBIN,lrp-lt-ssl-vip.vmware.com,wdc-lt-int-1
lrp-lt-pool,ROUND,ROBIN,lrp-lt-vip.vmware.com,wdc-lt-int-1
ltidm-pool,ROUND,ROBIN,ltidm-vip,wdc-lt-int-1
ltosb-pool,ROUND,ROBIN,ltosb-vip,wdc-lt-int-1
ltsoa-pool,ROUND,ROBIN,ltsoa-7777-vip,wdc-lt-int-1
ltsoa-7778-pool,ROUND,ROBIN,ltsoa-7778-vip,wdc-lt-int-1
ltsoa-pool,ROUND,ROBIN,ltsoa-vip,wdc-lt-int-1
ltsoax-pool,ROUND,ROBIN,ltsoax-vip.vmware.com,wdc-lt-int-1
obie-lt-ice-pool,ROUND,ROBIN,obie-lt-ice-vip.vmware.com,wdc-lt-int-1
ora-lt-fmidm-ovd-1-pool,ROUND,ROBIN,ora-lt-fmidm-ovd-1-vip,wdc-lt-int-1
ora-lt-fmidm-ovd-2-pool,ROUND,ROBIN,ora-lt-fmidm-ovd-2-vip,wdc-lt-int-1
ora-lt-osb-pool,ROUND,ROBIN,ora-lt-osb-vip,wdc-lt-int-1
oracleapps-lt-pool,ROUND,ROBIN,oracleapps-lt-vip,wdc-lt-int-1
oracledisco-lt-pool,ROUND,ROBIN,oracledisco-lt-vip,wdc-lt-int-1
portal-lt-ssa-pool,ROUND,ROBIN,portal-lt-sca-vip,wdc-lt-int-1
portal-lt-webgate-pool,ROUND,ROBIN,portal-lt-webgate-vip,wdc-lt-int-1
s2-lt-accessws-pool,ROUND,ROBIN,s2-lt-accessws-vip,wdc-lt-int-1
s2-lt-adm-pool,ROUND,ROBIN,s2-lt-adm-vip,wdc-lt-int-1
s2-lt-admn2-pool,ROUND,ROBIN,s2-lt-admn2-vip,wdc-lt-int-1
s2-lt-dload-pool,ROUND,ROBIN,s2-lt-dload-vip,wdc-lt-int-1
s2-lt-eval-pool,ROUND,ROBIN,s2-lt-eval-vip,wdc-lt-int-1
s2-lt-gsseform-pool,ROUND,ROBIN,s2-lt-gsseform-vip.vmware.com,wdc-lt-int-1
s2-lt-lr1-pool,ROUND,ROBIN,s2-lt-lr1-vip.vmware.com,wdc-lt-int-1
s2-lt-lr2-pool,ROUND,ROBIN,s2-lt-lr2-vip.vmware.com,wdc-lt-int-1
s2-lt-lr3-pool,ROUND,ROBIN,s2-lt-lr3-vip.vmware.com,wdc-lt-int-1
s2-lt-support-pool,ROUND,ROBIN,s2-lt-support-vip,wdc-lt-int-1
s2-lt-tcs1-pool,ROUND,ROBIN,s2-lt-tcs1-vip.vmware.com,wdc-lt-int-1
s2-lt-tcs2-pool,ROUND,ROBIN,s2-lt-tcs2-vip.vmware.com,wdc-lt-int-1
s2-lt-tcs3-pool,ROUND,ROBIN,s2-lt-tcs3-vip.vmware.com,wdc-lt-int-1
s2-lt-tcs4-pool,ROUND,ROBIN,s2-lt-tcs4-vip.vmware.com,wdc-lt-int-1
s2-lt-tcs5-pool,ROUND,ROBIN,s2-lt-tcs5-vip.vmware.com,wdc-lt-int-1
s2-lt-tcs6-pool,ROUND,ROBIN,s2-lt-tcs6-vip.vmware.com,wdc-lt-int-1
s2-lt-tcs7-pool,ROUND,ROBIN,s2-lt-tcs7-vip.vmware.com,wdc-lt-int-1
s2-lt-tcs8-pool,ROUND,ROBIN,s2-lt-tcs8-vip.vmware.com,wdc-lt-int-1
s2-lt-util-pool,ROUND,ROBIN,s2-lt-util-vip,wdc-lt-int-1
s2-lt-vmwsvc-pool,ROUND,ROBIN,s2-lt-vmwsvc-vip,wdc-lt-int-1
s2-lt-wcm-pool,ROUND,ROBIN,s2-lt-wcm-vip,wdc-lt-int-1
s2-lt-websvc1-pool,ROUND,ROBIN,s2-lt-websvc1-vip.vmware.com,wdc-lt-int-1
s2-lt-websvc2-pool,ROUND,ROBIN,s2-lt-websvc2-vip.vmware.com,wdc-lt-int-1
s2-lt-websvc3-pool,ROUND,ROBIN,s2-lt-websvc3-vip.vmware.com,wdc-lt-int-1
ucmlt-pool,ROUND,ROBIN,ucmlt-vip,wdc-lt-int-1
ucmlttril-pool,ROUND,ROBIN,ucmlttril-vip,wdc-lt-int-1
ucmqai-pool,ROUND,ROBIN,ucmqai-vip-1,wdc-lt-int-1
ucmqaitril-pool,ROUND,ROBIN,ucmqaitril-vip-1,wdc-lt-int-1
wlp-lt-betan-pool,LEAST,CONNECTION_MEMBER,wlp-lt-betan-vip,wdc-lt-int-1
wlp-lt-licn-pool,LEAST,CONNECTION_MEMBER,wlp-lt-licn-vip,wdc-lt-int-1
wlp-lt-offpm-pool,ROUND,ROBIN,wlp-lt-offpm-vip,wdc-lt-int-1
wlp-lt-patm-pool,ROUND,ROBIN,wlp-lt-patm-vip,wdc-lt-int-1
wlp-lt-s3p3-pool,LEAST,CONNECTION_MEMBER,wlp-lt-s3p3-vip,wdc-lt-int-1
wlp-lt-utiln-pool,LEAST,CONNECTION_MEMBER,wlp-lt-utiln-vip,wdc-lt-int-1
wls-lt-acct-pool,ROUND,ROBIN,wls-lt-acct-vip,wdc-lt-int-1
wls-lt-beta-pool,ROUND,ROBIN,wls-lt-beta-vip,wdc-lt-int-1
wls-lt-dload-7013-pool,ROUND,ROBIN,wls-lt-dload-vip,wdc-lt-int-1
wls-lt-eval-7027-pool,ROUND,ROBIN,wls-lt-eval-vip,wdc-lt-int-1
wls-lt-flex-pool,ROUND,ROBIN,wls-lt-flex-vip,wdc-lt-int-1
wls-lt-isv-pool,ROUND,ROBIN,wls-lt-isv-vip,wdc-lt-int-1
wls-lt-oem-pool,LEAST,CONNECTION_MEMBER,wls-lt-oem-vip,wdc-lt-int-1
wls-lt-supt-pool,LEAST,CONNECTION_MEMBER,wls-lt-supt-vip,wdc-lt-int-1
wls-lt-upgr-pool,ROUND,ROBIN,wls-lt-upgr-vip,wdc-lt-int-1
wls-lt-util-pool,ROUND,ROBIN,wls-lt-util-vip,wdc-lt-int-1
wls-lt-vpp-pool,ROUND,ROBIN,wls-lt-vpp-vip,wdc-lt-int-1
wwwapps-lt-web-pool-i,ROUND,ROBIN,wwwapps-lt-web-vip-1-i,wdc-lt-int-1
wwwapps-lt-dbslave-pool,LEAST,CONNECTION_MEMBER,wwwapps-lt-dbslave_VIP,wdc-lt-int-1
lt-ebssso-pool,ROUND,ROBIN,lt-ebssso.vmware.com,wdc-lt-int-1
s2-lt-ebssso-ag-pool,ROUND,ROBIN,s2-lt-ebssso-ag-vip.vmware.com,wdc-lt-int-1
s2-lt-ebssso-pool,ROUND,ROBIN,s2-lt-ebssso-vip.vmware.com,wdc-lt-int-1
oracleapps-lt-pool,ROUND,ROBIN,oracleapps-lt-vip-ssl,wdc-lt-int-1
cbr-lt-repo-pool,ROUND,ROBIN,cbr-lt-repo-vip_SSL,wdc-lt-int-1
s2-lt-websvc4-pool,ROUND,ROBIN,s2-lt-websvc4-vip_http,wdc-lt-int-1
cbr-lt-solr-pool,ROUND,ROBIN,cbr-lt-solr-vip_http,wdc-lt-int-1
s2-lt-hhq-pool,ROUND,ROBIN,s2-lt-hhq-vip,wdc-lt-int-1
bi-lt-rtr-pool,ROUND,ROBIN,bi-lt-rtr-vip,wdc-lt-int-1
websearch-lt-pool,ROUND,ROBIN,websearch-lt-vip.vmware.com,wdc-lt-int-1
bipub-lt-pool,ROUND,ROBIN,bipub-lt-vip,wdc-lt-int-1
s2-lt-lrp4-pool,ROUND,ROBIN,s2-lt-lr4-vip.vmware.com,wdc-lt-int-1
lt-idp-pool,ROUND,ROBIN,lt-idp-vip.vmware.com_SSL,wdc-lt-int-1
s2-lt-lr4-pool,ROUND,ROBIN,s2-lt-lr4-vip.vmware.com,wdc-lt-int-1
s2-lt-websvc5-pool,ROUND,ROBIN,s2-lt-websvc5-pool,wdc-lt-int-1
s2-lt-lr5-pool,ROUND,ROBIN,s2-lt-lr5-vip.vmware.com,wdc-lt-int-1
ltosb-pool-8012,ROUND,ROBIN,ltosb-vip-8012,wdc-lt-int-1
lt-oid-pool,ROUND,ROBIN,lt-oid-vip,wdc-lt-int-1
psb-lt-pl-pool,ROUND,ROBIN,psb-lt-pl-vip,wdc-lt-int-1
psb-lt-ml-pool,ROUND,ROBIN,psb-lt-ml-vip,wdc-lt-int-1
esg-lt-int-pool,ROUND,ROBIN,esg-lt-int-vip.vmware.com,wdc-lt-int-1
esg-lt-int-pool-443,ROUND,ROBIN,esg-lt-int-vip-443,wdc-lt-int-1
etm-lt-workspace-pool,ROUND,ROBIN,epm-lt-workspace,wdc-lt-int-1
s2-lt-solrs-pool-1,ROUND,ROBIN,s2-lt-solrs-vip-1.vmware.com,wdc-lt-int-1
s2-lt-solrs-pool-2,ROUND,ROBIN,s2-lt-solrs-vip-2.vmware.com,wdc-lt-int-1
s2-lt-tco-pool,ROUND,ROBIN,s2-lt-tco-vip,wdc-lt-int-1
obiee-prd1-entitlement-pool,ROUND,ROBIN,obiee-prd1-entitlement.vmware.com_ssl,wdc-lt-int-1
obiee-prd1-entitlement-pool,ROUND,ROBIN,obiee-prd1-entitlement.vmware.com,wdc-lt-int-1
obiee-prd1-bookings-pool,ROUND,ROBIN,obiee-prd1-bookings-vip.vmware.com,wdc-lt-int-1
obiee-prd2-entitlement-pool,ROUND,ROBIN,obiee-prd2-entitlement.vmware.com,wdc-lt-int-1
ucmlt-ssl-pool,ROUND,ROBIN,ucmlt-ssl-vip,wdc-lt-int-1
obiee-prd2-entitlement-pool,ROUND,ROBIN,obiee-prd2-entitlement.vmware.com_ssl,wdc-lt-int-1
obiee-prd2-bookings-pool,ROUND,ROBIN,obiee-prd2-bookings-vip.vmware.com,wdc-lt-int-1
s2-lt-lrint1-pool,ROUND,ROBIN,s2-lt-lrint1-vip.vmware.com,wdc-lt-int-1
esg-lt-int-pool-8443,ROUND,ROBIN,esg-lt-int-vip-8443,wdc-lt-int-1
s2-lt-lrpis-pool,ROUND,ROBIN,s2-lt-lrpis-vip,wdc-lt-int-1
solr-lt-mdm-pool,ROUND,ROBIN,solr-lt-mdm-vip.vmware.com,wdc-lt-int-1
web-lt-ints-pool-443,ROUND,ROBIN,web-lt-ints-vip,wdc-lt-int-1
s2-lt-lrpis-pool,ROUND,ROBIN,s2-lt-lrpis-vip.vmware.com,wdc-lt-int-1
web-lt-ints-pool-443,ROUND,ROBIN,web-lt-ints-vip-443,wdc-lt-int-1
entitlementlt-pool,ROUND,ROBIN,entitlementlt-vip-9704,wdc-lt-int-1
entitlementlt-pool,ROUND,ROBIN,entitlementlt-vip-80,wdc-lt-int-1
pdh-lt-pool,ROUND,ROBIN,pdh-lt-https,wdc-lt-int-1
pdh-lt-pool,ROUND,ROBIN,pdh-lt-http,wdc-lt-int-1
entitlementnewdev-pool,ROUND,ROBIN,entitlementnewdev-vip,wdc-lt-int-1
entitlementnewdev-pool,ROUND,ROBIN,entitlementnewdev-vip-9704,wdc-lt-int-1
vmdashnewdev-pool,ROUND,ROBIN,vmdashnewdev-vip,wdc-lt-int-1
bunewdev-pool,ROUND,ROBIN,bunewdev-vip,wdc-lt-int-1
s2-lt-ebspdhsso-pool,ROUND,ROBIN,s2-lt-ebspdhsso-vip,wdc-lt-int-1
s2-lt-ebspdhsso-ag-pol,ROUND,ROBIN,s2-lt-ebspdhsso-ag-vip,wdc-lt-int-1
entitlementnewdev-pool,ROUND,ROBIN,entitlementnewdev-vip-ssl,wdc-lt-int-1
web-lt-pool,ROUND,ROBIN,web-lt-ssl-vip,wdc-lt-int-1
wwwa-lt-pool,LEAST,CONNECTION_MEMBER,wwwa-lt-vip,wdc-lt-int-1
web-lt-pool,ROUND,ROBIN,web-lt-vip,wdc-lt-int-1
dr-ltwebsvc-vip-pool,ROUND,ROBIN,dr-ltwebsvc-vip,wdc-lt-int-1
vmworld-lt-pool,PREDICTIVE,MEMBER,vmworld-lt-vip-2-SSL,wdc-lt-int-1
vmworld-lt-pool,PREDICTIVE,MEMBER,vmworld-lt-vip-2,wdc-lt-int-1
financebilt-pool,ROUND,ROBIN,financebilt-vip,wdc-lt-int-1
entitlementdev.rpt.vmware.com-pool,ROUND,ROBIN,entitlementdev-vip.rpt.vmware.com,wdc-lt-int-1
entitlementdev.rpt.vmware.com-pool,ROUND,ROBIN,entitlementdev-vip.rpt.vmware.com-9704,wdc-lt-int-1
esg-lt-ext-vip-8443,ROUND,ROBIN,esg-lt-ext-vip,wdc-lt-int-1
esg-lt-ext-vip-pool-443,ROUND,ROBIN,esg-lt-ext-vip-443,wdc-lt-int-1
ltrmq-vip-pool,ROUND,ROBIN,ltrmq-vip,wdc-lt-int-1
esg-lt-ext-vip-8443,ROUND,ROBIN,esg-lt-ext-vip-8443,wdc-lt-int-1
visl-lt-siml-pool,ROUND,ROBIN,visl-lt-siml-vip,wdc-lt-int-1
control-lt-pool,ROUND,ROBIN,controlm-lt-vip,wdc-lt-int-1
ltrmqsslt-vip-5674-pool,ROUND,ROBIN,ltrmqsslt-vip-5674,wdc-lt-int-1
ltrmqsslt-vip-pool,ROUND,ROBIN,ltrmqsslt-vip,wdc-lt-int-1
esg-lt-int-vip.vmware.com-80,ROUND,ROBIN,esg-lt-int-vip-80,wdc-lt-int-1
s2-lt-hhq-pool-7443,ROUND,ROBIN,s2-lt-hhq-vip-7443,wdc-lt-int-1
oracledisco-lt-pool,ROUND,ROBIN,oracledisco-lt-vip-ssl,wdc-lt-int-1
cat-lt-mln-vip-pool,ROUND,ROBIN,cat-lt-mln-vip,wdc-lt-int-1
cat-lt-mlne-vip-pool,ROUND,ROBIN,cat-lt-mlne-vip,wdc-lt-int-1
s2-lt-catsso-pool_8051,ROUND,ROBIN,s2-lt-catsso-vip,wdc-lt-int-1
py-lt-vswapub-vip-pool,ROUND,ROBIN,py-lt-vswapub-vip-ssl,wdc-lt-int-1
esg-lt-ext-vip-9443,ROUND,ROBIN,esg-lt-ext-vip-9443,wdc-lt-int-1
py-lt-vswapub-vip-pool,ROUND,ROBIN,py-lt-vswapub-vip,wdc-lt-int-1
LT-Foresight-pool,ROUND,ROBIN,lt-foresight.vmware.com,wdc-lt-int-1
LT-Foresight-planning-pool,ROUND,ROBIN,lt-foresight-planning-vip,wdc-lt-int-1
epm-lt-drm-pool,ROUND,ROBIN,epm-lt-drm-vip,wdc-lt-int-1
ltsoa-m-vip-pool,ROUND,ROBIN,lt-soa-7777,wdc-lt-int-1
ltsoa-admin-vip-pool,ROUND,ROBIN,lt-soa-7001,wdc-lt-int-1
visl-lt-pl-pool,ROUND,ROBIN,visl-lt-pl-vip,wdc-lt-int-1
visl-lt-ml-pool,ROUND,ROBIN,visl-lt-ml-vip,wdc-lt-int-1
s2-lt-hightouch-vip-pool,ROUND,ROBIN,s2-lt-hightouch-vip,wdc-lt-int-1
visl-lt-siml2-vip-pool,ROUND,ROBIN,visl-lt-siml2-vip,wdc-lt-int-1
odm-lt-app-pool,ROUND,ROBIN,odm-lt-app-vip.vmware.com,wdc-lt-int-1
wdc-view-pool,ROUND,ROBIN,wdc-view-http-vip,wdc-lt-int-1
wdc-view-pool,ROUND,ROBIN,wdc-view-ssl-vip,wdc-lt-int-1
WDC-OWA-pool,ROUND,ROBIN,WDC-OWA-ssl-vip,wdc-tier2-prod-int-1
viops-prod-app-int-pool,ROUND,ROBIN,viops-prod-app-int-vip,wdc-tier2-prod-int-1
viops-prod-db-int-pool,ROUND,ROBIN,viops-prod-db-int-vip,wdc-tier2-prod-int-1
viops-prod-oradb-int-pool,ROUND,ROBIN,viops-prod-oradb-int-vip,wdc-tier2-prod-int-1
vmworld-prod-app-ext-pool,ROUND,ROBIN,vmworld-prod-app-ext-vip,wdc-tier2-prod-int-1
vmworld-prod-db-ext-pool,ROUND,ROBIN,vmworld-prod-db-ext-vip,wdc-tier2-prod-int-1
zimbra-test-proxy-7071-pool,LEAST,CONNECTION_MEMBER,zimbra-test-proxy-7071-vip,wdc-tier2-prod-int-1
zimbra-test-proxy-pool,LEAST,CONNECTION_MEMBER,zimbra-test-proxy-80-vip,wdc-tier2-prod-int-1
zimbra-test-proxy-pool,LEAST,CONNECTION_MEMBER,zimbra-test-proxy-ssl-vip,wdc-tier2-prod-int-1
zimbra-test-110,LEAST,CONNECTION_MEMBER,zimbra-test-vip110,wdc-tier2-prod-int-1
zimbra-test-993,LEAST,CONNECTION_NODE_ADDRESS,zimbra-test-vip993,wdc-tier2-prod-int-1
vm-itdev-sso-pool,ROUND,ROBIN,vm-itdev-sso-vip,wdc-tier2-prod-int-1
zimbra-test-mta-25-pool,LEAST,CONNECTION_MEMBER,zimbra-test-mta-25-vip,wdc-tier2-prod-int-1
zimbra-test-143,LEAST,CONNECTION_MEMBER,zimbra-test-143,wdc-tier2-prod-int-1
zimbra-test-995,LEAST,CONNECTION_MEMBER,zimbra-test-995,wdc-tier2-prod-int-1
zimbra-test-465,LEAST,CONNECTION_MEMBER,zimbra-test-465,wdc-tier2-prod-int-1
partnerweb-test-https-pool,ROUND,ROBIN,partnerweb-test-https,wdc-tier2-prod-int-1
partnerweb-test-http-pool,ROUND,ROBIN,partnerweb-test,wdc-tier2-prod-int-1
wdc-ad-ovd-pool,ROUND,ROBIN,wdc-ad-ovd-vip-3268,wdc-tier2-prod-int-1
prodrmq-vip-pool,ROUND,ROBIN,prodrmq-vip,wdc-tier2-prod-int-1
wdc-prod-wpad-pool,ROUND,ROBIN,wdc-wpad-apac-vip,wdc-tier2-prod-int-1
wdc-prod-wpad-pool,ROUND,ROBIN,wdc-wpad-bangalore-vip,wdc-tier2-prod-int-1
wdc-prod-wpad-pool,ROUND,ROBIN,wdc-wpad-emea-vip,wdc-tier2-prod-int-1
wdc-prod-wpad-pool,ROUND,ROBIN,wdc-wpad-nasa-vip,wdc-tier2-prod-int-1
wdc-prod-wpad-pool,ROUND,ROBIN,wdc-wpad-cork-vip,wdc-tier2-prod-int-1
wdc-prod-wpad-pool,ROUND,ROBIN,wdc-wpad-paloalto-vip,wdc-tier2-prod-int-1
wdc-AD-test-pool3,ROUND,ROBIN,wdc-ad-test-vip3,wdc-tier2-prod-int-1
wdc-AD-test-pool1,ROUND,ROBIN,wdc-AD-test-vip1,wdc-tier2-prod-int-1
wdc-AD-test-pool2,ROUND,ROBIN,wdc-ad-test-vip2,wdc-tier2-prod-int-1
psynch-wdc-3334-pool,ROUND,ROBIN,psynch-prod-wdc-vip,wdc-tier2-prod-int-1
psync-wdc-443-pool,ROUND,ROBIN,psynch-prod-443-vip,wdc-tier2-prod-int-1
ad-test-new-pool,ROUND,ROBIN,ad-test-new-vip,wdc-tier2-prod-int-1
ad-test-pool-ldap,ROUND,ROBIN,ad-vip-ldap,wdc-tier2-prod-int-1
wdcrrootdc-pool-1,ROUND,ROBIN,wdc-rootdc-vip-1,wdc-tier2-prod-int-1
wdc-ad-ovd-pool-389,ROUND,ROBIN,wdc-ad-ovd-vip-389,wdc-tier2-prod-int-1
wdc-ad-ovd-pool-3269,ROUND,ROBIN,wdc-ad-ovd-vip-3269,wdc-tier2-prod-int-1
wdc-ad-ovd-pool-636,ROUND,ROBIN,wdc-ad-ovd-vip-636,wdc-tier2-prod-int-1
communities-demo-pool,ROUND,ROBIN,communities-demo-ssl-vip,wdc-uat-dmz-1
