name,lb_method,name,f5cluster_name
sfdc-stage-apache-pool-1,LEAST,CONNECTION_MEMBER,sfdc-stage-apache-vip-1,sc9-prod-stage-dmz-1
govirtual-prod-lamp-8080-pool,ROUND,ROBIN,govirtual-prod-lamp-8080-vip-1,sc9-prod-stage-dmz-1
govirtual-prod-lamp-https-pool,ROUND,ROBIN,govirtual-prod-lamp-https-vip-1,sc9-prod-stage-dmz-1
eis-prod-locklizard-1-pool,ROUND,ROBIN,eis-prod-locklizard-vip,sc9-prod-stage-dmz-1
myln-prod-http-pool,ROUND,ROBIN,myln-prod-vip-1,sc9-prod-stage-dmz-1
labs-pool,ROUND,ROBIN,labs-8080-vip,sc9-prod-stage-dmz-1
ueip-pool,ROUND,ROBIN,ueip-vip,sc9-prod-stage-dmz-1
labs-pool,ROUND,ROBIN,labs-ssl-vip,sc9-prod-stage-dmz-1
gallery-zimbra-prod-pool,LEAST,CONNECTION_MEMBER,gallery-zimbra-prod-ssl-vip,sc9-prod-stage-dmz-1
labs-pool,ROUND,ROBIN,labs-web-vip,sc9-prod-stage-dmz-1
myln-stage-pool,ROUND,ROBIN,myln-stage-vip-1,sc9-prod-stage-dmz-1
www-zimbra-prod-web-pool,LEAST,CONNECTION_MEMBER,www-zimbra-prod-ssl-vip,sc9-prod-stage-dmz-1
vmworld-prod-vip-2-pool,PREDICTIVE,MEMBER,vmworld-prod-vip-2,sc9-prod-stage-dmz-1
upload-pool,ROUND,ROBIN,upload-vip,sc9-prod-stage-dmz-1
buy-zimbra-prod-pool,LEAST,CONNECTION_MEMBER,buy-zimbra-prod-vip,sc9-prod-stage-dmz-1
gallery-zimbra-prod-pool,LEAST,CONNECTION_MEMBER,gallery-zimbra-prod-vip,sc9-prod-stage-dmz-1
buy-zimbra-prod-pool,LEAST,CONNECTION_MEMBER,buy-zimbra-prod-ssl-vip,sc9-prod-stage-dmz-1
zimbra-prod-ext-proxy-pool,ROUND,ROBIN,zimbra-prod-ext-proxy-https-vip,sc9-prod-stage-dmz-1
ec-mol-pool,ROUND,ROBIN,ec-mol-vip,sc9-prod-stage-dmz-1
myln-prod-https-pool,ROUND,ROBIN,myln-prod-ssl-vip-1,sc9-prod-stage-dmz-1
myln-stage-pool,ROUND,ROBIN,myln-stage-ssl-vip-1,sc9-prod-stage-dmz-1
communities-prod-gbot-vip-2-pool,ROUND,ROBIN,communities-prod-gbot-vip-2,sc9-prod-stage-dmz-1
ftpsite-ftp-pool,ROUND,ROBIN,ftpsite-ftp-vip,sc9-prod-stage-dmz-1
s2-stage-hyperic-6501-pool,ROUND,ROBIN,s2-stage-hyperic-389-vip,sc9-prod-stage-dmz-1
sc9-prod-gsa-int-80-pool-a,ROUND,ROBIN,sc9-prod-gsa-int-80-vip,sc9-prod-stage-dmz-1
s2-prod-hyperic-7501-pool,ROUND,ROBIN,s2-prod-hyperic-636-vip,sc9-prod-stage-dmz-1
s2-stage-hyperic-pool,ROUND,ROBIN,s2-stage-hyperic-http-vip,sc9-prod-stage-dmz-1
communities-preprod-pool,ROUND,ROBIN,communities-preprod-vip-1,sc9-prod-stage-dmz-1
