name,ip,port,f5_cname,node_ip,node_port,pool_name,lb_method
/onecloud/lrp-test14-vip,10.148.233.118,80,ltm-onecloud-1,10.148.22.68,80,/onecloud/lrp-test14-vip-pool,ROUND,ROBIN
/onecloud/lrp-test14-vip-ssl,10.148.233.118,443,ltm-onecloud-1,10.148.22.67,80,/onecloud/lrp-test14-vip-pool,ROUND,ROBIN
/onecloud/lrp-test14-vip-ssl,10.148.233.118,443,ltm-onecloud-1,10.148.22.68,80,/onecloud/lrp-test14-vip-pool,ROUND,ROBIN
/onecloud/lrp-test15-vip,10.148.233.61,80,ltm-onecloud-1,10.148.70.63,80,/onecloud/lrp-test15-vip-pool,ROUND,ROBIN
/onecloud/lrp-test15-vip-ssl,10.148.233.61,443,ltm-onecloud-1,10.148.70.63,80,/onecloud/lrp-test15-vip-pool,ROUND,ROBIN
/onecloud/lrp-test31-vip,10.148.232.248,80,ltm-onecloud-1,10.148.234.55,80,/onecloud/lrp-test31-vip-pool,ROUND,ROBIN
/onecloud/lrp-test31-vip,10.148.232.248,80,ltm-onecloud-1,10.148.234.56,80,/onecloud/lrp-test31-vip-pool,ROUND,ROBIN
/onecloud/lrp-test31-vip-ssl,10.148.232.248,443,ltm-onecloud-1,10.148.234.55,80,/onecloud/lrp-test31-vip-pool,ROUND,ROBIN
/onecloud/lrp-test31-vip-ssl,10.148.232.248,443,ltm-onecloud-1,10.148.234.56,80,/onecloud/lrp-test31-vip-pool,ROUND,ROBIN
/onecloud/poc1osb-vip,10.148.232.114,8011,ltm-onecloud-1,10.148.219.73,8011,/onecloud/poc1osb-vip-pool,ROUND,ROBIN
/onecloud/poc1osb-vip,10.148.232.114,8011,ltm-onecloud-1,10.148.219.74,8011,/onecloud/poc1osb-vip-pool,ROUND,ROBIN
/onecloud/poc1soa-vip,10.148.232.102,7777,ltm-onecloud-1,10.148.219.65,7777,/onecloud/poc1soa-vip-pool,ROUND,ROBIN
/onecloud/poc1soa-vip,10.148.232.102,7777,ltm-onecloud-1,10.148.219.67,7777,/onecloud/poc1soa-vip-pool,ROUND,ROBIN
/onecloud/poc2osb-vip,10.148.232.201,8011,ltm-onecloud-1,10.148.254.1,8011,/onecloud/poc2osb-vip-pool,ROUND,ROBIN
