id,name,ip,port,application_id,instance_id,tier_id,f5_cluster_id,created_at,updated_at
1,comm-dev-http-vip,10.113.211.17,80,NULL,NULL,NULL,2,2012-09-14,18:20:08,2012-09-14,18:20:08
2,comm-dev-https-vip,10.113.211.17,443,NULL,NULL,NULL,2,2012-09-14,18:20:09,2012-09-14,18:20:09
3,knova-prod-kb-vip2,10.113.63.117,80,NULL,NULL,NULL,2,2012-09-14,18:20:09,2012-09-14,18:20:09
4,ssend-ext-https-vip,10.113.63.134,443,NULL,NULL,NULL,2,2012-09-14,18:20:09,2012-09-14,18:20:09
5,ssend-ext-sftp-vip,10.113.63.134,22,NULL,NULL,NULL,2,2012-09-14,18:20:09,2012-09-14,18:20:09
6,ssend-int-https-vip,10.113.63.132,443,NULL,NULL,NULL,2,2012-09-14,18:20:09,2012-09-14,18:20:09
7,ssend-int-sftp-vip,10.113.63.132,22,NULL,NULL,NULL,2,2012-09-14,18:20:09,2012-09-14,18:20:09
8,w-prod-ext-vip,10.113.62.39,80,NULL,NULL,NULL,2,2012-09-14,18:20:09,2012-09-14,18:20:09
9,w-prod-int-vip,10.113.62.109,80,NULL,NULL,NULL,2,2012-09-14,18:20:10,2012-09-14,18:20:10
10,www-int-ssl-vip,10.113.78.20,443,NULL,NULL,NULL,2,2012-09-14,18:20:10,2012-09-14,18:20:10
11,www-int-vip,10.113.78.20,80,NULL,NULL,NULL,2,2012-09-14,18:20:10,2012-09-14,18:20:10
12,www-ssl-vip,10.113.78.120,443,NULL,NULL,NULL,2,2012-09-14,18:20:10,2012-09-14,18:20:10
13,www-vip,10.113.78.120,80,NULL,NULL,NULL,2,2012-09-14,18:20:10,2012-09-14,18:20:10
14,wwwa-stage-web-vip-1a,10.113.54.40,80,NULL,NULL,NULL,2,2012-09-14,18:20:10,2012-09-14,18:20:10
15,prod-Account-vip,10.113.76.93,7031,NULL,NULL,NULL,3,2012-09-14,18:20:10,2012-09-14,18:20:10
16,portal-prod-webgate-vip,10.113.76.119,80,NULL,NULL,NULL,3,2012-09-14,18:20:10,2012-09-14,18:20:10
17,oracledisco-prod-vip,10.113.76.44,80,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
18,prodsoa-vip,10.113.76.61,80,NULL,NULL,NULL,3,2012-09-14,18:20:11,2012-09-14,18:20:11
