vendor	device	model	versiontype	version
avamar	commit-prod-1.vmware.com	avamar client	version	5.0.105-169
avamar	communities-lt-db-1.vmware.com	avamar client	version	4.0.3-24
avamar	communities-prod-app-1.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-app-2.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-app-3.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-app-4.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-app-5.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-app-6.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-db-1.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-gbot-1.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-gbot-2.vmware.com	avamar client	version	4.1.101-340
avamar	communities-prod-gbot-3.vmware.com	avamar client	version	4.1.101-340
avamar	communities-prod-gbot-4.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-gbot-5.vmware.com	avamar client	version	6.0.100-592
avamar	communities-prod-gbot-6.vmware.com	avamar client	version	6.0.100-592
avamar	communities-stage-app-1.vmware.com	avamar client	version	4.1.101-340
avamar	communities-stage-app-1.vmware.com	avamar client	version	4.1.101-340
avamar	communities-stage-app-2.vmware.com	avamar client	version	4.1.101-340
avamar	communities-stage-app-2.vmware.com	avamar client	version	4.1.101-340
avamar	conscripts-prod-1.vmware.com	avamar client	version	5.0.106-28
avamar	conscripts-prod-2.vmware.com	avamar client	version	5.0.106-28
avamar	conscripts.vmware.com	avamar client	version	4.0.3-24
avamar	contest-dev.vmware.com	avamar client	version	3.7.1-100
avamar	cornflakes.vmware.com	avamar client	version	3.7.1-100
avamar	countchocula.vmware.com	avamar client	version	4.1.101-340
avamar	cpb-db	avamar client	version	6.0.100-592
avamar	cpb-w01	avamar client	version	4.1.101-340
avamar	cpp-db01.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-db02.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-db03.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-db04.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-db05.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-db06.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-db07.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-db08.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-db1.cpprod.corp	avamar client	version	4.0.3-24
avamar	cpp-db2.cpprod.corp	avamar client	version	4.0.3-24
avamar	cpp-db3.cpprod.corp	avamar client	version	4.0.3-24
avamar	cpp-db4.cpprod.corp	avamar client	version	4.0.3-24
avamar	cpp-db5.cpprod.corp	avamar client	version	3.7.1-100
avamar	cpp-db6.cpprod.corp	avamar client	version	3.7.1-100
avamar	cpp-db7.cpprod.corp	avamar client	version	3.7.1-100
avamar	cpp-db8.cpprod.corp	avamar client	version	3.7.1-100
avamar	cpp-dc01.cpprod.corp	avamar client	version	3.7.1-100
avamar	cpp-dc02.cpprod.corp	avamar client	version	3.7.1-100
avamar	cpp-dc1.cpp.corp	avamar client	version	4.0.3-24
avamar	cpp-fs01	avamar client	version	4.0.3-24
avamar	cpp-fs02	avamar client	version	3.7.1-100
avamar	cpp-r01	avamar client	version	6.0.100-592
avamar	cpp-r02	avamar client	version	6.0.100-592
avamar	cpp-r03	avamar client	version	6.0.100-592
avamar	cpp-r04	avamar client	version	6.0.100-592
avamar	cpp-upload1.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-upload2.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-upload3.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-upload4.cpp.corp	avamar client	version	6.0.100-592
avamar	cpp-w01	avamar client	version	5.0.105-169
avamar	cpp-w02	avamar client	version	6.0.100-592
avamar	cpp-w03	avamar client	version	6.0.100-592
avamar	cpp-w04	avamar client	version	6.0.100-592
avamar	cpp-w05	avamar client	version	6.0.100-592
avamar	cpp-w06	avamar client	version	6.0.100-592
avamar	cpp-w07	avamar client	version	6.0.100-592
avamar	cpp-w08	avamar client	version	6.0.100-592
avamar	cpp-w09	avamar client	version	6.0.100-592
avamar	cpp-w10	avamar client	version	6.0.100-592
avamar	cpp-web1	avamar client	version	3.7.1-100
avamar	cpp-web10	avamar client	version	4.0.3-24
avamar	cpp-web2	avamar client	version	4.0.3-24
avamar	cpp-web3	avamar client	version	4.0.3-24
avamar	cpp-web4	avamar client	version	4.0.3-24
avamar	cpp-web5	avamar client	version	4.0.3-24
avamar	cpp-web6	avamar client	version	4.0.3-24
avamar	cpp-web7	avamar client	version	4.0.3-24
avamar	cpp-web8	avamar client	version	4.0.3-24
avamar	cpp-web9	avamar client	version	4.0.3-24
avamar	cpp-webapp01	avamar client	version	3.7.1-100
avamar	cpp-webapp02	avamar client	version	3.7.1-100
avamar	cpp-webapp03	avamar client	version	3.7.1-100
avamar	cpp-webapp04	avamar client	version	3.7.1-100
avamar	cpp-webapp05	avamar client	version	3.7.1-100
avamar	cpp-webapp06	avamar client	version	3.7.1-100
avamar	cpp-webapp07	avamar client	version	3.7.1-100
avamar	cpp-webapp08	avamar client	version	3.7.1-100
avamar	cpp-webapp09	avamar client	version	3.7.1-100
avamar	cpp-webapp10	avamar client	version	3.7.1-100
avamar	cpp-webrep01	avamar client	version	3.7.1-100
avamar	cpp-webrep02	avamar client	version	3.7.1-100
avamar	cpp-webrep03	avamar client	version	3.7.1-100
avamar	cpp-webrep04	avamar client	version	3.7.1-100
avamar	cpp-webrep1	avamar client	version	3.7.1-100
avamar	cpp-webrep2	avamar client	version	3.7.1-100
avamar	cpp-webrep3	avamar client	version	3.7.1-100
avamar	cpp-webrep4	avamar client	version	3.7.1-100
avamar	cpta-db01	avamar client	version	6.0.100-592
avamar	cpta-db1	avamar client	version	3.7.1-100
avamar	cpta-upload01	avamar client	version	6.0.100-592
avamar	cpta-upload1	avamar client	version	3.7.1-100
avamar	cpta-w01	avamar client	version	4.1.101-340
avamar	cpta-w02	avamar client	version	4.1.101-340
avamar	cpta-web01	avamar client	version	5.0.105-169
avamar	cpta-web02	avamar client	version	3.7.1-100
avamar	cpta-web03	avamar client	version	3.7.1-100
avamar	cpta-web04	avamar client	version	6.0.100-592
avamar	cpta-web1	avamar client	version	3.7.1-100
avamar	cptb-db01	avamar client	version	6.0.100-592
avamar	cptb-db1	avamar client	version	3.7.1-100
avamar	cptb-upload01	avamar client	version	6.0.100-592
avamar	cptb-upload1	avamar client	version	3.7.1-100
avamar	cptb-web01	avamar client	version	5.0.105-169
avamar	cptb-web02	avamar client	version	3.7.1-100
avamar	cptb-web03	avamar client	version	3.7.1-100
avamar	cptb-web04	avamar client	version	3.7.1-100
avamar	cptb-web1	avamar client	version	3.7.1-100
avamar	cware-app1-old	avamar client	version	5.0.106-28
avamar	cware-app1-prod.vmware.com	avamar client	version	5.0.106-28
avamar	cware-app1-prod.vmware.com2011.02.14.12.53.40	avamar client	version	5.0.106-28
avamar	cware-app2-prod.vmware.com	avamar client	version	5.0.106-28
avamar	cware-app2-prod.vmware.com2011.02.14.12.53.55	avamar client	version	4.0.3-24
avamar	cware-app3-prod.vmware.com	avamar client	version	5.0.106-28
avamar	cware-db-prod.vmware.com	avamar client	version	5.0.106-28
avamar	cware-db-prod.vmware.com2011.02.12.16.05.04	avamar client	version	4.1.101-340
avamar	dakota.vmware.com	avamar client	version	3.7.1-100
avamar	datamart-dev.vmware.com	avamar client	version	4.1.101-340
