"timestamp","vcserver","datacenter","name","id","state","url","capacity","freespace"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","vplex0194-sc9-vf-dev1-03","Datastore-datastore-21818","Available","ds:///vmfs/volumes/4e7a251e-134685ed-619b-3cd92b09057a/","20132659200","10768875520"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","vplex0194-sc9-vf-dev1-04","Datastore-datastore-21835","Available","ds:///vmfs/volumes/4e821747-6cca7549-97bf-3cd92b0909e4/","20132659200","10772021248"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","LOCAL-sc9-vf-dev1-09-1","Datastore-datastore-21725","Available","ds:///vmfs/volumes/4ec58be3-628d7e7e-c9b1-984be105675e/","118648471552","82480988160"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","LOCAL-sc9-vf-dev1-08-1","Datastore-datastore-21771","Available","ds:///vmfs/volumes/4ec58dbc-26892a34-e41c-984be105689e/","118648471552","82566971392"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","LOCAL-sc9-vf-dev1-09-2","Datastore-datastore-21726","Available","ds:///vmfs/volumes/4ec6045a-dc31efdc-a996-984be105675e/","119990648832","55056531456"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","LOCAL-sc9-vf-dev1-08-2","Datastore-datastore-21772","Available","ds:///vmfs/volumes/4ec604d1-6de1651a-9fff-984be105689e/","119990648832","118882304000"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","LOCAL-sc9-vf-dev2-04","Datastore-datastore-21967","Available","ds:///vmfs/volumes/4ef39082-8e6ab1b5-54c0-009c02a4eb98/","141465485312","139787763712"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","LOCAL-sc9-vf-dev2-01","Datastore-datastore-24357","Available","ds:///vmfs/volumes/4f0a7103-800691c9-6fb9-e839352e5858/","294473695232","293454479360"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","LOCAL-sc9-vf-dev2-02","Datastore-datastore-21928","Available","ds:///vmfs/volumes/4f0a7651-fd94daf5-e054-e83935ea0c6a/","294473695232","293454479360"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","LOCAL-sc9-vf-dev2-03","Datastore-datastore-21953","Available","ds:///vmfs/volumes/4f0a7e14-a1a26fff-00f7-e839352e226a/","294473695232","293454479360"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","DEDICATED-vplex0194-lun3","Datastore-datastore-23791","Available","ds:///vmfs/volumes/4f3051a5-ae9110cc-8423-984be1056929/","1099243192320","1098219782144"
"2015-04-07 00:12:05","vc-dev-1.vmware.com","SC9","DEDICATED-vplex0194-lun2","Datastore-datastore-23792","Available","ds:///vmfs/volumes/4f305298-03706ee6-4f75-984be1056929/","1099243192320","1098219782144"
