"timestamp","vcserver","datacenter","vmhost","vswitch","nic"
<<<<<<< HEAD
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-01.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-02.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-03.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-04.vmware.com","vSwitch0",
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-05.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-06.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-07.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-08.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-09.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-10.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-11.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-13.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-14.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-15.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-16.vmware.com",,
"2015-03-29 01:10:19","vc-dev-1.vmware.com","North America Remote Sites","wdc-dev-greenplum1-12.vmware.com",,
